纬度,经度,名称,数量
36.5762,-78.1107,Mecklenburg,0
38.5768,-78.5028,Page,0
37.5212,-79.6894,Botetourt,0
36.9492,-79.3646,Pittsylvania,0
38.4107,-78.6159,Rockingham,0
37.1813,-79.6173,Bedford,0
37.7529,-79.8189,Botetourt,0
37.2873,-80.6187,Giles,0
37.6654,-78.6946,Buckingham,0
36.6326,-81.7889,Washington,0
37.0836,-76.6747,Isle of Wight,0
37.2042,-77.3914,Petersburg (city),5
37.613,-77.5065,Henrico,0
38.7361,-77.0589,Fairfax,0
38.449,-77.6553,Fauquier,0
37.207,-80.4852,Montgomery,0
38.0762,-78.4611,Albemarle,0
37.2273,-76.9665,Surry,4
36.9173,-77.2718,Sussex,0
37.0954,-79.3029,Pittsylvania,0
36.9444,-80.9577,Wythe,0
37.8774,-75.5895,Accomack,0
37.6291,-75.8172,Accomack,0
38.0013,-79.8239,Bath,0
37.4902,-77.5396,Chesterfield,0
36.5645,-79.7276,Henry,0
36.8185,-79.3967,Pittsylvania,0
38.8648,-77.1878,Falls Church (city),1
38.2845,-78.9125,Augusta,0
37.7263,-77.0227,King and Queen,0
37.3289,-80.7274,Giles,0
37.3275,-77.3196,Chesterfield,0
37.6835,-78.3414,Buckingham,0
36.9076,-76.7077,Isle of Wight,0
37.415,-79.9132,Botetourt,0
37.2312,-77.4677,Chesterfield,0
38.8653,-77.3586,Fairfax,0
37.8991,-75.5526,Accomack,0
37.1351,-81.4212,Tazewell,0
38.7683,-77.1586,Fairfax,0
36.7215,-79.9122,Henry,0
36.8095,-76.7405,Isle of Wight,0
37.5491,-75.7797,Accomack,0
37.7864,-75.6539,Accomack,0
37.1,-81.1161,Bland,0
38.7914,-77.0741,Fairfax,0
38.4132,-78.188,Madison,0
37.9299,-75.662,Accomack,0
37.9594,-75.3493,Accomack,0
38.6562,-78.2322,Rappahannock,7
39.1868,-77.61,Loudoun,0
39.0309,-77.3762,Loudoun,0
37.2109,-81.434,Tazewell,0
38.1955,-79.4105,Augusta,0
37.4302,-77.474,Chesterfield,0
37.8033,-79.8499,Alleghany,0
38.2247,-79.1619,Augusta,0
37.194,-81.3999,Tazewell,0
38.4873,-78.617,Page,0
36.9299,-78.6633,Charlotte,0
37.2169,-80.6239,Pulaski,0
37.1229,-79.2858,Campbell,0
38.6547,-77.3012,Prince William,0
39.011,-77.3013,Fairfax,0
37.106,-79.0025,Campbell,0
37.8232,-79.825,Alleghany,0
38.9329,-78.085,Warren,0
37.1463,-79.3009,Campbell,0
37.0629,-81.7504,Tazewell,0
36.7139,-80.975,Grayson,0
36.7014,-78.0939,Mecklenburg,0
36.7899,-81.7725,Washington,0
38.8846,-77.1751,Falls Church (city),0
38.8945,-77.2315,Fairfax,0
37.1261,-82.607,Wise,0
37.0045,-79.8855,Franklin,0
37.3426,-78.9862,Campbell,0
38.2693,-78.8251,Rockingham,0
37.8169,-75.561,Accomack,0
37.1476,-80.5567,Pulaski,0
36.666,-80.9176,Galax (city),0
37.2968,-78.3993,Prince Edward,0
39.0601,-77.4445,Loudoun,0
37.7776,-76.5136,Lancaster,0
38.5704,-78.2778,Madison,0
37.2416,-78.4693,Prince Edward,0
37.9257,-75.7225,Accomack,0
37.196,-77.5597,Dinwiddie,0
36.7033,-78.0318,Brunswick,0
38.2991,-78.4367,Greene,0
36.8224,-77.588,Greensville,0
37.5517,-77.3285,Henrico,0
38.3899,-78.834,Rockingham,0
36.6827,-79.8636,Martinsville (city),6
38.8868,-77.4453,Fairfax,0
38.1954,-78.9044,Augusta,0
36.7546,-79.3997,Pittsylvania,0
37.3799,-76.8041,James City,78
37.6053,-76.5938,Middlesex,0
36.5831,-79.4088,Danville (city),8
37.1848,-81.7884,Tazewell,0
37.7273,-78.8423,Nelson,0
38.5225,-77.2901,Prince William,0
37.2752,-78.2914,Prince Edward,0
38.5483,-77.3195,Prince William,0
36.7443,-79.1584,Halifax,0
38.0611,-78.5987,Albemarle,0
37.2435,-77.4287,Chesterfield,0
37.6595,-75.8332,Accomack,0
37.0364,-76.924,Surry,0
37.2209,-77.2683,Prince George,0
38.7666,-78.1028,Rappahannock,0
37.5533,-75.7368,Accomack,0
36.9767,-82.5808,Wise,0
36.7753,-76.9862,Southampton,0
38.6473,-77.3459,Prince William,0
37.6263,-77.3561,Hanover,0
37.233,-80.2051,Montgomery,0
36.9381,-78.9422,Halifax,0
38.748,-77.484,Manassas (city),0
38.2586,-78.9654,Augusta,0
37.6132,-77.4767,Henrico,0
38.2565,-76.9784,Westmoreland,0
37.989,-77.1322,Caroline,0
39.0471,-77.3524,Loudoun,0
36.6953,-76.6398,Suffolk (city),0
37.0982,-81.3409,Tazewell,0
36.8428,-80.9683,Wythe,0
36.7998,-78.461,Mecklenburg,0
36.8052,-83.0575,Lee,0
36.678,-82.745,Scott,0
36.6958,-79.3774,Pittsylvania,0
38.8731,-77.2426,Fairfax,0
37.4487,-79.1058,Amherst,41
37.763,-75.7549,Accomack,0
36.6175,-78.564,Mecklenburg,0
37.4751,-77.7789,Powhatan,0
38.6804,-77.3592,Prince William,0
38.0129,-79.8114,Bath,0
37.7605,-78.8689,Nelson,0
36.9521,-81.0187,Wythe,0
36.6254,-81.1511,Grayson,0
38.4362,-78.8735,Harrisonburg (city),3
37.6491,-75.7409,Accomack,0
38.2807,-77.1896,King George,0
38.4154,-78.5981,Rockingham,0
37.1506,-82.4571,Dickenson,0
37.644,-76.3897,Lancaster,0
37.3222,-80.6361,Giles,0
36.7804,-79.3047,Pittsylvania,0
37.2423,-81.1073,Bland,0
37.0989,-80.6831,Pulaski,0
36.9686,-76.9875,Sussex,0
36.7764,-82.9433,Lee,0
37.7176,-78.0875,Goochland,0
37.9655,-75.4559,Accomack,0
37.7944,-79.8706,Alleghany,0
37.5468,-78.8495,Nelson,0
38.9845,-77.4175,Loudoun,0
37.4138,-76.5255,Gloucester,0
39.0266,-77.4198,Loudoun,0
37.6493,-75.7998,Accomack,0
37.1939,-80.6097,Pulaski,0
38.2992,-77.4871,Fredericksburg (city),10
38.5822,-77.7781,Fauquier,0
38.7177,-77.7973,Fauquier,0
37.55,-75.7983,Accomack,0
36.8389,-81.5135,Smyth,0
37.3783,-79.8206,Botetourt,0
38.8032,-77.2223,Fairfax,0
38.6083,-78.8016,Rockingham,0
37.2171,-80.5978,Montgomery,0
37.406,-77.4363,Chesterfield,0
37.1707,-80.2527,Montgomery,0
36.7157,-77.3064,Southampton,0
37.6925,-77.6124,Henrico,0
38.3863,-78.9674,Rockingham,0
36.6237,-82.5628,Scott,0
38.401,-79.0342,Rockingham,0
38.3476,-78.27,Madison,0
37.7446,-75.6352,Accomack,0
36.7071,-78.2319,Mecklenburg,0
37.8009,-79.416,Rockbridge,0
37.9304,-75.4953,Accomack,0
36.9429,-79.1922,Pittsylvania,0
36.9314,-80.0148,Franklin,0
38.4705,-78.0002,Culpeper,0
37.3565,-79.9054,Botetourt,0
37.4993,-79.8756,Botetourt,0
36.6104,-77.7658,Brunswick,0
37.2747,-79.8886,Roanoke,201
37.8837,-77.1003,King and Queen,0
37.1032,-78.3667,Lunenburg,0
37.0388,-77.6433,Dinwiddie,0
38.7101,-77.1966,Fairfax,0
36.9679,-79.871,Franklin,0
38.8533,-78.1325,Rappahannock,0
37.2642,-78.682,Appomattox,27
38.3448,-79.085,Augusta,0
36.6402,-82.5783,Scott,0
37.8291,-75.6216,Accomack,0
38.9436,-77.1943,Fairfax,0
38.9803,-77.5323,Loudoun,0
37.5529,-79.0664,Amherst,0
37.23,-80.4277,Montgomery,0
38.0232,-77.3733,Caroline,0
38.8707,-77.3689,Fairfax,0
38.2941,-77.3267,King George,0
36.8782,-82.2878,Russell,0
36.8468,-76.354,Portsmouth (city),36
37.1052,-76.5185,Newport News (city),32
37.1234,-79.6971,Franklin,0
39.1373,-77.8637,Clarke,0
36.7689,-81.4075,Smyth,0
38.212,-78.8283,Augusta,0
36.6128,-78.9221,Halifax,0
37.8865,-78.6164,Albemarle,0
37.1984,-82.0079,Buchanan,0
37.8651,-76.9102,Essex,0
37.6621,-76.4205,Lancaster,0
37.1882,-78.69,Charlotte,0
37.1271,-78.0734,Nottoway,0
38.1437,-77.4378,Caroline,0
37.3165,-79.248,Campbell,0
38.1982,-77.5885,Spotsylvania,380
37.3727,-79.2829,Bedford,0
37.8224,-75.5895,Accomack,0
38.2985,-77.1586,King George,0
37.9307,-75.5469,Accomack,0
37.257,-76.0093,Northampton,0
36.6196,-79.602,Pittsylvania,0
38.8181,-78.7659,Shenandoah,0
38.2274,-77.8328,Spotsylvania,0
37.5095,-76.9862,New Kent,0
36.7254,-78.1287,Mecklenburg,0
37.1632,-79.0736,Campbell,0
36.9351,-79.0122,Halifax,0
36.9682,-80.7044,Pulaski,0
37.9224,-77.5764,Hanover,0
37.5411,-78.4613,Buckingham,0
38.8123,-77.6365,Prince William,0
38.9955,-77.3693,Fairfax,0
38.6882,-77.4961,Prince William,0
37.0532,-78.9486,Campbell,0
37.2353,-81.2746,Tazewell,0
38.1266,-78.4386,Albemarle,0
38.7457,-77.0553,Fairfax,0
39.0932,-78.0602,Clarke,0
37.1267,-80.5046,Montgomery,0
37.7432,-75.7785,Accomack,0
38.7423,-78.6445,Shenandoah,0
37.0156,-81.9686,Russell,0
36.6262,-77.1248,Southampton,0
37.351,-75.9404,Northampton,0
37.7632,-78.2622,Fluvanna,0
38.8661,-77.8453,Fauquier,0
37.9621,-77.7728,Louisa,0
38.8324,-77.196,Fairfax,0
36.5588,-77.8721,Brunswick,0
36.7517,-82.416,Scott,0
37.1482,-80.9412,Bland,0
37.2864,-80.0554,Salem (city),19
38.5204,-78.8375,Rockingham,0
37.6375,-77.5062,Henrico,0
39.1057,-77.5543,Loudoun,0
37.5771,-77.3864,Henrico,0
37.8652,-78.2627,Fluvanna,0
36.7724,-76.8494,Isle of Wight,0
37.8854,-76.625,Richmond,0
37.2919,-75.9687,Northampton,0
36.8976,-77.8194,Brunswick,0
37.4914,-78.2577,Cumberland,0
36.8907,-81.9537,Russell,0
38.1028,-78.8494,Augusta,0
36.7612,-80.7371,Carroll,0
37.0531,-80.7624,Pulaski,0
36.6844,-78.2732,Mecklenburg,0
36.948,-77.4001,Sussex,0
37.9826,-75.5292,Accomack,0
38.7651,-78.3881,Page,0
38.8717,-77.397,Fairfax,0
38.1593,-79.0608,Staunton (city),1
36.7109,-82.3015,Washington,0
38.6461,-78.6708,Shenandoah,0
38.8236,-78.5633,Shenandoah,0
36.8292,-78.4653,Mecklenburg,0
36.8554,-78.5903,Charlotte,0
38.3444,-77.0624,King George,0
38.0245,-79.0308,Augusta,0
39.0904,-78.2229,Frederick,0
36.953,-81.0881,Wythe,0
38.0552,-79.2182,Augusta,0
38.8887,-77.3017,Fairfax,0
37.8901,-78.7047,Albemarle,0
38.0221,-78.9516,Augusta,0
36.6596,-79.712,Henry,0
37.0564,-78.6378,Charlotte,0
38.7229,-77.5361,Prince William,0
38.0135,-76.9927,Essex,0
38.0308,-78.4444,Albemarle,0
36.7123,-77.062,Southampton,0
38.8477,-77.1306,Fairfax,0
37.3588,-79.3917,Bedford,0
36.618,-82.1607,Bristol (city),11
37.7597,-77.4715,Hanover,0
37.5021,-79.1278,Amherst,0
38.8158,-77.1543,Fairfax,0
38.9497,-77.346,Fairfax,0
38.2901,-77.5533,Spotsylvania,0
37.0551,-76.3629,Hampton (city),0
37.961,-79.8626,Bath,0
37.4763,-75.8591,Northampton,0
36.7612,-78.9279,Halifax,0
38.6569,-77.2403,Prince William,0
36.5732,-79.0028,Halifax,0
38.7657,-78.9489,Rockingham,0
37.8421,-76.2758,Northumberland,0
37.512,-77.3149,Henrico,0
37.2007,-79.9986,Roanoke,0
37.7458,-77.1315,King William,0
37.1657,-76.9733,Surry,0
37.7051,-78.2994,Buckingham,0
37.6882,-77.0212,King William,0
36.7745,-82.5868,Scott,0
37.2784,-79.9581,Roanoke (city),0
37.1812,-78.1307,Nottoway,0
37.2691,-76.7075,Williamsburg (city),1
38.7485,-77.0822,Fairfax,0
38.7881,-77.4494,Prince William,0
38.8621,-77.7745,Fauquier,0
38.725,-77.4472,Prince William,0
38.2599,-77.9683,Orange,0
37.666,-77.4838,Henrico,0
36.7093,-77.2013,Southampton,0
38.1004,-78.9686,Augusta,0
37.0938,-81.8603,Tazewell,0
39.0052,-77.4052,Loudoun,0
37.0379,-80.2045,Floyd,250
37.7093,-78.5114,Buckingham,0
37.3317,-80.8084,Giles,0
36.6381,-83.4291,Lee,0
38.8503,-77.2322,Fairfax,0
38.0296,-76.5808,Westmoreland,0
36.9947,-78.2242,Lunenburg,0
37.8112,-80.0871,Alleghany,0
38.9621,-78.1414,Warren,0
38.0463,-79.7826,Bath,0
38.926,-78.1837,Warren,0
38.6201,-77.8049,Fauquier,0
39.1975,-78.3464,Frederick,0
37.5351,-79.3615,Bedford,0
37.0145,-82.2938,Dickenson,0
36.7838,-77.1275,Southampton,0
37.434,-77.6522,Chesterfield,0
37.3771,-77.5058,Chesterfield,0
36.5624,-78.7047,Mecklenburg,0
36.7604,-81.8629,Washington,0
39.2545,-78.0667,Frederick,0
38.1457,-77.7189,Spotsylvania,0
38.7878,-77.4961,Prince William,0
38.6371,-77.915,Culpeper,0
38.8184,-77.0861,Alexandria (city),11
36.6765,-79.1222,Halifax,0
39.0651,-77.4963,Loudoun,0
37.8064,-78.492,Albemarle,0
37.1134,-81.871,Tazewell,0
37.5525,-76.3331,Middlesex,0
38.8026,-77.2396,Fairfax,0
37.621,-79.5059,Rockbridge,0
38.9121,-77.5132,Loudoun,0
38.7802,-77.5204,Prince William,0
37.0778,-79.6517,Franklin,0
38.9105,-77.1991,Fairfax,0
37.0811,-78.7485,Charlotte,0
38.7931,-77.6347,Prince William,0
36.7385,-80.8166,Carroll,0
38.7551,-77.575,Prince William,0
38.1249,-78.4608,Albemarle,0
37.276,-80.1257,Roanoke,0
36.9317,-82.626,Norton (city),0
36.7009,-79.9424,Henry,0
38.7773,-77.2633,Fairfax,0
38.8996,-77.2597,Fairfax,0
37.0012,-80.7373,Pulaski,0
37.0657,-79.3474,Pittsylvania,0
38.201,-77.5892,Spotsylvania,0
38.7026,-77.2422,Fairfax,0
37.569,-80.262,Craig,0
37.3069,-81.3433,Tazewell,0
37.4004,-79.1911,Lynchburg (city),4
38.4597,-77.3806,Stafford,0
36.7022,-81.4413,Grayson,0
38.5018,-77.7,Fauquier,0
38.7121,-78.1599,Rappahannock,0
37.9106,-75.5845,Accomack,0
37.3531,-77.4342,Chesterfield,0
37.7986,-79.7904,Alleghany,0
38.8657,-77.1445,Fairfax,0
37.1982,-76.433,York,1168
36.7595,-83.0294,Lee,0
37.5519,-76.8017,King William,0
38.379,-78.2586,Madison,0
38.7606,-77.0979,Fairfax,0
37.1243,-77.2258,Prince George,0
37.6973,-77.8944,Goochland,0
37.6165,-79.9837,Botetourt,0
37.3885,-77.9031,Amelia,0
38.0003,-75.4173,Accomack,0
38.6984,-77.2163,Fairfax,0
37.3638,-79.8523,Botetourt,0
37.3833,-80.8207,Giles,0
37.5815,-79.0508,Amherst,0
38.1697,-77.1912,Caroline,0
38.9121,-77.4758,Loudoun,0
38.0645,-78.6962,Albemarle,0
36.6953,-77.5356,Emporia (city),0
38.5984,-77.7213,Fauquier,0
37.1812,-76.7966,Surry,0
38.0036,-79.1522,Augusta,0
38.8753,-78.5158,Shenandoah,0
37.8793,-79.2895,Rockbridge,0
38.2314,-78.3756,Greene,0
38.9448,-77.5305,Loudoun,0
36.9149,-78.0217,Lunenburg,0
37.359,-78.8265,Appomattox,0
37.0877,-81.8082,Tazewell,0
38.9347,-77.4082,Fairfax,0
37.7771,-79.0011,Nelson,0
38.4173,-78.9412,Rockingham,0
38.9793,-78.0471,Warren,0
37.1318,-76.3569,Poquoson (city),0
36.9118,-80.3184,Floyd,0
38.8024,-77.2028,Fairfax,0
38.8526,-77.2571,Fairfax,0
37.5852,-75.7838,Accomack,0
36.6758,-79.7981,Henry,0
37.5013,-80.1119,Craig,0
37.5187,-77.5713,Chesterfield,0
37.3029,-78.5592,Prince Edward,0
37.3359,-79.5181,Bedford,0
36.7088,-76.8371,Isle of Wight,0
37.0205,-79.6833,Franklin,0
37.4204,-82.0198,Buchanan,0
37.5512,-76.4461,Middlesex,0
36.7089,-81.9711,Washington,0
36.8512,-80.912,Wythe,0
37.7124,-75.697,Accomack,0
36.9798,-80.9678,Wythe,0
36.6831,-76.9386,Franklin (city),0
38.4465,-78.9228,Rockingham,0
38.3668,-78.16,Madison,0
37.3979,-76.5725,Gloucester,0
37.6654,-78.6946,York,0
36.7564,-77.8539,Brunswick,0
37.2914,-77.2985,Hopewell (city),3
37.5878,-77.5858,Henrico,0
37.039,-78.4804,Charlotte,0
38.8646,-77.1878,Fairfax,0
37.2754,-82.0988,Buchanan,0
36.9273,-81.6726,Smyth,0
37.4053,-76.526,Gloucester,0
37.1393,-77.8658,Dinwiddie,0
38.8318,-78.3164,Warren,0
36.8751,-81.7643,Smyth,0
37.7675,-76.4549,Lancaster,0
37.2254,-80.0073,Roanoke,0
38.0212,-77.9984,Louisa,0
37.9062,-79.1973,Rockbridge,0
37.1371,-76.8333,Surry,0
38.5346,-77.8082,Fauquier,0
37.8046,-76.7788,Essex,0
36.9326,-82.4846,Wise,0
37.2766,-76.5043,Gloucester,0
36.599,-80.5106,Patrick,0
37.7473,-80.2403,Alleghany,0
39.1997,-77.7244,Loudoun,0
38.7809,-77.1839,Fairfax,0
36.8201,-79.5867,Pittsylvania,0
38.115,-79.0668,Augusta,0
38.694,-77.5758,Prince William,0
38.5696,-77.2894,Prince William,0
36.6313,-79.9514,Henry,0
37.7316,-79.3565,Buena Vista (city),0
37.3434,-79.9535,Roanoke,0
37.1903,-80.4245,Montgomery,0
38.1618,-78.8413,Augusta,0
37.8251,-75.991,Accomack,0
37.9023,-75.5058,Accomack,0
36.9067,-82.3158,Wise,0
38.054,-79.8437,Bath,0
37.628,-77.4288,Henrico,0
38.714,-77.1043,Fairfax,0
37.026,-80.5739,Pulaski,0
37.7051,-79.0231,Nelson,0
37.2352,-76.5146,York,0
38.6843,-77.3059,Prince William,0
37.0868,-81.7632,Tazewell,0
37.7195,-75.6675,Accomack,0
37.2932,-82.2021,Buchanan,0
36.6306,-83.4944,Lee,0
37.4365,-76.3245,Mathews,0
36.8179,-81.5775,Smyth,0
38.7811,-77.4817,Prince William,0
36.6764,-78.8942,Halifax,0
36.821,-81.0984,Wythe,0
36.5698,-77.2501,Southampton,0
37.6683,-76.8783,King and Queen,0
38.9465,-78.1994,Warren,0
36.7131,-78.9135,Halifax,0
37.9287,-77.4558,Caroline,0
38.9395,-77.2842,Fairfax,0
38.7802,-77.3866,Fairfax,0
38.6404,-77.409,Prince William,0
37.1411,-80.4028,Montgomery,0
37.7101,-75.7434,Accomack,0
37.6213,-75.7641,Accomack,0
37.265,-77.3969,Colonial Heights (city),0
38.0129,-78.3956,Albemarle,0
37.9603,-76.761,Richmond,0
37.805,-81.9923,Logan,264
38.8779,-78.8661,Hardy,0
39.0813,-79.6455,Tucker,2
37.9607,-81.0795,Fayette,1515
40.6179,-80.5998,Hancock,374
39.3242,-77.7517,Jefferson,2204
39.3923,-80.2989,Harrison,178
38.2254,-82.4415,Wayne,415
39.2711,-79.3662,Grant,71
37.9443,-81.4371,Raleigh,53
37.4362,-80.964,Mercer,252
