经度,纬度,年份,数目,地名
40.5533,-81.9164,2010,5,"Holmes, Millersburg"
37.3799,-76.8041,2010,10,"James City, Toano"
40.8618,-80.2625,2010,12,"Lawrence, Ellport"
38.8862,-82.1463,2010,8,"Gallia, Addison"
39.9476,-79.9986,2010,66,"Greene, Rices Landing"
38.4949,-82.6911,2010,2,"Greenup, Bellefonte"
39.0747,-83.3871,2010,92,"Highland, Sinking Spring"
38.2907,-85.6333,2010,154,"Jefferson, Glenview Manor"
40.5342,-82.5049,2010,1,"Knox, Ankenytown"
41.4846,-75.666,2010,394,"Lackawanna, Chinchilla"
40.9207,-81.0231,2010,358,"Mahoning, Sebring"
41.3128,-81.9157,2010,14,"Lorain, Columbia Hills Corners"
36.9608,-78.1283,2010,2,"Lunenburg, Kenbridge"
37.724,-84.2928,2010,2,"Madison, Richmond"
39.9487,-83.2993,2010,41,"Madison, West Jefferson"
39.9854,-80.7335,2010,7,"Marshall, McMechen"
39.0292,-82.034,2010,3,"Meigs, Pomeroy"
37.0675,-80.4405,2010,12,"Montgomery, Riner"
40.9865,-76.635,2010,1,"Montour, Mausdale"
39.9037,-82.018,2010,1,"Muskingum, South Zanesville"
38.2001,-80.8512,2010,1,"Nicholas, Mount Nebo"
39.1806,-81.513,2010,29,"Wood, Mineral Wells"
38.7358,-77.1993,2010,3,"Fairfax, Newington"
37.1052,-76.5185,2010,126,"Newport News (city), Newport News"
40.0753,-80.6951,2010,27,"Ohio, Wheeling"
41.5853,-82.8369,2010,4,"Ottawa, Catawba Island"
38.6708,-84.3311,2010,1,"Pendleton, Falmouth"
39.921,-82.4271,2010,66,"Perry, Thornport"
39.4069,-83.1842,2010,44,"Ross, Frankfort"
37.2864,-80.0554,2010,12,"Salem (city), Salem"
41.3338,-75.8214,2010,382,"Luzerne, Exeter"
37.7015,-83.1516,2010,1,"Magoffin, Fritz"
38.7717,-77.4448,2010,28,"Manassas Park (city), Manassas Park"
37.5156,-85.2625,2010,1,"Marion, Calvary"
37.5668,-82.7603,2010,4,"Floyd, Martin"
41.1572,-80.0893,2010,10,"Mercer, Grove City"
39.6587,-79.9868,2010,219,"Monongalia, Star City"
40.6209,-82.6618,2010,13,"Morrow, Shauck"
39.1517,-82.9102,2010,6,"Pike, Omega"
36.666,-78.3908,2010,1,"Mecklenburg, Boydton"
38.3355,-85.4839,2010,3,"Oldham, Crestwood"
37.2245,-83.2752,2010,1,"Perry, Avawam"
40.3951,-77.0278,2010,11,"Perry, Duncannon"
37.1318,-76.3569,2010,4,"Poquoson (city), Poquoson"
37.9443,-81.4371,2010,14,"Raleigh, Colcord"
38.6562,-78.2322,2010,1,"Rappahannock, Sperryville"
37.2747,-79.8886,2010,130,"Roanoke, Vinton"
40.4389,-84.2597,2010,38,"Shelby, Kettlersville"
41.0348,-82.0122,2010,92,"Medina, Lodi"
41.177,-75.418,2010,88,"Monroe, Tobyhanna"
41.267,-80.7958,2010,10,"Trumbull, Morgandale"
40.6295,-75.2024,2010,343,"Northampton, Raubsville"
38.2484,-78.1125,2010,1,"Orange, Orange"
38.6134,-84.9769,2010,1,"Owen, Wheatley"
41.1798,-84.7378,2010,6,"Paulding, Antwerp"
36.8468,-76.354,2010,214,"Portsmouth (city), Portsmouth"
37.5427,-77.9267,2010,2,"Powhatan, Powhatan"
38.6823,-77.2604,2010,4,"Prince William, Occoquan"
41.0997,-84.2693,2010,4,"Putnam, Continental"
37.9501,-76.6625,2010,333,"Richmond, Haynesville"
40.5331,-77.8141,2010,5,"Mifflin, Allensville"
39.7927,-84.3165,2010,1265,"Montgomery, Trotwood"
40.2111,-75.2744,2010,83,"Montgomery, North Wales"
39.5313,-78.4553,2010,3,"Morgan, Paw Paw"
36.6716,-79.4196,2010,1,"Pittsylvania, Mount Hermon"
38.7968,-79.8967,2010,1,"Randolph, Dailey"
38.7383,-82.842,2010,17,"Scioto, Wheelersburg"
39.9834,-78.772,2010,34,"Somerset, New Baltimore"
38.1982,-77.5885,2010,38,"Spotsylvania, Spotsylvania Courthouse"
40.3533,-83.2628,2010,33,"Union, Magnetic Springs"
39.6323,-84.2725,2010,56,"Montgomery, Miamisburg"
36.8945,-76.259,2010,134,"Norfolk (city), Norfolk"
40.7841,-76.6713,2010,21,"Northumberland, Trevorton"
39.7917,-84.7133,2010,13,"Preble, New Hope"
37.1229,-80.5583,2010,1,"Radford (city), Radford"
40.9345,-82.4502,2010,101,"Richland, Adario"
37.4027,-84.4144,2010,1,"Rockcastle, Brodhead"
38.6601,-78.9061,2010,27,"Rockingham, Fulks Run"
38.9231,-78.1033,2010,21,"Warren, Apple Mountain Lake"
37.6301,-79.5431,2010,1,"Rockbridge, Natural Bridge"
36.9052,-76.8978,2010,4,"Southampton, Ivor"
36.5882,-76.6847,2010,30,"Suffolk (city), Whaleyville"
36.8457,-77.2875,2010,2,"Sussex, Yale"
40.8006,-84.7746,2010,48,"Van Wert, Wren"
39.6314,-81.4562,2010,34,"Washington, Macksburg"
36.9321,-84.1004,2010,3,"Whitley, Corbin"
37.2691,-76.7075,2010,1,"Williamsburg (city), Williamsburg"
39.9163,-76.5841,2010,285,"York, Windsor"
38.8559,-83.4713,2011,60,"Adams, Dunkinsville"
37.3366,-77.9882,2011,2,"Amelia, Amelia Court House"
40.6513,-84.146,2011,22,"Auglaize, Cridersville"
41.8332,-75.8762,2010,10,"Susquehanna, Montrose"
39.0813,-79.6455,2010,1,"Tucker, Hambleton"
39.6035,-80.9351,2010,25,"Tyler, Paden City"
36.7335,-76.0435,2010,84,"Virginia Beach (city), Virginia Beach"
38.0941,-76.8229,2010,2,"Westmoreland, Montross"
39.5689,-80.7316,2010,4,"Wetzel, Reader"
36.8862,-81.192,2010,1,"Wythe, Crockett"
37.8865,-79.9795,2011,1,"Alleghany, Falling Spring"
40.5989,-80.4738,2011,104,"Beaver, Hookstown"
40.3495,-76.1391,2011,243,"Berks, Robesonia"
40.6864,-78.2272,2011,50,"Blair, Northwood"
38.9927,-80.2279,2010,1,"Upshur, Buckhannon"
39.3496,-84.1236,2010,133,"Warren, Morrow"
40.3264,-80.4091,2010,132,"Washington, Cross Creek"
37.4662,-87.7342,2010,2,"Webster, Lisman"
40.3312,-79.677,2010,241,"Westmoreland, Westmoreland City"
39.1734,-78.1745,2010,41,"Winchester (city), Winchester"
41.3236,-83.4363,2010,42,"Wood, Bradner"
39.1806,-81.513,2010,60,"Wood, Mineral Wells"
40.95,-83.3836,2010,2,"Wyandot, Carey"
41.8567,-80.6173,2011,50,"Ashtabula, Kelloggsville"
40.2592,-78.5075,2011,28,"Bedford, Queen"
38.2204,-84.4699,2010,4,"Scott, Newtown"
40.8159,-81.4165,2010,78,"Stark, Meyers Lake"
41.6795,-77.069,2010,3,"Tioga, Blossburg"
36.9725,-86.4371,2010,4,"Warren, Bowling Green"
38.8184,-77.0861,2011,7,"Alexandria (city), Alexandria"
38.8786,-77.1011,2011,44,"Arlington, Arlington"
40.9214,-82.2818,2011,56,"Ashland, Nankin"
39.4005,-82.1261,2011,91,"Athens, Chauncey"
38.8673,-83.7878,2011,29,"Brown, Russellville"
37.494,-78.6333,2011,3,"Buckingham, Toga"
40.9185,-79.4603,2011,86,"Armstrong, Templeton"
38.1939,-79.0087,2011,3,"Augusta, Verona"
40.1621,-81.1313,2011,8,"Belmont, Holloway"
38.0645,-85.7146,2011,4,"Bullitt, Brooks"
37.12,-87.4875,2011,2,"Christian, Mannington"
41.5024,-84.418,2010,1,"Williams, Stryker"
38.7881,-77.4494,2010,8,"Prince William, Yorkshire"
39.8826,-77.1569,2011,20,"Adams, Hunterstown"
40.8305,-84.0848,2011,63,"Allen, Cairo"
38.1948,-79.5709,2011,5,"Bath, Williamsville"
38.9472,-84.6731,2011,55,"Boone, Union"
38.4154,-82.3188,2011,129,"Cabell, Pea Ridge"
37.4551,-84.9875,2011,2,"Casey, Chilton"
41.1062,-78.7749,2011,11,"Clearfield, Sandy"
41.0094,-77.5306,2011,2,"Clinton, Lamar"
40.2761,-81.7517,2011,11,"Coshocton, West Lafayette"
38.416,-77.8267,2011,12,"Culpeper, Lignum"
41.6639,-83.582,2010,333,"Lucas, Toledo"
41.3265,-76.9455,2010,101,"Lycoming, Warrensville"
37.0759,-88.0769,2010,2,"Lyon, Eddyville"
38.7054,-83.9191,2010,18,"Mason, Minerva"
39.5512,-79.8003,2010,21,"Preston, Masontown"
36.6648,-84.4395,2010,2,"McCreary, Pine Knot"
37.2042,-77.3914,2010,13,"Petersburg (city), Petersburg"
40.0076,-75.134,2010,3910,"Philadelphia, Philadelphia"
39.554,-82.7779,2010,42,"Pickaway, Tarlton"
41.4045,-75.183,2010,35,"Pike, Tafton"
41.0245,-81.0501,2010,94,"Portage, Deerfield"
39.5512,-79.8003,2010,5,"Preston, Masontown"
38.6823,-77.2604,2010,66,"Prince William, Occoquan"
41.388,-83.3218,2010,7,"Sandusky, Gibsonburg"
40.8565,-76.235,2010,49,"Schuylkill, Ringtown"
41.2162,-83.3285,2010,24,"Seneca, Amsden"
36.7929,-81.5927,2010,4,"Smyth, Adwolf"
40.7078,-77.3107,2010,3,"Snyder, McClure"
40.5609,-81.495,2010,9,"Tuscarawas, Parral"
41.4998,-79.8736,2010,15,"Venango, Cooperstown"
38.9776,-82.3374,2010,5,"Gallia, Vinton"
40.9864,-81.9948,2010,43,"Wayne, Burbank"
41.3957,-75.2731,2010,15,"Wayne, Wallenpaupack Lake Estates"
40.4001,-80.1873,2011,2298,"Allegheny, Oakdale"
37.0048,-85.9264,2011,3,"Barren, Glasgow"
37.3866,-79.7253,2011,4,"Bedford, Montvale"
37.4167,-79.8779,2011,12,"Botetourt, Troutville"
36.8553,-77.8937,2011,1,"Brunswick, Alberta"
39.3938,-84.5652,2011,235,"Butler, Hamilton"
39.0401,-84.4815,2011,156,"Campbell, Wilder"
40.98,-77.7057,2011,12,"Centre, Mount Eagle"
36.9933,-78.601,2011,1,"Charlotte, Drakes Branch"
39.1508,-77.9823,2011,1,"Clarke, Berryville"
41.3259,-84.2855,2011,23,"Defiance, Jewell"
39.894,-75.4338,2011,461,"Delaware, Glen Riddle"
38.1059,-84.5255,2011,23,"Fayette, Greendale"
37.8193,-85.9358,2011,2,"Hardin, Radcliff"
40.1015,-74.8852,2011,821,"Bucks, West Bristol"
40.2174,-83.9635,2011,37,"Champaign, Rosewood"
37.506,-77.6492,2011,98,"Chesterfield, Midlothian"
39.2325,-84.1532,2011,271,"Clermont, Goshen"
40.7392,-82.7773,2011,20,"Crawford, Galion"
36.8293,-79.9917,2011,10,"Franklin, Henry"
41.371,-83.9415,2011,8,"Henry, McClure"
37.2914,-77.2985,2011,2,"Hopewell (city), Hopewell"
41.4011,-82.808,2011,78,"Erie, Castalia"
41.1045,-82.6137,2011,149,"Huron, North Fairfield"
38.6355,-77.6661,2011,55,"Fauquier, Calverton"
41.7113,-83.9053,2011,18,"Fulton, Metamora"
39.932,-77.9958,2011,7,"Fulton, McConnellsburg"
39.9476,-79.9986,2011,40,"Greene, Rices Landing"
36.816,-77.4689,2011,1,"Greensville, Jarratt"
38.4949,-82.6911,2011,1,"Greenup, Bellefonte"
38.8779,-78.8661,2011,5,"Hardy, Mathias"
37.6274,-77.4322,2011,130,"Henrico, Chamberlayne Heights"
40.5533,-81.9164,2011,1,"Holmes, Millersburg"
41.2508,-82.4915,2011,83,"Huron, Collins"
39.1117,-82.6108,2011,50,"Jackson, Coalton"
39.0551,-78.3681,2010,16,"Shenandoah, Lebanon Church"
38.3319,-77.4655,2010,22,"Stafford, Falmouth"
37.7243,-80.8865,2010,12,"Summers, Brooks"
41.0802,-81.5219,2010,112,"Summit, Akron"
37.2273,-76.9665,2010,1,"Surry, Claremont"
41.462,-80.6656,2010,122,"Trumbull, Gustavus"
41.7806,-79.0941,2010,11,"Warren, Clarendon"
41.6119,-76.0457,2010,18,"Wyoming, Meshoppen"
37.6917,-75.7182,2011,1,"Accomack, Onley"
39.458,-77.9779,2011,210,"Berkeley, Martinsburg"
40.9505,-79.74,2011,80,"Butler, Chicora"
40.4111,-78.8446,2011,74,"Cambria, Vinco"
40.8289,-75.7009,2011,33,"Carbon, Weissport"
38.6098,-85.0681,2011,23,"Carroll, Worthville"
40.5209,-81.0031,2011,4,"Carroll, Harlem Springs"
41.2106,-79.3803,2011,33,"Clarion, Clarion"
39.8862,-84.0243,2011,7,"Clark, Crystal Lakes"
41.0177,-76.4969,2011,51,"Columbia, Buckhorn"
41.8176,-79.8364,2011,8,"Crawford, Canadohta Lake"
38.8514,-77.1579,2011,157,"Fairfax, Lake Barcroft"
37.451,-82.7994,2011,3,"Floyd, Wayland"
38.3228,-84.8955,2011,3,"Franklin, Ottusville"
40.6179,-80.5998,2011,1,"Hancock, Newell"
40.8064,-83.5114,2011,107,"Hardin, Forest"
38.3354,-82.7816,2011,40,"Boyd, Rush"
37.5855,-84.7903,2011,1,"Boyle, Junction City"
38.6818,-84.0666,2011,3,"Bracken, Brooksville"
38.0533,-77.3473,2011,11,"Caroline, Bowling Green"
39.9639,-75.885,2011,126,"Chester, Pomeroy"
41.4948,-81.5348,2011,537,"Cuyahoga, University Heights"
39.8665,-83.0703,2011,697,"Franklin, Grove City"
39.264,-78.3319,2011,84,"Frederick, Gore"
41.3722,-81.0591,2011,9,"Geauga, Parkman"
38.9815,-80.9496,2011,4,"Gilmer, Tanner"
37.2801,-76.4402,2011,3,"Gloucester, Achilles"
40.0221,-81.5868,2011,7,"Guernsey, Cambridge"
40.9348,-83.8235,2011,34,"Hancock, Mount Cory"
37.7668,-77.3706,2011,60,"Hanover, Hanover"
40.2422,-76.9274,2011,14,"Cumberland, Camp Hill"
40.1679,-83.08,2011,550,"Delaware, Powell"
42.2134,-79.8333,2011,103,"Erie, North East"
39.6522,-83.5564,2011,24,"Fayette, Jeffersonville"
38.8862,-82.1463,2011,5,"Gallia, Addison"
39.0747,-83.3871,2011,120,"Highland, Sinking Spring"
36.866,-76.8308,2011,2,"Isle of Wight, Zuni"
40.5342,-82.5049,2011,7,"Knox, Ankenytown"
41.4846,-75.666,2011,376,"Lackawanna, Chinchilla"
41.7606,-76.1763,2011,18,"Bradford, Stevensville"
40.2811,-80.6102,2011,5,"Brooke, Wellsburg"
38.0014,-84.1908,2011,6,"Clark, Winchester"
39.3224,-83.8109,2011,65,"Clinton, Martinsville"
40.2802,-84.6384,2011,31,"Darke, Rossburg"
40.2752,-76.8843,2011,205,"Dauphin, Harrisburg"
41.5726,-78.6869,2011,1,"Elk, Wilcox"
37.9607,-81.0795,2011,6,"Fayette, Thurmond"
38.7326,-84.5966,2011,4,"Grant, Sherman"
39.6598,-83.7431,2011,96,"Greene, Jamestown"
36.9052,-76.8978,2011,20,"Southampton, Ivor"
39.1907,-81.7495,2011,15,"Athens, Hockingport"
41.4884,-82.0978,2011,397,"Lorain, Sheffield Lake"
40.4007,-83.5444,2011,38,"Logan, West Mansfield"
41.3265,-76.9455,2011,88,"Lycoming, Warrensville"
39.5512,-79.8003,2011,1,"Preston, Masontown"
39.6323,-84.2725,2011,72,"Montgomery, Miamisburg"
39.554,-82.7779,2011,45,"Pickaway, Tarlton"
37.2903,-85.7672,2011,1,"Hart, Canmer"
37.1737,-87.6885,2011,2,"Hopkins, Dawson Springs"
40.6783,-79.1646,2011,87,"Indiana, Ernest"
38.8656,-81.8235,2011,29,"Jackson, Cottageville"
39.6522,-83.5564,2011,27,"Fayette, Jeffersonville"
40.9702,-78.8765,2011,56,"Jefferson, Big Run"
39.3242,-77.7517,2011,3,"Jefferson, Bolivar"
37.494,-78.6333,2011,2,"Buckingham, Toga"
40.6666,-75.5072,2011,350,"Lehigh, Stiles"
41.3128,-81.9157,2011,21,"Lorain, Columbia Hills Corners"
39.9487,-83.2993,2011,70,"Madison, West Jefferson"
39.9854,-80.7335,2011,11,"Marshall, McMechen"
37.5668,-82.7603,2011,2,"Floyd, Martin"
38.7054,-83.9191,2011,11,"Mason, Minerva"
39.1806,-81.513,2011,13,"Wood, Mineral Wells"
39.4461,-84.3666,2011,6,"Butler, Monroe"
37.0675,-80.4405,2011,3,"Montgomery, Riner"
40.9865,-76.635,2011,11,"Montour, Mausdale"
37.1231,-87.2125,2011,3,"Muhlenberg, Weir"
37.1052,-76.5185,2011,16,"Newport News (city), Newport News"
37.494,-78.6333,2011,6,"Buckingham, Toga"
39.832,-76.3275,2011,359,"Lancaster, Holtwood"
37.453,-84.7579,2011,2,"Lincoln, McKinney"
37.724,-84.2928,2011,3,"Madison, Richmond"
36.9728,-88.612,2011,5,"McCracken, Freemont"
41.0348,-82.0122,2011,90,"Medina, Lodi"
39.0292,-82.034,2011,13,"Meigs, Pomeroy"
39.9037,-82.018,2011,6,"Muskingum, South Zanesville"
38.7358,-77.1993,2011,7,"Fairfax, Newington"
38.0068,-77.9061,2011,6,"Louisa, Mineral"
40.9207,-81.0231,2011,373,"Mahoning, Sebring"
36.666,-78.3908,2011,1,"Mecklenburg, Boydton"
37.4362,-80.964,2011,9,"Mercer, Pettry"
37.997,-83.8925,2011,12,"Montgomery, Camargo"
38.3355,-85.4839,2011,9,"Oldham, Crestwood"
40.3951,-77.0278,2011,23,"Perry, Duncannon"
37.2747,-79.8886,2011,57,"Roanoke, Vinton"
40.8565,-76.235,2011,78,"Schuylkill, Ringtown"
40.4389,-84.2597,2011,48,"Shelby, Kettlersville"
40.8618,-80.2625,2011,8,"Lawrence, Ellport"
39.0393,-80.6551,2011,4,"Lewis, Alum Bridge"
39.9595,-82.4129,2011,484,"Licking, Jacksontown"
41.3338,-75.8214,2011,369,"Luzerne, Exeter"
41.177,-75.418,2011,79,"Monroe, Tobyhanna"
40.6209,-82.6618,2011,13,"Morrow, Shauck"
40.6295,-75.2024,2011,234,"Northampton, Raubsville"
38.6823,-77.2604,2011,1,"Prince William, Occoquan"
36.9342,-80.7255,2011,3,"Pulaski, Allisonia"
38.6562,-78.2322,2011,1,"Rappahannock, Sperryville"
36.8353,-83.7598,2011,1,"Knox, Flat Lick"
38.4298,-82.4488,2011,2,"Lawrence, Chesapeake"
40.337,-76.448,2011,40,"Lebanon, Pleasant Hill"
40.5321,-83.2077,2011,61,"Marion, Green Camp"
41.8694,-78.66,2011,3,"McKean, Lewis Run"
40.4113,-84.7761,2011,94,"Mercer, Fort Recovery"
40.5331,-77.8141,2011,5,"Mifflin, Allensville"
39.6587,-79.9868,2011,7,"Monongalia, Star City"
39.7927,-84.3165,2011,1593,"Montgomery, Trotwood"
39.3923,-80.2989,2011,15,"Harrison, Shinnston"
36.8293,-79.9917,2011,1,"Franklin, Henry"
38.2907,-85.6333,2011,238,"Jefferson, Glenview Manor"
40.5855,-77.5782,2011,2,"Mifflin, Juniata Terrace"
39.0338,-84.5675,2011,242,"Kenton, Lakeside Park"
37.0037,-84.161,2011,2,"Laurel, Keavy"
41.6639,-83.582,2011,301,"Lucas, Toledo"
39.5013,-80.1696,2011,64,"Marion, Barrackville"
36.6648,-84.4395,2011,1,"McCreary, Pine Knot"
39.5313,-78.4553,2011,24,"Morgan, Paw Paw"
36.8945,-76.259,2011,8,"Norfolk (city), Norfolk"
40.7841,-76.6713,2011,25,"Northumberland, Trevorton"
38.1425,-84.1101,2011,1,"Bourbon, North Middletown"
