经度,纬度,Year,Amount,Name
39.4069,-83.1842,2010,44,Ross/Ohio
37.2864,-80.0554,2010,12,Salem (city)/Virginia
41.3338,-75.8214,2010,382,Luzerne/Pennsylvania
37.7015,-83.1516,2010,1,Magoffin/Kentucky
38.7717,-77.4448,2010,28,Manassas Park (city)/Virginia
37.5156,-85.2625,2010,1,Marion/Kentucky
37.8416,-82.4223,2010,4,Martin/Kentucky
41.1572,-80.0893,2010,10,Mercer/Pennsylvania
39.6587,-79.9868,2010,219,Monongalia/West Virginia
40.6209,-82.6618,2010,13,Morrow/Ohio
39.1517,-82.9102,2010,6,Pike/Ohio
36.666,-78.3908,2010,1,Mecklenburg/Virginia
38.3355,-85.4839,2010,3,Oldham/Kentucky
37.2245,-83.2752,2010,1,Perry/Kentucky
40.3951,-77.0278,2010,11,Perry/Pennsylvania
37.1318,-76.3569,2010,4,Poquoson (city)/Virginia
37.9443,-81.4371,2010,14,Raleigh/West Virginia
38.6562,-78.2322,2010,1,Rappahannock/Virginia
37.2747,-79.8886,2010,130,Roanoke/Virginia
40.4389,-84.2597,2010,38,Shelby/Ohio
41.0348,-82.0122,2010,92,Medina/Ohio
41.177,-75.418,2010,88,Monroe/Pennsylvania
39.7373,-81.9154,2010,10,Morgan/Ohio
40.6295,-75.2024,2010,343,Northampton/Pennsylvania
38.2484,-78.1125,2010,1,Orange/Virginia
38.6134,-84.9769,2010,1,Owen/Kentucky
41.1798,-84.7378,2010,6,Paulding/Ohio
36.8468,-76.354,2010,214,Portsmouth (city)/Virginia
37.5427,-77.9267,2010,2,Powhatan/Virginia
38.6823,-77.2604,2010,70,Prince William/Virginia
41.0997,-84.2693,2010,4,Putnam/Ohio
37.9501,-76.6625,2010,333,Richmond/Virginia
40.5331,-77.8141,2010,5,Mifflin/Pennsylvania
39.7927,-84.3165,2010,1265,Montgomery/Ohio
40.2111,-75.2744,2010,83,Montgomery/Pennsylvania
39.5313,-78.4553,2010,3,Morgan/West Virginia
36.6716,-79.4196,2010,1,Pittsylvania/Virginia
38.7968,-79.8967,2010,1,Randolph/West Virginia
38.7383,-82.842,2010,17,Scioto/Ohio
39.9834,-78.772,2010,34,Somerset/Pennsylvania
38.1982,-77.5885,2010,38,Spotsylvania/Virginia
40.3533,-83.2628,2010,33,Union/Ohio
39.9951,-84.4084,2010,56,Miami/Ohio
36.8945,-76.259,2010,134,Norfolk (city)/Virginia
40.7841,-76.6713,2010,21,Northumberland/Pennsylvania
39.7917,-84.7133,2010,13,Preble/Ohio
37.1229,-80.5583,2010,1,Radford (city)/Virginia
40.9345,-82.4502,2010,101,Richland/Ohio
37.4027,-84.4144,2010,1,Rockcastle/Kentucky
38.6601,-78.9061,2010,27,Rockingham/Virginia
38.9231,-78.1033,2010,21,Warren/Virginia
37.6301,-79.5431,2010,1,Rockbridge/Virginia
36.5882,-76.6847,2010,30,Suffolk (city)/Virginia
36.8457,-77.2875,2010,2,Sussex/Virginia
40.8006,-84.7746,2010,48,Van Wert/Ohio
39.6314,-81.4562,2010,34,Washington/Ohio
36.9321,-84.1004,2010,3,Whitley/Kentucky
37.2691,-76.7075,2010,1,Williamsburg (city)/Virginia
39.9163,-76.5841,2010,285,York/Pennsylvania
38.8559,-83.4713,2011,60,Adams/Ohio
37.3366,-77.9882,2011,2,Amelia/Virginia
40.6513,-84.146,2011,22,Auglaize/Ohio
41.8332,-75.8762,2010,10,Susquehanna/Pennsylvania
39.0813,-79.6455,2010,1,Tucker/West Virginia
39.6035,-80.9351,2010,25,Tyler/West Virginia
36.7335,-76.0435,2010,84,Virginia Beach (city)/Virginia
38.0941,-76.8229,2010,2,Westmoreland/Virginia
39.5689,-80.7316,2010,4,Wetzel/West Virginia
36.8862,-81.192,2010,1,Wythe/Virginia
37.8865,-79.9795,2011,1,Alleghany/Virginia
40.5989,-80.4738,2011,104,Beaver/Pennsylvania
40.3495,-76.1391,2011,243,Berks/Pennsylvania
40.6864,-78.2272,2011,50,Blair/Pennsylvania
38.9927,-80.2279,2010,1,Upshur/West Virginia
39.3496,-84.1236,2010,133,Warren/Ohio
40.3264,-80.4091,2010,132,Washington/Pennsylvania
37.4662,-87.7342,2010,2,Webster/Kentucky
40.3312,-79.677,2010,241,Westmoreland/Pennsylvania
39.1734,-78.1745,2010,41,Winchester (city)/Virginia
41.3236,-83.4363,2010,42,Wood/Ohio
39.1806,-81.513,2010,60,Wood/West Virginia
40.95,-83.3836,2010,2,Wyandot/Ohio
41.8567,-80.6173,2011,50,Ashtabula/Ohio
40.2592,-78.5075,2011,28,Bedford/Pennsylvania
38.2204,-84.4699,2010,4,Scott/Kentucky
40.8159,-81.4165,2010,78,Stark/Ohio
41.6795,-77.069,2010,3,Tioga/Pennsylvania
36.9725,-86.4371,2010,4,Warren/Kentucky
38.8184,-77.0861,2011,7,Alexandria (city)/Virginia
38.8786,-77.1011,2011,44,Arlington/Virginia
40.9214,-82.2818,2011,56,Ashland/Ohio
39.4005,-82.1261,2011,91,Athens/Ohio
38.8673,-83.7878,2011,29,Brown/Ohio
37.494,-78.6333,2011,11,Buckingham/Virginia
40.9185,-79.4603,2011,86,Armstrong/Pennsylvania
38.1939,-79.0087,2011,3,Augusta/Virginia
40.1621,-81.1313,2011,8,Belmont/Ohio
38.0645,-85.7146,2011,4,Bullitt/Kentucky
37.12,-87.4875,2011,2,Christian/Kentucky
41.5024,-84.418,2010,1,Williams/Ohio
37.1982,-76.433,2010,8,York/Virginia
39.8826,-77.1569,2011,20,Adams/Pennsylvania
40.8305,-84.0848,2011,63,Allen/Ohio
38.1948,-79.5709,2011,5,Bath/Virginia
38.9472,-84.6731,2011,55,Boone/Kentucky
38.4154,-82.3188,2011,129,Cabell/West Virginia
37.4551,-84.9875,2011,2,Casey/Kentucky
41.1062,-78.7749,2011,11,Clearfield/Pennsylvania
41.0094,-77.5306,2011,2,Clinton/Pennsylvania
40.2761,-81.7517,2011,11,Coshocton/Ohio
38.416,-77.8267,2011,12,Culpeper/Virginia
41.6639,-83.582,2010,333,Lucas/Ohio
41.3265,-76.9455,2010,101,Lycoming/Pennsylvania
37.0759,-88.0769,2010,2,Lyon/Kentucky
38.7054,-83.9191,2010,18,Mason/Kentucky
38.6663,-82.1706,2010,21,Mason/West Virginia
36.6648,-84.4395,2010,2,McCreary/Kentucky
37.2042,-77.3914,2010,13,Petersburg (city)/Virginia
40.0076,-75.134,2010,3910,Philadelphia/Pennsylvania
39.554,-82.7779,2010,42,Pickaway/Ohio
41.4045,-75.183,2010,35,Pike/Pennsylvania
41.0245,-81.0501,2010,94,Portage/Ohio
39.5512,-79.8003,2010,5,Preston/West Virginia
41.388,-83.3218,2010,7,Sandusky/Ohio
40.8565,-76.235,2010,49,Schuylkill/Pennsylvania
41.2162,-83.3285,2010,24,Seneca/Ohio
36.7929,-81.5927,2010,4,Smyth/Virginia
40.7078,-77.3107,2010,3,Snyder/Pennsylvania
40.5609,-81.495,2010,9,Tuscarawas/Ohio
41.4998,-79.8736,2010,15,Venango/Pennsylvania
39.1591,-82.5243,2010,5,Vinton/Ohio
40.9864,-81.9948,2010,43,Wayne/Ohio
41.3957,-75.2731,2010,15,Wayne/Pennsylvania
40.4001,-80.1873,2011,2298,Allegheny/Pennsylvania
37.0048,-85.9264,2011,3,Barren/Kentucky
37.3866,-79.7253,2011,4,Bedford/Virginia
37.4167,-79.8779,2011,12,Botetourt/Virginia
36.8553,-77.8937,2011,1,Brunswick/Virginia
39.3938,-84.5652,2011,235,Butler/Ohio
39.0401,-84.4815,2011,156,Campbell/Kentucky
40.98,-77.7057,2011,12,Centre/Pennsylvania
36.9933,-78.601,2011,1,Charlotte/Virginia
39.1508,-77.9823,2011,1,Clarke/Virginia
41.3259,-84.2855,2011,23,Defiance/Ohio
39.894,-75.4338,2011,461,Delaware/Pennsylvania
38.1059,-84.5255,2011,23,Fayette/Kentucky
37.8193,-85.9358,2011,2,Hardin/Kentucky
40.1015,-74.8852,2011,821,Bucks/Pennsylvania
40.2174,-83.9635,2011,37,Champaign/Ohio
37.506,-77.6492,2011,98,Chesterfield/Virginia
39.2325,-84.1532,2011,271,Clermont/Ohio
40.7392,-82.7773,2011,20,Crawford/Ohio
36.8293,-79.9917,2011,10,Franklin/Virginia
41.371,-83.9415,2011,8,Henry/Ohio
37.2914,-77.2985,2011,2,Hopewell (city)/Virginia
41.4011,-82.808,2011,78,Erie/Ohio
39.8426,-82.5446,2011,149,Fairfield/Ohio
38.6355,-77.6661,2011,55,Fauquier/Virginia
41.7113,-83.9053,2011,18,Fulton/Ohio
39.932,-77.9958,2011,7,Fulton/Pennsylvania
39.9476,-79.9986,2011,40,Greene/Pennsylvania
36.816,-77.4689,2011,1,Greensville/Virginia
38.4949,-82.6911,2011,1,Greenup/Kentucky
38.8779,-78.8661,2011,5,Hardy/West Virginia
37.6274,-77.4322,2011,130,Henrico/Virginia
40.5533,-81.9164,2011,1,Holmes/Ohio
41.2508,-82.4915,2011,83,Huron/Ohio
39.1117,-82.6108,2011,50,Jackson/Ohio
39.0551,-78.3681,2010,16,Shenandoah/Virginia
38.3319,-77.4655,2010,22,Stafford/Virginia
37.7243,-80.8865,2010,12,Summers/West Virginia
41.0802,-81.5219,2010,112,Summit/Ohio
37.2273,-76.9665,2010,1,Surry/Virginia
41.462,-80.6656,2010,122,Trumbull/Ohio
41.7806,-79.0941,2010,11,Warren/Pennsylvania
41.6119,-76.0457,2010,18,Wyoming/Pennsylvania
37.6917,-75.7182,2011,1,Accomack/Virginia
39.458,-77.9779,2011,210,Berkeley/West Virginia
40.9505,-79.74,2011,80,Butler/Pennsylvania
40.4111,-78.8446,2011,74,Cambria/Pennsylvania
40.8289,-75.7009,2011,33,Carbon/Pennsylvania
38.6098,-85.0681,2011,23,Carroll/Kentucky
40.5209,-81.0031,2011,4,Carroll/Ohio
41.2106,-79.3803,2011,33,Clarion/Pennsylvania
39.8862,-84.0243,2011,7,Clark/Ohio
41.0177,-76.4969,2011,51,Columbia/Pennsylvania
41.8176,-79.8364,2011,8,Crawford/Pennsylvania
38.8514,-77.1579,2011,157,Fairfax/Virginia
37.451,-82.7994,2011,3,Floyd/Kentucky
38.3228,-84.8955,2011,3,Franklin/Kentucky
40.6179,-80.5998,2011,1,Hancock/West Virginia
40.8064,-83.5114,2011,107,Hardin/Ohio
38.3354,-82.7816,2011,40,Boyd/Kentucky
37.5855,-84.7903,2011,1,Boyle/Kentucky
38.6818,-84.0666,2011,3,Bracken/Kentucky
38.0533,-77.3473,2011,11,Caroline/Virginia
39.9639,-75.885,2011,126,Chester/Pennsylvania
41.4948,-81.5348,2011,537,Cuyahoga/Ohio
39.8665,-83.0703,2011,697,Franklin/Ohio
39.264,-78.3319,2011,84,Frederick/Virginia
41.3722,-81.0591,2011,9,Geauga/Ohio
38.9815,-80.9496,2011,4,Gilmer/West Virginia
37.2801,-76.4402,2011,3,Gloucester/Virginia
40.0221,-81.5868,2011,7,Guernsey/Ohio
40.9348,-83.8235,2011,34,Hancock/Ohio
37.7668,-77.3706,2011,60,Hanover/Virginia
40.2422,-76.9274,2011,14,Cumberland/Pennsylvania
40.1679,-83.08,2011,550,Delaware/Ohio
42.2134,-79.8333,2011,103,Erie/Pennsylvania
39.6522,-83.5564,2011,24,Fayette/Ohio
38.8862,-82.1463,2011,5,Gallia/Ohio
39.0747,-83.3871,2011,120,Highland/Ohio
36.866,-76.8308,2011,2,Isle of Wight/Virginia
40.5342,-82.5049,2011,7,Knox/Ohio
41.4846,-75.666,2011,376,Lackawanna/Pennsylvania
41.7606,-76.1763,2011,18,Bradford/Pennsylvania
40.2811,-80.6102,2011,5,Brooke/West Virginia
38.0014,-84.1908,2011,6,Clark/Kentucky
39.3224,-83.8109,2011,65,Clinton/Ohio
40.2802,-84.6384,2011,31,Darke/Ohio
40.2752,-76.8843,2011,205,Dauphin/Pennsylvania
41.5726,-78.6869,2011,1,Elk/Pennsylvania
37.9607,-81.0795,2011,6,Fayette/West Virginia
38.7326,-84.5966,2011,4,Grant/Kentucky
39.6598,-83.7431,2011,96,Greene/Ohio
36.9052,-76.8978,2011,27,Southampton/Virginia
39.4187,-82.5993,2011,15,Hocking/Ohio
41.6072,-81.469,2011,397,Lake/Ohio
40.4007,-83.5444,2011,38,Logan/Ohio
41.3265,-76.9455,2011,88,Lycoming/Pennsylvania
38.6663,-82.1706,2011,1,Mason/West Virginia
39.9951,-84.4084,2011,72,Miami/Ohio
39.554,-82.7779,2011,45,Pickaway/Ohio
37.2903,-85.7672,2011,1,Hart/Kentucky
37.1737,-87.6885,2011,2,Hopkins/Kentucky
40.6783,-79.1646,2011,87,Indiana/Pennsylvania
38.8656,-81.8235,2011,29,Jackson/West Virginia
40.3653,-80.652,2011,27,Jefferson/Ohio
40.9702,-78.8765,2011,56,Jefferson/Pennsylvania
39.3242,-77.7517,2011,3,Jefferson/West Virginia
40.6666,-75.5072,2011,350,Lehigh/Pennsylvania
41.3128,-81.9157,2011,21,Lorain/Ohio
39.9487,-83.2993,2011,70,Madison/Ohio
39.9854,-80.7335,2011,11,Marshall/West Virginia
37.8416,-82.4223,2011,2,Martin/Kentucky
38.7054,-83.9191,2011,11,Mason/Kentucky
39.337,-78.9223,2011,13,Mineral/West Virginia
39.8489,-81.0354,2011,6,Monroe/Ohio
37.0675,-80.4405,2011,3,Montgomery/Virginia
40.9865,-76.635,2011,11,Montour/Pennsylvania
37.1231,-87.2125,2011,3,Muhlenberg/Kentucky
37.1052,-76.5185,2011,16,Newport News (city)/Virginia
39.832,-76.3275,2011,359,Lancaster/Pennsylvania
37.453,-84.7579,2011,2,Lincoln/Kentucky
37.724,-84.2928,2011,3,Madison/Kentucky
36.9728,-88.612,2011,5,McCracken/Kentucky
41.0348,-82.0122,2011,90,Medina/Ohio
39.0292,-82.034,2011,13,Meigs/Ohio
39.9037,-82.018,2011,6,Muskingum/Ohio
37.4418,-77.0436,2011,7,New Kent/Virginia
38.0068,-77.9061,2011,6,Louisa/Virginia
40.9207,-81.0231,2011,373,Mahoning/Ohio
36.666,-78.3908,2011,1,Mecklenburg/Virginia
37.4362,-80.964,2011,9,Mercer/West Virginia
37.997,-83.8925,2011,12,Montgomery/Kentucky
38.3355,-85.4839,2011,9,Oldham/Kentucky
40.3951,-77.0278,2011,23,Perry/Pennsylvania
37.2747,-79.8886,2011,57,Roanoke/Virginia
40.8565,-76.235,2011,78,Schuylkill/Pennsylvania
40.4389,-84.2597,2011,48,Shelby/Ohio
40.8618,-80.2625,2011,8,Lawrence/Pennsylvania
39.0393,-80.6551,2011,4,Lewis/West Virginia
39.9595,-82.4129,2011,484,Licking/Ohio
41.3338,-75.8214,2011,369,Luzerne/Pennsylvania
41.177,-75.418,2011,79,Monroe/Pennsylvania
40.6209,-82.6618,2011,13,Morrow/Ohio
40.6295,-75.2024,2011,234,Northampton/Pennsylvania
38.6823,-77.2604,2011,82,Prince William/Virginia
36.9342,-80.7255,2011,3,Pulaski/Virginia
38.6562,-78.2322,2011,1,Rappahannock/Virginia
36.8353,-83.7598,2011,1,Knox/Kentucky
38.4298,-82.4488,2011,2,Lawrence/Ohio
40.337,-76.448,2011,40,Lebanon/Pennsylvania
40.5321,-83.2077,2011,61,Marion/Ohio
41.8694,-78.66,2011,3,McKean/Pennsylvania
40.4113,-84.7761,2011,94,Mercer/Ohio
40.5331,-77.8141,2011,5,Mifflin/Pennsylvania
39.6587,-79.9868,2011,7,Monongalia/West Virginia
39.7927,-84.3165,2011,1593,Montgomery/Ohio
39.3923,-80.2989,2011,15,Harrison/West Virginia
36.6871,-79.7872,2011,1,Henry/Virginia
38.2907,-85.6333,2011,238,Jefferson/Kentucky
40.6868,-77.114,2011,2,Juniata/Pennsylvania
39.0338,-84.5675,2011,242,Kenton/Kentucky
37.0037,-84.161,2011,2,Laurel/Kentucky
41.6639,-83.582,2011,301,Lucas/Ohio
39.5013,-80.1696,2011,64,Marion/West Virginia
36.6648,-84.4395,2011,1,McCreary/Kentucky
39.5313,-78.4553,2011,24,Morgan/West Virginia
36.8945,-76.259,2011,8,Norfolk (city)/Virginia
40.7841,-76.6713,2011,25,Northumberland/Pennsylvania
38.1425,-84.1101,2011,1,Bourbon/Kentucky
36.6778,-76.3024,2011,6,Chesapeake (city)/Virginia
40.8871,-80.675,2011,51,Columbiana/Ohio
40.0903,-79.5872,2011,115,Fayette/Pennsylvania
41.4937,-79.448,2011,5,Forest/Pennsylvania
39.7243,-77.515,2011,26,Franklin/Pennsylvania
39.1864,-84.763,2011,2248,Hamilton/Ohio
38.2001,-80.8512,2011,4,Nicholas/West Virginia
39.3201,-81.2401,2011,1,Pleasants/West Virginia
38.6601,-78.9061,2011,25,Rockingham/Virginia
38.2529,-83.3185,2011,1,Rowan/Kentucky
40.8159,-81.4165,2011,141,Stark/Ohio
36.5882,-76.6847,2011,4,Suffolk (city)/Virginia
36.8457,-77.2875,2011,4,Sussex/Virginia
41.6795,-77.069,2011,4,Tioga/Pennsylvania
40.9002,-77.1564,2011,5,Union/Pennsylvania
41.6119,-76.0457,2011,17,Wyoming/Pennsylvania
38.8184,-77.0861,2012,8,Alexandria (city)/Virginia
39.7917,-84.7133,2011,11,Preble/Ohio
39.5512,-79.8003,2011,3,Preston/West Virginia
40.9345,-82.4502,2011,96,Richland/Ohio
36.9791,-82.2961,2011,3,Russell/Virginia
39.0551,-78.3681,2011,29,Shenandoah/Virginia
38.3319,-77.4655,2011,25,Stafford/Virginia
37.7243,-80.8865,2011,9,Summers/West Virginia
41.7806,-79.0941,2011,7,Warren/Pennsylvania
38.9231,-78.1033,2011,25,Warren/Virginia
41.4102,-76.5832,2011,2,Sullivan/Pennsylvania
41.0802,-81.5219,2011,115,Summit/Ohio
37.2273,-76.9665,2011,1,Surry/Virginia
41.8332,-75.8762,2011,11,Susquehanna/Pennsylvania
41.462,-80.6656,2011,182,Trumbull/Ohio
39.6035,-80.9351,2011,11,Tyler/West Virginia
38.0941,-76.8229,2011,1,Westmoreland/Virginia
39.5689,-80.7316,2011,19,Wetzel/West Virginia
39.1806,-81.513,2011,4,Wood/West Virginia
37.972,-84.7563,2011,1,Woodford/Kentucky
36.8862,-81.192,2011,6,Wythe/Virginia
38.041,-78.5222,2012,2,Albemarle/Virginia
40.5989,-80.4738,2012,86,Beaver/Pennsylvania
40.6864,-78.2272,2012,137,Blair/Pennsylvania
41.2162,-83.3285,2011,23,Seneca/Ohio
40.7078,-77.3107,2011,7,Snyder/Pennsylvania
40.5609,-81.495,2011,19,Tuscarawas/Ohio
38.9927,-80.2279,2011,11,Upshur/West Virginia
