id,name,bias - 1,bias - 3,bias - 5,id,Log - 1,Log - 3,Log - 5
63,Pulaski/Virginia,331959,372725,978749,63,5.521084448,5.571388523,5.990671331
133,Mercer/West Virginia,2717983,370501,4175371,133,6.434246736,5.568789384,6.620695071
282,Summit/Ohio,741839,352744,576932,282,5.870309661,5.547459635,5.761124628
264,Jackson/Ohio,181345,351464,1913284,264,5.258505586,5.545880847,6.28177944
168,Berkeley/West Virginia,1613011,345987,278293,168,6.207637329,5.539059781,5.444502283
377,Bell/Kentucky,1376981,327725,1911630,377,6.138927948,5.515509572,6.281403837
4,Henrico/Virginia,8708260,308744,10608970,4,6.939931387,5.489598526,7.025673221
344,Whitley/Kentucky,1119187,298743,873319,344,6.048902657,5.475297738,5.941172909
433,Montgomery/Kentucky,1026737,297723,961125,433,6.011459213,5.473812387,5.982779874
200,York/Pennsylvania,26786573,294061,34768560,200,7.427917155,5.46843743,7.541186704
230,Erie/Pennsylvania,1355775,291251,3179301,230,6.132187621,5.464267425,6.502331647
412,Jessamine/Kentucky,1105909,225549,1187741,412,6.043719392,5.353240906,6.074721748
49,Shenandoah/Virginia,404245,201985,719280,49,5.606644657,5.305319119,5.856897985
22,Russell/Virginia,289582,192331,44881,22,5.461771563,5.28404929,4.652062525
311,Portage/Ohio,3979574,191963,5651952,311,6.599836585,5.283217528,6.752198465
143,Cabell/West Virginia,1268801,187019,2817125,143,6.103393512,5.27188573,6.449806118
314,Adams/Ohio,557748,185112,92008,314,5.746438022,5.267434573,4.96382559
108,Spotsylvania/Virginia,965364,183173,3606836,108,5.984691099,5.262861458,6.557126396
432,Bullitt/Kentucky,323388,181221,295225,432,5.5097239,5.258208523,5.470153131
397,Carter/Kentucky,554926,170499,520816,397,5.744235073,5.231721836,5.716684318
206,Lancaster/Pennsylvania,6603975,170193,2810948,206,6.819805421,5.230941694,6.448852812
154,Marion/West Virginia,683971,166215,1628235,154,5.835037688,5.220670214,6.211717086
274,Ashland/Ohio,1210944,164400,2228783,274,6.08312406,5.215901813,6.348067787
198,Northampton/Pennsylvania,1365630,163921,78405,198,6.135333049,5.214634595,4.894343759
310,Mercer/Ohio,152687,150568,777364,310,5.183802062,5.177732682,5.890624424
1,Montgomery/Virginia,214840,146089,79041,1,5.332115144,5.164617516,4.897852426
195,Luzerne/Pennsylvania,19007274,145366,9768114,195,7.278919835,5.16246284,6.989810719
297,Gallia/Ohio,1583106,137443,485518,297,6.199509995,5.138122626,5.686205335
61,Giles/Virginia,452584,135579,662035,61,5.655699196,5.132192426,5.82088095
378,Knox/Kentucky,482724,132107,406124,378,5.683698892,5.12092583,5.608658655
129,Harrison/West Virginia,446007,132011,1101010,129,5.649341675,5.120610121,6.041791263
139,Monongalia/West Virginia,146606,122383,147367,139,5.166151745,5.087721095,5.168400243
352,Pike/Kentucky,226695,120855,1614432,352,5.355441941,5.082264623,6.208019757
271,Butler/Ohio,34389778,120676,52990288,271,7.536429372,5.081620906,7.72419628
269,Richland/Ohio,3148493,120006,2579552,269,6.498102732,5.07920296,6.411544287
186,Cambria/Pennsylvania,2130124,117758,2362966,186,6.328404886,5.070990421,6.373457473
328,Highland/Ohio,860736,114733,1326256,328,5.934869968,5.05968835,6.122627362
165,Nicholas/West Virginia,218148,110292,152262,165,5.338751236,5.042544012,5.18259153
178,Westmoreland/Pennsylvania,9342147,108607,2037903,178,6.970446697,5.035857818,6.309183509
47,Wythe/Virginia,1218298,107551,80504,47,6.085753531,5.031614453,4.90581746
41,Chesterfield/Virginia,7685712,102564,9833507,41,6.885684106,5.01099495,6.992708431
333,Rowan/Kentucky,473125,98837,1292726,333,5.674975897,4.994919555,6.111506484
324,Clark/Ohio,211589,92380,1177871,324,5.325493086,4.965577958,6.071097729
42,Fauquier/Virginia,354735,89841,1462479,42,5.54990404,4.953474577,6.165089639
339,Floyd/Kentucky,70932,89661,340585,339,4.850842205,4.952603578,5.532225517
196,Armstrong/Pennsylvania,443200,86251,652754,196,5.646599752,4.935764139,5.814749542
372,Clark/Kentucky,592341,85577,250108,372,5.772571794,4.932357058,5.398127583
231,Dauphin/Pennsylvania,1284387,85526,1759342,231,6.108695901,4.932098161,6.245350271
276,Defiance/Ohio,1153417,80933,579320,276,6.061986348,4.908125639,5.762918522
300,Columbiana/Ohio,1036466,80123,2522861,300,6.01555506,4.903757202,6.401893323
386,Campbell/Kentucky,9366478,79019,7492844,386,6.971576317,4.897731529,6.874646691
317,Crawford/Ohio,522741,77752,863141,317,5.718286564,4.890711569,5.936081746
189,Berks/Pennsylvania,6047787,77005,6027238,189,6.781596487,4.886518925,6.780118341
449,Lee/Kentucky,50502,75855,34504,449,4.703308578,4.879984213,4.537869445
179,Delaware/Pennsylvania,68307521,75797,75174991,179,7.834468524,4.879652017,7.876073385
398,Fayette/Kentucky,1770026,74840,13168331,398,6.247979646,4.874133779,7.119530734
261,Hancock/Ohio,82377,69692,77949,261,4.915805972,4.843182928,4.891810548
357,Hardin/Kentucky,305412,63706,14833,357,5.484886097,4.804180337,4.171228997
278,Brown/Ohio,331523,57243,249255,278,5.520513664,4.757722386,5.396643879
327,Hardin/Ohio,422631,56420,873485,327,5.625961349,4.751433082,5.941255451
81,Arlington/Virginia,34973,56110,48359,81,4.543732888,4.749040269,4.684477312
182,Washington/Pennsylvania,3219660,55920,277236,182,6.507810012,4.747567163,5.442849624
217,Centre/Pennsylvania,169834,52700,223560,217,5.230024638,4.721810615,5.349394101
439,Mason/Kentucky,259837,49895,408384,439,5.414700993,4.698057027,5.611068719
415,Rockcastle/Kentucky,395366,49770,380814,415,5.596999319,4.696967641,5.580712906
245,Erie/Ohio,3037583,48760,4801462,245,6.482528154,4.688063697,6.681373496
299,Clinton/Ohio,726368,48708,1914750,299,5.861156703,4.687600297,6.282112078
69,Botetourt/Virginia,135283,48548,140191,69,5.131243225,4.686171343,5.146720134
354,Breathitt/Kentucky,289146,48453,50163,354,5.461117189,4.685320672,4.700383502
213,Indiana/Pennsylvania,204351,47963,376560,213,5.310376767,4.68090634,5.575834185
428,Clay/Kentucky,197559,46217,148463,428,5.295696819,4.664801751,5.171618232
329,Marion/Ohio,1677580,46143,1522380,329,6.22468324,4.664105827,6.18252307
203,Butler/Pennsylvania,25019,45807,322091,203,4.398269947,4.66093185,5.50797859
306,Greene/Ohio,265397,45576,275669,306,5.423896009,4.658736206,5.440387931
296,Washington/Ohio,491377,45040,381907,296,5.691414824,4.653598382,5.581957619
277,Ashtabula/Ohio,3730017,44723,2683594,277,6.571710811,4.650530928,6.428716812
229,Somerset/Pennsylvania,13531,44120,192187,229,4.131329894,4.644635504,5.283724008
212,Lehigh/Pennsylvania,1450915,42220,4410314,212,6.161641971,4.625518229,6.644469511
368,Letcher/Kentucky,59882,41335,148583,368,4.777296297,4.616317942,5.171969123
183,Lebanon/Pennsylvania,1132167,40902,2935282,183,6.053910492,4.611744544,6.467649831
185,Perry/Pennsylvania,10255,40828,206270,185,4.010935665,4.610958106,5.314436069
280,Morrow/Ohio,73484,40389,179285,280,4.866192788,4.606263101,5.253543956
446,Knott/Kentucky,171803,39545,247987,446,5.235030743,4.59709158,5.394428915
285,Sandusky/Ohio,198595,39405,1234211,285,5.29796831,4.595551332,6.091389413
190,Beaver/Pennsylvania,704314,38196,507327,190,5.847766321,4.582017885,5.705287976
194,Schuylkill/Pennsylvania,245265,37852,5237943,194,5.389635578,4.578088831,6.719160768
29,Scott/Virginia,926694,37564,1302463,29,5.966936351,4.574771832,6.114765395
169,Greenbrier/West Virginia,87564,36961,208119,169,4.942325592,4.567743713,5.31831173
262,Perry/Ohio,237552,35636,282630,262,5.375758691,4.55188895,5.451218259
301,Allen/Ohio,1588011,35453,2627117,301,6.200853506,4.549652991,6.419479415
27,Lee/Virginia,14546,34251,27123,27,4.162743583,4.534673256,4.433337724
140,Wood/West Virginia,1060411,33257,85371,140,6.025474224,4.52188307,4.931310369
226,Franklin/Pennsylvania,451634,32755,212278,226,5.654786629,4.515277604,5.326904987
43,Rockingham/Virginia,258132,32401,10989,43,5.411841846,4.510558414,4.040958173
175,Lewis/West Virginia,74874,32012,81909,175,4.874331035,4.505312808,4.913331624
260,Seneca/Ohio,503154,31966,362717,260,5.70170093,4.504688295,5.559567911
31,Carroll/Virginia,49134,31511,106670,31,4.691382121,4.498462186,5.028042295
199,Huntingdon/Pennsylvania,66014,30926,111848,199,4.819636049,4.490323752,5.048628223
255,Logan/Ohio,268333,30748,248825,255,5.428674086,4.487816872,5.395894013
370,Harrison/Kentucky,154288,30019,199610,370,5.188332149,4.477396221,5.300182295
343,Scott/Kentucky,343063,29872,640132,343,5.535373881,4.475264301,5.806269538
304,Champaign/Ohio,303580,29743,141526,304,5.482273157,4.473384771,5.150836232
360,Powell/Kentucky,151487,29420,246479,360,5.180375365,4.468642668,5.391779923
222,Blair/Pennsylvania,1868646,29324,2706759,222,6.271527036,4.467223211,6.432449589
39,Winchester (city)/Virginia,47888,28915,65122,39,4.680226699,4.461123197,4.81372773
221,Jefferson/Pennsylvania,61099,28318,123426,221,4.786034102,4.452062577,5.091406655
209,Adams/Pennsylvania,120424,28079,99792,209,5.080713049,4.448381637,4.999095727
268,Huron/Ohio,1790667,27769,1778085,268,6.25301483,4.44356024,6.249952518
220,Lycoming/Pennsylvania,514309,27440,566303,220,5.711224124,4.438384107,5.753048862
405,Johnson/Kentucky,160540,26724,284454,405,5.205583259,4.426901463,5.454012045
444,Allen/Kentucky,24509,26166,22650,444,4.389325592,4.417737337,4.355068206
16,Buchanan/Virginia,386669,25358,454358,16,5.587339355,4.404114998,5.657398179
106,Portsmouth (city)/Virginia,275932,25197,208928,106,5.440802069,4.401348836,5.319996647
434,McCracken/Kentucky,164286,23650,142777,434,5.215600556,4.373831145,5.154658252
351,Boone/Kentucky,2414274,23170,3054799,351,6.382786557,4.364926034,6.48498264
267,Union/Ohio,148004,22487,189732,267,5.170273453,4.35193152,5.278140585
345,Hopkins/Kentucky,83565,21873,209083,345,4.922024418,4.339908353,5.320318723
58,Page/Virginia,84955,21313,215332,58,4.929188944,4.328644585,5.333108574
166,Hampshire/West Virginia,52443,19427,58297,166,4.719687528,4.28840574,4.765646206
258,Van Wert/Ohio,28512,19132,240501,258,4.455027682,4.281760372,5.381116887
379,Christian/Kentucky,72400,19058,88961,379,4.859738566,4.280077323,4.949199656
158,Braxton/West Virginia,21247,18379,41324,158,4.327297618,4.264321878,4.616202353
315,Pike/Ohio,109969,17685,236672,315,5.041270276,4.247605064,5.374146881
309,Guernsey/Ohio,837891,17615,1614188,309,5.923187526,4.245882648,6.207954114
422,Franklin/Kentucky,509437,16701,749828,422,5.707090484,4.222742476,5.874961654
11,Augusta/Virginia,21320,16340,124933,11,4.3287872,4.213252052,5.096677169
237,Crawford/Pennsylvania,219360,16227,182100,237,5.341157437,4.210238236,5.260309946
284,Madison/Ohio,614117,16093,663358,284,5.78825112,4.206637011,5.821747971
107,Newport News (city)/Virginia,250764,15760,84018,107,5.399265189,4.197556213,4.924372339
383,Jackson/Kentucky,106460,15554,119358,383,5.027186462,4.191842095,5.076851533
228,Columbia/Pennsylvania,165088,15079,230561,228,5.217715506,4.178372541,5.362785847
419,Barren/Kentucky,47860,14905,91590,419,4.679972694,4.17333198,4.961848059
181,Venango/Pennsylvania,102543,14083,5996,181,5.010906019,4.148695179,3.777861624
252,Muskingum/Ohio,120193,13866,317916,252,5.079879175,4.141951196,5.502312386
340,Bath/Kentucky,103729,13773,101756,340,5.015900191,4.139028547,5.007560027
408,Boyle/Kentucky,30433,13083,82580,408,4.483344766,4.116707341,4.916874879
281,Pickaway/Ohio,859263,12996,1188450,281,5.934126111,4.113809703,6.074980915
441,Elliott/Kentucky,23039,12549,21834,441,4.362463625,4.098609119,4.339133306
91,Suffolk (city)/Virginia,36456,12131,44797,91,4.561769016,4.083896603,4.651248931
414,Nicholas/Kentucky,40133,11854,2281,414,4.603501625,4.073864923,3.358125285
375,Warren/Kentucky,152670,11695,12056,375,5.183753706,4.068000226,4.081203239
235,Wyoming/Pennsylvania,59307,11542,84287,235,4.773105956,4.06228107,4.925760596
219,Mercer/Pennsylvania,257164,11499,55053,219,5.410210172,4.060660074,4.74078099
263,Belmont/Ohio,43248,11462,731590,263,4.635966028,4.059260404,5.864267761
40,Orange/Virginia,100919,11354,163759,40,5.003972938,4.05514889,5.214205178
283,Coshocton/Ohio,5553,11335,126688,283,3.744527673,4.054421524,5.10273548
448,Martin/Kentucky,82910,11326,7588,448,4.918606915,4.054076557,3.880127322
400,Bourbon/Kentucky,53175,11209,40885,400,4.725707499,4.049566869,4.611564002
411,Lewis/Kentucky,4358,11182,9603,411,3.639287226,4.048519488,3.982406929
130,Wayne/West Virginia,27451,11029,25766,130,4.43855817,4.042536137,4.411047002
242,Potter/Pennsylvania,16832,10963,46125,242,4.226135722,4.039929414,4.663936379
184,Montgomery/Pennsylvania,181415,10920,7769,184,5.258673193,4.038222638,3.890365121
359,Graves/Kentucky,58904,10809,41798,359,4.770144787,4.033785517,4.621155502
325,Vinton/Ohio,39980,10434,90344,325,4.60184279,4.018450832,4.955899315
111,Bristol (city)/Virginia,75704,10324,21663,111,4.879118827,4.013847996,4.3357186
74,Hanover/Virginia,780042,9807,46480,74,5.892117987,3.991536175,4.667266119
348,Pendleton/Kentucky,56015,9621,57925,348,4.74830434,3.983220215,4.762866042
330,Hocking/Ohio,26008,9613,7629,330,4.415106956,3.982858942,3.882467615
214,Cumberland/Pennsylvania,29837,9441,49202,214,4.474755154,3.975017998,4.691982757
402,Madison/Kentucky,3124767,9372,3746448,402,6.494817639,3.97183228,6.573619709
404,Daviess/Kentucky,43503,9278,21971,404,4.638519207,3.967454368,4.341849824
326,Miami/Ohio,31631,9205,1237989,326,4.500112922,3.964023793,6.092716786
293,Lawrence/Ohio,75035,9090,76281,293,4.875263887,3.958563883,4.882416378
215,Bradford/Pennsylvania,140834,9087,259325,215,5.148707514,3.958420528,5.413844387
382,Grant/Kentucky,85062,8840,113571,382,4.92973559,3.946452265,5.05526745
320,Jefferson/Ohio,254177,8676,599051,320,5.40513625,3.938319543,5.777463797
201,Clearfield/Pennsylvania,86053,8571,72888,201,4.934766015,3.933031495,4.862656034
146,Morgan/West Virginia,37948,8388,30882,146,4.579188892,3.923658422,4.489705419
152,Mingo/West Virginia,30348,8384,124527,152,4.482130075,3.92345127,5.095263526
266,Fayette/Ohio,178240,8264,606206,266,5.251005173,3.917190309,5.782620231
361,Nelson/Kentucky,90534,8040,9030,361,4.956811709,3.905256049,3.95568775
116,Lynchburg (city)/Virginia,34963,8004,5543,116,4.54360869,3.90330708,3.743744879
416,Mercer/Kentucky,50906,7891,66951,416,4.706768973,3.897132043,4.825757068
376,Garrard/Kentucky,10787,7759,15843,376,4.032900679,3.889805752,4.199837422
353,Meade/Kentucky,15404,7471,17087,353,4.18763351,3.873378736,4.232665819
216,Bedford/Pennsylvania,42327,7375,144603,216,4.626617488,3.867762025,5.160177303
37,Henry/Virginia,44591,7325,95940,37,4.649247212,3.864807629,4.981999714
413,Caldwell/Kentucky,8491,7305,20515,413,3.928958841,3.86362022,4.312071521
45,Mecklenburg/Virginia,91344,7145,130567,45,4.960680026,3.854002233,5.115833426
210,Monroe/Pennsylvania,1384569,7123,2085680,210,6.141314604,3.852662944,6.319247677
32,Accomack/Virginia,15583,7119,31505,32,4.192651071,3.852418993,4.498379484
150,Jackson/West Virginia,26129,7043,31096,150,4.417122789,3.847757688,4.492704528
48,Louisa/Virginia,36615,6985,106409,48,4.563659038,3.84416641,5.026978362
127,Hancock/West Virginia,32527,6893,62800,127,4.51224401,3.838408278,4.797959644
406,Magoffin/Kentucky,29402,6866,23982,406,4.468376873,3.836703799,4.379885399
308,Shelby/Ohio,474099,6853,790987,308,5.675869039,3.835880732,5.898169346
204,McKean/Pennsylvania,57966,6719,78299,204,4.763173332,3.827304641,4.893756215
26,Franklin/Virginia,315796,6715,488294,26,5.499406625,3.827046017,5.688681388
249,Wood/Ohio,588402,6673,1281850,249,5.76967414,3.824321125,6.107837208
99,James City/Virginia,13318,6667,13040,99,4.124439011,3.823930455,4.115277591
322,Geauga/Ohio,135705,6551,227347,322,5.132595849,3.816307599,5.356689228
440,Grayson/Kentucky,46898,6308,38817,440,4.671154322,3.799891685,4.589021968
366,Fleming/Kentucky,22716,6289,24592,366,4.35633186,3.798581595,4.39079385
381,Bracken/Kentucky,11814,6271,18192,381,4.072396967,3.797336801,4.259880447
287,Warren/Ohio,4158021,6232,1266124,287,6.618886678,3.794627445,6.102476241
227,Fayette/Pennsylvania,2361305,6132,1856847,227,6.373152087,3.787602146,6.26877612
341,Oldham/Kentucky,65031,5895,82618,341,4.813120432,3.770483809,4.917074677
371,Taylor/Kentucky,54584,5807,115276,371,4.737065358,3.763951826,5.061738898
66,Bedford/Virginia,298658,5802,296085,66,5.475174152,3.763577724,5.471416406
431,Wayne/Kentucky,18773,5796,64365,431,4.27353368,3.763128377,4.808649774
316,Darke/Ohio,79334,5655,179120,316,4.899459352,3.752432609,5.253144081
67,Pittsylvania/Virginia,11840,5468,80284,67,4.073351702,3.737828506,4.904629002
123,Logan/West Virginia,95814,5448,299370,123,4.981428971,3.736237099,5.476208277
109,Salem (city)/Virginia,26731,5385,6507,109,4.427015206,3.731185708,3.813380807
12,Stafford/Virginia,570818,5368,2421875,12,5.75649766,3.729812507,6.384151724
417,Woodford/Kentucky,40869,5347,39958,417,4.611394011,3.728110184,4.601603743
141,Putnam/West Virginia,9426,5255,26732,141,3.974327435,3.72057272,4.427031452
65,Virginia Beach (city)/Virginia,238522,5059,209013,65,5.377528442,3.704064679,5.320173299
224,Lawrence/Pennsylvania,417920,4815,508163,224,5.621093155,3.682596291,5.70600304
2,Powhatan/Virginia,34024,4738,38580,2,4.53178537,3.675595056,4.586362223
50,Smyth/Virginia,145981,4704,366961,50,5.164296334,3.672467313,5.564619911
313,Preble/Ohio,98842,4667,3447,313,4.994941524,3.669037801,3.537441283
240,Juniata/Pennsylvania,15129,4637,8893,240,4.179810223,3.666237096,3.949048292
337,Calloway/Kentucky,11292,4446,10512,337,4.052770869,3.647969458,4.021685352
205,Clinton/Pennsylvania,32090,4361,50490,205,4.506369717,3.639586087,4.703205371
93,Petersburg (city)/Virginia,7093,4300,7950,93,3.85082996,3.633468456,3.900367129
117,York/Virginia,2884,4180,45793,117,3.459995256,3.621176282,4.660799096
70,Isle of Wight/Virginia,18556,4090,31836,70,4.268484364,3.611723308,4.502918496
54,Radford (city)/Virginia,6221,3903,9292,54,3.793860201,3.591398551,3.968109201
7,Northumberland/Virginia,16190,3828,5519,7,4.209246849,3.582971929,3.741860394
72,Frederick/Virginia,743636,3786,1219048,72,5.871360406,3.57818061,6.086020806
155,Pocahontas/West Virginia,18485,3744,11474,155,4.266819455,3.57333584,4.059714846
273,Wayne/Ohio,1119759,3727,46626,273,6.049124562,3.571359393,4.668628159
362,Lawrence/Kentucky,25723,3653,25991,362,4.410321618,3.562649672,4.414822989
298,Medina/Ohio,2248980,3628,2027579,298,6.351985593,3.559667278,6.306977785
427,Lincoln/Kentucky,17107,3504,14102,427,4.233173855,3.544564097,4.14928071
349,Muhlenberg/Kentucky,55768,3459,114644,349,4.74638507,3.538950562,5.05935133
75,Chesapeake (city)/Virginia,193007,3441,10828,75,5.28557306,3.536684673,4.034548247
124,Hardy/West Virginia,22502,3413,22675,124,4.35222112,3.533136288,4.355547296
9,Halifax/Virginia,63129,3408,3968,9,4.80022891,3.532499586,3.598571663
191,Wayne/Pennsylvania,45354,3265,43023,191,4.656615596,3.513883186,4.633700691
356,Morgan/Kentucky,8472,3184,10990,356,3.927985947,3.502973059,4.040997692
122,Colonial Heights (city)/Virginia,9077,3168,15053,122,3.957942335,3.500785173,4.177623062
89,Gloucester/Virginia,78892,3104,56728,89,4.897032966,3.491921713,4.753797472
103,Fredericksburg (city)/Virginia,17531,3049,17833,103,4.24380669,3.484157424,4.25122441
171,Summers/West Virginia,21648,3030,6307,171,4.335417779,3.481442629,3.799822831
180,Carbon/Pennsylvania,128157,3023,252989,180,5.107742333,3.480438147,5.403101638
137,McDowell/West Virginia,18359,3020,2728,137,4.263849022,3.480006943,3.435844366
436,Simpson/Kentucky,9925,2939,29316,436,3.996730515,3.468199586,4.467104713
145,Marshall/West Virginia,83745,2906,186168,145,4.922958887,3.46329561,5.269905033
138,Randolph/West Virginia,8313,2841,602,138,3.919757781,3.453471234,2.779596491
241,Fulton/Pennsylvania,4059,2841,4750,241,3.608419051,3.453471234,3.67669361
442,Anderson/Kentucky,10827,2775,27403,442,4.034508137,3.443262987,4.437798111
131,Grant/West Virginia,6206,2772,12573,131,3.792811771,3.442793226,4.099438916
159,Upshur/West Virginia,71934,2765,61820,159,4.856934211,3.441695136,4.791129001
6,Dickenson/Virginia,8824,2690,252708,6,3.945665499,3.42975228,5.402618991
234,Northumberland/Pennsylvania,206843,2688,336536,234,5.315640828,3.429429264,5.527031528
59,Charlotte/Virginia,10126,2627,12627,59,4.005437923,3.419460073,4.10130018
259,Knox/Ohio,68709,2602,51666,259,4.837013628,3.415307292,4.71320484
407,Estill/Kentucky,21127,2547,44247,407,4.324837832,3.406028945,4.64588383
28,Campbell/Virginia,12379,2516,47077,28,4.092685563,3.400710637,4.672808779
288,Noble/Ohio,5111,2403,9002,288,3.708505881,3.380753771,3.954339009
163,Wetzel/West Virginia,4595,2381,6419,163,3.662285516,3.376759395,3.807467376
265,Meigs/Ohio,41183,2324,138360,265,4.61471798,3.366236124,5.141010553
192,Susquehanna/Pennsylvania,11521,2242,3389,192,4.061490177,3.350635608,3.530071569
25,Patrick/Virginia,55332,2225,43422,25,4.742976368,3.347330015,4.637709823
424,Greenup/Kentucky,205976,2221,251303,424,5.31381662,3.346548559,5.400197673
409,Logan/Kentucky,922,2196,7662,409,2.964730921,3.341632336,3.884342148
20,Nelson/Virginia,5309,2194,5324,20,3.725012725,3.341236623,3.726238047
18,Albemarle/Virginia,27087,2168,7465,18,4.432760908,3.336059278,3.873029812
331,Auglaize/Ohio,79273,2160,174547,331,4.899125294,3.334453751,5.241912389
399,Menifee/Kentucky,1132,2159,4377,399,3.053846427,3.334252642,3.641176547
380,Carroll/Kentucky,171346,2150,32505,380,5.23387397,3.33243846,4.51195017
312,Ottawa/Ohio,89921,2130,10980,312,4.953861128,3.328379603,4.04060234
239,Montour/Pennsylvania,10216,2081,6493,239,4.009280884,3.31827208,3.812445403
437,Shelby/Kentucky,61992,1978,55301,437,4.792335648,3.296226287,4.742732985
157,Mason/West Virginia,6623,1916,6773,157,3.821054755,3.282395505,3.830781076
389,Adair/Kentucky,12733,1911,23569,389,4.104930739,3.281260687,4.372341156
225,Tioga/Pennsylvania,12455,1827,14383,225,4.095343732,3.261738547,4.15784948
373,Wolfe/Kentucky,10494,1826,2869,373,4.02094106,3.261500773,3.457730548
62,New Kent/Virginia,4798,1817,23442,62,3.681060244,3.259354927,4.369994662
318,Monroe/Ohio,21926,1741,1194,318,4.34095941,3.240798771,3.077004327
153,Mineral/West Virginia,2850,1732,6812,153,3.45484486,3.238547888,3.833274639
120,Hopewell (city)/Virginia,4347,1720,4211,120,3.63818964,3.235528447,3.624385241
435,Russell/Kentucky,7700,1714,15383,435,3.886490725,3.234010818,4.18704104
307,Holmes/Ohio,9376,1643,9217,307,3.972017599,3.215637563,3.964589587
38,Culpeper/Virginia,39628,1588,961605,38,4.598002154,3.200850498,5.982996713
46,Washington/Virginia,295595,1527,500374,46,5.470697084,3.183839037,5.699294735
100,Danville (city)/Virginia,5516,1493,5401,100,3.741624258,3.174059808,3.732474177
423,McCreary/Kentucky,9986,1490,13850,423,3.999391562,3.173186268,4.141449773
86,Charlottesville (city)/Virginia,3938,1488,2689,86,3.595275712,3.172602931,3.429590802
19,Grayson/Virginia,8671,1446,11034,19,3.938069186,3.160168293,4.04273298
156,Webster/West Virginia,4000,1441,420,156,3.602059991,3.158663981,2.62324929
207,Warren/Pennsylvania,18120,1430,25216,207,4.258158193,3.155336037,4.401676196
96,Rappahannock/Virginia,2985,1415,3899,96,3.474944335,3.15075644,3.590953235
10,Fluvanna/Virginia,14022,1407,15494,10,4.146809963,3.148294097,4.190163552
