A,B
3.155336037,3.833077776
3.15075644,3.821793231
3.148294097,3.810200431
3.108903128,3.809614503
3.10720997,3.805943018
3.101059355,3.783363614
3.079543007,3.782898406
3.07773118,3.776075813
3.077367905,3.775041603
3.076640444,3.768412109
3.062957834,3.767018452
3.062205809,3.757339901
3.041787319,3.748031133
3.040997692,3.744014149
3.034628457,3.73787906
3.023663918,3.732823066
3.01745073,3.730489887
2.988558957,3.726112158
2.987666265,3.723019757
2.984527313,3.714681384
2.984527313,3.706636743
2.982723388,3.699280495
2.979548375,3.690021523
2.978180517,3.663309969
2.977266212,3.662915554
2.973127854,3.661903304
2.971739591,3.659718644
2.965671971,3.658198604
2.95568775,3.652932077
2.946452265,3.652711728
2.935003151,3.642769672
2.92890769,3.630218876
2.926342447,3.62616529
2.915399835,3.622471098
2.907948522,3.612771291
2.900913068,3.612558149
2.891537458,3.601038955
2.881384657,3.590134613
2.860338007,3.578442907
2.859138297,3.569772717
2.850033258,3.55175298
2.834420704,3.545845555
2.832508913,3.520839937
2.828015064,3.516877839
2.822821645,3.502601784
2.805500858,3.488671914
2.790988475,3.488474047
2.77524626,3.48199541
2.759667845,3.458955237
2.751279104,3.434563376
2.749736316,3.418075331
2.737987326,3.409723958
2.712649702,3.405892182
2.703291378,3.393774879
2.703291378,3.381595283
2.692846919,3.378579446
2.687528961,3.347525037
2.675778342,3.331295583
2.644438589,3.32270283
2.626340367,3.318510842
2.625312451,3.318201496
2.62324929,3.312871674
2.5774918,3.308881349
2.575187845,3.294762236
2.558708571,3.27719145
2.558708571,3.263894795
2.539076099,3.253313564
2.51054501,3.237809658
2.509202522,3.213302985
2.505149978,3.207217017
2.503790683,3.186999482
2.494154594,3.182656894
2.472756449,3.179478352
2.472756449,3.160168574
2.471291711,3.149157133
2.459392488,3.145815102
2.45484486,3.143510407
2.444044796,3.139275331
2.442479769,3.070393665
2.408239965,3.064264133
2.387389826,3.063224826
2.387389826,3.061047191
2.36361198,3.050758257
2.357934847,3.045018129
2.344392274,3.036811151
2.33243846,3.025293798
2.311753861,3.022077914
2.305351369,2.983186673
2.298853076,2.967644667
2.212187604,2.955835534
2.152288344,2.955642204
2.1430148,2.932604847
2.136720567,2.921044041
2.096910013,2.868884763
2.06069784,2.865354297
2.025305865,2.832997791
1.991226076,2.817272318
1.982271233,2.807805614
1.968482949,2.77742343
1.944482672,2.763146706
1.934498451,2.752609385
1.892094603,2.746693694
1.880813592,2.742654716
1.832508913,2.722749767
1.792391689,2.707339302
1.785329835,2.702801894
1.770852012,2.668635413
1.763427994,2.584130224
1.73239376,2.536173491
1.672097858,2.517931258
1.568201724,2.505575564
1.477121255,2.464412007
1.447158031,2.436400615
1.431363764,2.413639664
1.361727836,2.371954267
1.322219295,2.369116398
1.278753601,2.350942814
1.204119983,2.348679206
1.079181246,2.333687859
1.041392685,2.295716862
1.041392685,2.241726081
0.954242509,2.049889153
0.903089987,1.957353785
0.77815125,1.945996223
0.77815125,1.509265426
0.698970004,1.407170168
0.602059991,1.32595433
0.301029996,0.901193923
0,0.289594469
