经度,纬度,年份,数目,地名
-83.7635,37.1464,2010,208,"Clay, Kentucky"
-85.0683,36.8051,2010,75,"Clinton, Kentucky"
-77.5306,41.0094,2010,118,"Clinton, Pennsylvania"
-81.7517,40.2761,2010,75,"Coshocton, Ohio"
-80.1395,37.4293,2010,69,"Craig, Virginia"
-77.8267,38.416,2010,492,"Culpeper, Virginia"
-85.5053,36.8319,2010,17,"Cumberland, Kentucky"
-78.0883,37.6674,2010,64,"Cumberland, Virginia"
-84.6384,40.2802,2010,156,"Darke, Ohio"
-77.7219,36.9853,2010,131,"Dinwiddie, Virginia"
-83.0188,38.1879,2010,91,"Elliott, Kentucky"
-82.5446,39.8426,2010,846,"Fairfield, Ohio"
-84.935,38.089,2010,98,"Anderson, Kentucky"
-78.2272,40.6864,2010,662,"Blair, Pennsylvania"
-79.8779,37.4167,2010,175,"Botetourt, Virginia"
-76.1763,41.7606,2010,145,"Bradford, Pennsylvania"
-78.601,36.9933,2010,75,"Charlotte, Virginia"
-76.9274,40.2422,2010,310,"Cumberland, Pennsylvania"
-78.6869,41.5726,2010,123,"Elk, Pennsylvania"
-77.5356,36.6953,2010,91,"Emporia (city), Virginia"
-83.9685,37.6969,2010,85,"Estill, Kentucky"
-80.6102,40.2811,2010,9,"Brooke, West Virginia"
-86.8921,37.2093,2010,102,"Butler, Kentucky"
-88.8869,36.9081,2010,26,"Carlisle, Kentucky"
-84.0243,39.8862,2010,186,"Clark, Ohio"
-81.0815,38.4662,2010,50,"Clay, West Virginia"
-88.8827,37.0846,2010,24,"Ballard, Kentucky"
-77.8937,36.8553,2010,131,"Brunswick, Virginia"
-88.0604,37.2085,2010,78,"Caldwell, Kentucky"
-77.1878,38.8648,2010,65,"Falls Church (city), Virginia"
-84.5255,38.1059,2010,1967,"Fayette, Kentucky"
-86.2847,37.2895,2010,78,"Edmonson, Kentucky"
-77.6661,38.6355,2010,418,"Fauquier, Virginia"
-78.682,37.2642,2010,39,"Appomattox, Virginia"
-83.5564,39.6522,2010,95,"Fayette, Ohio"
-79.5872,40.0903,2010,859,"Fayette, Pennsylvania"
-82.7994,37.451,2010,306,"Floyd, Kentucky"
-80.2045,37.0379,2010,78,"Floyd, Virginia"
-78.1638,37.7533,2010,50,"Fluvanna, Virginia"
-84.8955,38.3228,2010,430,"Franklin, Kentucky"
-83.0703,39.8665,2010,2921,"Franklin, Ohio"
-77.515,39.7243,2010,755,"Franklin, Pennsylvania"
-79.9917,36.8293,2010,255,"Franklin, Virginia"
-78.3319,39.264,2010,401,"Frederick, Virginia"
-88.9353,36.5767,2010,74,"Fulton, Kentucky"
-77.9958,39.932,2010,122,"Fulton, Pennsylvania"
-80.9176,36.666,2010,31,"Galax (city), Virginia"
-82.1463,38.8862,2010,416,"Gallia, Ohio"
-81.0591,41.3722,2010,114,"Geauga, Ohio"
-80.8576,37.373,2010,241,"Giles, Virginia"
-76.4402,37.2801,2010,133,"Gloucester, Virginia"
-77.7022,37.6015,2010,49,"Goochland, Virginia"
-84.5966,38.7326,2010,133,"Grant, Kentucky"
-79.3662,39.2711,2010,95,"Grant, West Virginia"
-88.5692,36.5603,2010,217,"Graves, Kentucky"
-86.226,37.4937,2010,257,"Grayson, Kentucky"
-81.6257,36.6015,2010,103,"Grayson, Virginia"
-80.4715,37.7503,2010,254,"Greenbrier, West Virginia"
-83.7431,39.6598,2010,964,"Greene, Ohio"
-79.9986,39.9476,2010,179,"Greene, Pennsylvania"
-78.4417,38.2504,2010,102,"Greene, Virginia"
-81.5868,40.0221,2010,316,"Guernsey, Ohio"
-78.7284,36.839,2010,277,"Halifax, Virginia"
-84.763,39.1864,2010,13780,"Hamilton, Ohio"
-76.8978,36.9052,2010,775,"Southampton, Virginia"
-83.8235,40.9348,2010,573,"Hancock, Ohio"
-77.3706,37.7668,2010,510,"Hanover, Virginia"
-83.5114,40.8064,2010,326,"Hardin, Ohio"
-78.8661,38.8779,2010,76,"Hardy, West Virginia"
-80.2989,39.3923,2010,196,"Harrison, West Virginia"
-78.8735,38.4362,2010,48,"Harrisonburg (city), Virginia"
-85.7672,37.2903,2010,76,"Hart, Kentucky"
-87.3542,37.8512,2010,222,"Henderson, Kentucky"
-77.4322,37.6274,2010,1154,"Henrico, Virginia"
-79.7872,36.6871,2010,164,"Henry, Virginia"
-81.9164,40.5533,2010,129,"Holmes, Ohio"
-87.6885,37.1737,2010,249,"Hopkins, Kentucky"
-78.1697,40.3821,2010,174,"Huntingdon, Pennsylvania"
-82.4915,41.2508,2010,240,"Huron, Ohio"
-79.1646,40.6783,2010,604,"Indiana, Pennsylvania"
-82.6108,39.1117,2010,632,"Jackson, Ohio"
-81.8235,38.8656,2010,116,"Jackson, West Virginia"
-76.8041,37.3799,2010,237,"James City, Virginia"
-85.6333,38.2907,2010,5426,"Jefferson, Kentucky"
-80.652,40.3653,2010,264,"Jefferson, Ohio"
-78.8765,40.9702,2010,200,"Jefferson, Pennsylvania"
-77.7517,39.3242,2010,133,"Jefferson, West Virginia"
-82.8382,37.8806,2010,243,"Johnson, Kentucky"
-84.5675,39.0338,2010,1073,"Kenton, Kentucky"
-83.0941,37.4957,2010,284,"Knott, Kentucky"
-83.7598,36.8353,2010,483,"Knox, Kentucky"
-82.5049,40.5342,2010,31,"Knox, Ohio"
-75.666,41.4846,2010,1123,"Lackawanna, Pennsylvania"
-81.469,41.6072,2010,2726,"Lake, Ohio"
-76.3275,39.832,2010,1683,"Lancaster, Pennsylvania"
-84.161,37.0037,2010,623,"Laurel, Kentucky"
-76.448,40.337,2010,648,"Lebanon, Pennsylvania"
-75.5072,40.6666,2010,2385,"Lehigh, Pennsylvania"
-82.4129,39.9595,2010,1639,"Licking, Ohio"
-86.7419,36.95,2010,111,"Logan, Kentucky"
-83.5444,40.4007,2010,273,"Logan, Ohio"
-81.9923,37.805,2010,307,"Logan, West Virginia"
-77.4712,39.0302,2010,902,"Loudoun, Virginia"
-77.9061,38.0068,2010,184,"Louisa, Virginia"
-83.6341,38.2126,2010,88,"Fleming, Kentucky"
-77.4871,38.2992,2010,234,"Fredericksburg (city), Virginia"
-83.9053,41.7113,2010,65,"Fulton, Ohio"
-84.4094,37.6167,2010,77,"Garrard, Kentucky"
-82.6911,38.4949,2010,59,"Greenup, Kentucky"
-77.4689,36.816,2010,112,"Greensville, Virginia"
-80.5998,40.6179,2010,152,"Hancock, West Virginia"
-83.4045,36.8155,2010,419,"Harlan, Kentucky"
-84.2366,38.5426,2010,106,"Harrison, Kentucky"
-85.3036,38.4623,2010,19,"Henry, Kentucky"
-83.3871,39.0747,2010,527,"Highland, Ohio"
-77.2985,37.2914,2010,215,"Hopewell (city), Virginia"
-83.9735,37.5751,2010,145,"Jackson, Kentucky"
-84.6545,37.8787,2010,316,"Jessamine, Kentucky"
-81.3502,38.486,2010,1440,"Kanawha, West Virginia"
-82.6735,37.9459,2010,92,"Lawrence, Kentucky"
-80.2625,40.8618,2010,301,"Lawrence, Pennsylvania"
-83.6085,37.6023,2010,53,"Lee, Kentucky"
-83.3907,36.954,2010,141,"Leslie, Kentucky"
-82.7493,37.1638,2010,292,"Letcher, Kentucky"
-83.2524,38.354,2010,59,"Lewis, Kentucky"
-84.7579,37.453,2010,64,"Lincoln, Kentucky"
-88.3589,37.2456,2010,26,"Livingston, Kentucky"
-81.9157,41.3128,2010,232,"Lorain, Ohio"
-81.0795,37.9607,2010,135,"Fayette, West Virginia"
-85.9358,37.8193,2010,631,"Hardin, Kentucky"
-82.5993,39.4187,2010,66,"Hocking, Ohio"
-77.114,40.6868,2010,40,"Juniata, Pennsylvania"
-83.1152,36.6871,2010,108,"Lee, Virginia"
-83.582,41.6639,2010,1995,"Lucas, Ohio"
-78.1283,36.9608,2010,110,"Lunenburg, Virginia"
-75.8214,41.3338,2010,1448,"Luzerne, Pennsylvania"
-76.9455,41.3265,2010,683,"Lycoming, Pennsylvania"
-79.1911,37.4004,2010,502,"Lynchburg (city), Virginia"
-88.0769,37.0759,2010,56,"Lyon, Kentucky"
-84.2928,37.724,2010,465,"Madison, Kentucky"
-78.3261,38.4879,2010,68,"Madison, Virginia"
-83.1516,37.7015,2010,57,"Magoffin, Kentucky"
-81.0231,40.9207,2010,2309,"Mahoning, Ohio"
-83.2077,40.5321,2010,307,"Marion, Ohio"
-80.1696,39.5013,2010,348,"Marion, West Virginia"
-80.7335,39.9854,2010,126,"Marshall, West Virginia"
-82.4223,37.8416,2010,90,"Martin, Kentucky"
-79.8636,36.6827,2010,92,"Martinsville (city), Virginia"
-83.9191,38.7054,2010,286,"Mason, Kentucky"
-82.1706,38.6663,2010,94,"Mason, West Virginia"
-88.612,36.9728,2010,386,"McCracken, Kentucky"
-84.4395,36.6648,2010,136,"McCreary, Kentucky"
-81.3572,37.3675,2010,99,"McDowell, West Virginia"
-78.66,41.8694,2010,272,"McKean, Pennsylvania"
-83.4596,37.9554,2010,29,"Menifee, Kentucky"
-84.7761,40.4113,2010,92,"Mercer, Ohio"
-79.448,41.4937,2010,23,"Forest, Pennsylvania"
-83.9415,41.371,2010,50,"Henry, Ohio"
-76.8308,36.866,2010,169,"Isle of Wight, Virginia"
-82.4488,38.4298,2010,156,"Lawrence, Ohio"
-85.2625,37.5156,2010,133,"Marion, Kentucky"
-88.4656,36.867,2010,76,"Marshall, Kentucky"
-87.1342,37.4919,2010,65,"McLean, Kentucky"
-78.3908,36.666,2010,171,"Mecklenburg, Virginia"
-82.034,39.0292,2010,102,"Meigs, Ohio"
-84.9097,37.6965,2010,86,"Mercer, Kentucky"
-80.0893,41.1572,2010,357,"Mercer, Pennsylvania"
-84.8239,38.7252,2010,40,"Gallatin, Kentucky"
-85.7353,37.5668,2010,74,"Larue, Kentucky"
-79.444,37.7825,2010,17,"Lexington (city), Virginia"
-79.6403,38.3237,2010,3,"Highland, Virginia"
-76.538,37.7301,2010,24,"Lancaster, Virginia"
-83.2993,39.9487,2010,447,"Madison, Ohio"
-76.2883,37.4984,2010,40,"Mathews, Virginia"
-82.0122,41.0348,2010,744,"Medina, Ohio"
-78.9223,39.337,2010,104,"Mineral, West Virginia"
-81.0354,39.8489,2010,2,"Monroe, Ohio"
-75.418,41.177,2010,737,"Monroe, Pennsylvania"
-84.3165,39.7927,2010,7798,"Montgomery, Ohio"
-75.2744,40.2111,2010,369,"Montgomery, Pennsylvania"
-80.4405,37.0675,2010,691,"Montgomery, Virginia"
-76.635,40.9865,2010,13,"Montour, Pennsylvania"
-81.9154,39.7373,2010,107,"Morgan, Ohio"
-78.4553,39.5313,2010,40,"Morgan, West Virginia"
-82.6618,40.6209,2010,198,"Morrow, Ohio"
-87.2125,37.1231,2010,143,"Muhlenberg, Kentucky"
-82.018,39.9037,2010,225,"Muskingum, Ohio"
-78.8828,37.913,2010,94,"Nelson, Virginia"
-77.0436,37.4418,2010,105,"New Kent, Virginia"
-76.5185,37.1052,2010,1730,"Newport News (city), Virginia"
-80.8512,38.2001,2010,199,"Nicholas, West Virginia"
-75.2024,40.6295,2010,2009,"Northampton, Pennsylvania"
-76.6713,40.7841,2010,164,"Northumberland, Pennsylvania"
-80.6951,40.0753,2010,249,"Ohio, West Virginia"
-78.1125,38.2484,2010,156,"Orange, Virginia"
-82.8369,41.5853,2010,231,"Ottawa, Ohio"
-84.9769,38.6134,2010,35,"Owen, Kentucky"
-78.4545,38.6653,2010,154,"Page, Virginia"
-84.3311,38.6708,2010,97,"Pendleton, Kentucky"
-82.4271,39.921,2010,211,"Perry, Ohio"
-77.3914,37.2042,2010,474,"Petersburg (city), Virginia"
-75.134,40.0076,2010,33513,"Philadelphia, Pennsylvania"
-82.0632,37.4807,2010,332,"Pike, Kentucky"
-82.9102,39.1517,2010,251,"Pike, Ohio"
-75.183,41.4045,2010,144,"Pike, Pennsylvania"
-76.3569,37.1318,2010,33,"Poquoson (city), Virginia"
-81.0501,41.0245,2010,1263,"Portage, Ohio"
-76.354,36.8468,2010,841,"Portsmouth (city), Virginia"
-80.964,37.4362,2010,587,"Mercer, West Virginia"
-84.4084,39.9951,2010,458,"Miami, Ohio"
-76.5747,37.6395,2010,30,"Middlesex, Virginia"
-85.6927,36.7012,2010,114,"Monroe, Kentucky"
-83.8925,37.997,2010,230,"Montgomery, Kentucky"
-83.0488,37.9734,2010,58,"Morgan, Kentucky"
-85.2196,37.8996,2010,148,"Nelson, Kentucky"
-81.2824,39.9156,2010,5,"Noble, Ohio"
-76.259,36.8945,2010,1077,"Norfolk (city), Virginia"
-86.7728,37.5589,2010,167,"Ohio, Kentucky"
-83.6802,37.4743,2010,31,"Owsley, Kentucky"
-80.3578,36.7168,2010,98,"Patrick, Virginia"
-84.7378,41.1798,2010,28,"Paulding, Ohio"
-82.7779,39.554,2010,463,"Pickaway, Ohio"
-80.0915,38.2746,2010,41,"Pocahontas, West Virginia"
-83.9691,37.9059,2010,141,"Powell, Kentucky"
-77.9267,37.5427,2010,197,"Powhatan, Virginia"
-77.2604,38.6823,2010,1551,"Prince William, Virginia"
-84.6329,37.1745,2010,610,"Pulaski, Kentucky"
-80.7255,36.9342,2010,503,"Pulaski, Virginia"
-81.4371,37.9443,2010,494,"Raleigh, West Virginia"
-82.4502,40.9345,2010,617,"Richland, Ohio"
-81.1709,39.1226,2010,54,"Ritchie, West Virginia"
-81.3531,38.8025,2010,21,"Roane, West Virginia"
-79.5431,37.6301,2010,186,"Rockbridge, Virginia"
-78.9061,38.6601,2010,413,"Rockingham, Virginia"
-83.1842,39.4069,2010,948,"Ross, Ohio"
-83.3185,38.2529,2010,343,"Rowan, Kentucky"
-82.2961,36.9791,2010,270,"Russell, Virginia"
-80.0554,37.2864,2010,205,"Salem (city), Virginia"
-82.842,38.7383,2010,805,"Scioto, Ohio"
-77.4448,38.7717,2010,171,"Manassas Park (city), Virginia"
-85.9915,37.9366,2010,51,"Meade, Kentucky"
-77.8141,40.5331,2010,141,"Mifflin, Pennsylvania"
-79.9868,39.6587,2010,337,"Monongalia, West Virginia"
-80.5419,37.5905,2010,62,"Monroe, West Virginia"
-76.3477,37.8832,2010,32,"Northumberland, Virginia"
-85.4839,38.3355,2010,106,"Oldham, Kentucky"
-83.2752,37.2245,2010,599,"Perry, Kentucky"
-79.4196,36.6716,2010,182,"Pittsylvania, Virginia"
-78.0205,41.9207,2010,147,"Potter, Pennsylvania"
-84.7133,39.7917,2010,98,"Preble, Ohio"
-79.8003,39.5512,2010,26,"Preston, West Virginia"
-78.2322,38.6562,2010,51,"Rappahannock, Virginia"
-76.6625,37.9501,2010,2884,"Richmond, Virginia"
-79.8886,37.2747,2010,1103,"Roanoke, Virginia"
-84.0358,38.5317,2010,19,"Robertson, Kentucky"
-84.4144,37.4027,2010,198,"Rockcastle, Kentucky"
-85.6187,36.9841,2010,78,"Metcalfe, Kentucky"
-82.1696,37.6262,2010,180,"Mingo, West Virginia"
-77.0278,40.3951,2010,160,"Perry, Pennsylvania"
-84.2693,41.0997,2010,38,"Putnam, Ohio"
-85.0683,36.995,2010,122,"Russell, Kentucky"
-83.3218,41.388,2010,158,"Sandusky, Ohio"
-76.235,40.8565,2010,733,"Schuylkill, Pennsylvania"
-82.7962,36.7196,2010,353,"Scott, Virginia"
-83.3285,41.2162,2010,225,"Seneca, Ohio"
-84.2597,40.4389,2010,383,"Shelby, Ohio"
-78.3681,39.0551,2010,369,"Shenandoah, Virginia"
-86.7347,36.7509,2010,93,"Simpson, Kentucky"
-81.5927,36.7929,2010,310,"Smyth, Virginia"
-78.772,39.9834,2010,187,"Somerset, Pennsylvania"
-77.5885,38.1982,2010,716,"Spotsylvania, Virginia"
-83.8866,38.302,2010,90,"Nicholas, Kentucky"
-78.0029,37.0821,2010,89,"Nottoway, Virginia"
-81.9256,38.5374,2010,188,"Putnam, West Virginia"
-80.5583,37.1229,2010,144,"Radford (city), Virginia"
-84.4699,38.2204,2010,178,"Scott, Kentucky"
-82.626,36.9317,2010,3,"Norton (city), Virginia"
-79.8967,38.7968,2010,36,"Randolph, West Virginia"
-85.1511,38.0562,2010,40,"Spencer, Kentucky"
-81.4165,40.8159,2010,2991,"Stark, Ohio"
-79.0608,38.1593,2010,186,"Staunton (city), Virginia"
-76.5832,41.4102,2010,18,"Sullivan, Pennsylvania"
-81.5219,41.0802,2010,1380,"Summit, Ohio"
-77.2875,36.8457,2010,59,"Sussex, Virginia"
-81.6387,37.1909,2010,509,"Tazewell, Virginia"
-80.6656,41.462,2010,1159,"Trumbull, Ohio"
-81.495,40.5609,2010,390,"Tuscarawas, Ohio"
-83.2628,40.3533,2010,171,"Union, Ohio"
-77.1564,40.9002,2010,72,"Union, Pennsylvania"
-84.7746,40.8006,2010,149,"Van Wert, Ohio"
-76.0435,36.7335,2010,1537,"Virginia Beach (city), Virginia"
-77.4655,38.3319,2010,583,"Stafford, Virginia"
-85.3689,37.4256,2010,202,"Taylor, Kentucky"
-79.8736,41.4998,2010,291,"Venango, Pennsylvania"
-86.4371,36.9725,2010,620,"Warren, Kentucky"
-79.0941,41.7806,2010,213,"Warren, Pennsylvania"
-78.1033,38.9231,2010,427,"Warren, Virginia"
-80.4091,40.3264,2010,881,"Washington, Pennsylvania"
-85.0744,38.137,2010,124,"Shelby, Kentucky"
-77.3107,40.7078,2010,132,"Snyder, Pennsylvania"
-76.6847,36.5882,2010,245,"Suffolk (city), Virginia"
-80.2279,38.9927,2010,253,"Upshur, West Virginia"
-82.5243,39.1591,2010,52,"Vinton, Ohio"
-84.1236,39.3496,2010,842,"Warren, Ohio"
-81.4562,39.6314,2010,366,"Washington, Ohio"
-81.6382,36.666,2010,321,"Washington, Virginia"
-84.8506,36.8404,2010,229,"Wayne, Kentucky"
-81.9948,40.9864,2010,449,"Wayne, Ohio"
-79.677,40.3312,2010,1506,"Westmoreland, Pennsylvania"
-84.1004,36.9321,2010,579,"Whitley, Kentucky"
-76.7075,37.2691,2010,41,"Williamsburg (city), Virginia"
-83.4363,41.3236,2010,649,"Wood, Ohio"
-83.3836,40.95,2010,21,"Wyandot, Ohio"
-81.192,36.8862,2010,406,"Wythe, Virginia"
-76.5841,39.9163,2010,3066,"York, Pennsylvania"
-75.7182,37.6917,2011,164,"Accomack, Virginia"
-83.4713,38.8559,2011,314,"Adams, Ohio"
-77.1569,39.8826,2011,297,"Adams, Pennsylvania"
-77.0861,38.8184,2011,123,"Alexandria (city), Virginia"
-79.9795,37.8865,2011,106,"Alleghany, Virginia"
-80.1873,40.4001,2011,8004,"Allegheny, Pennsylvania"
-77.9882,37.3366,2011,69,"Amelia, Virginia"
-77.1011,38.8786,2011,673,"Arlington, Virginia"
-82.2818,40.9214,2011,744,"Ashland, Ohio"
-80.6173,41.8567,2011,672,"Ashtabula, Ohio"
-82.1261,39.4005,2011,747,"Athens, Ohio"
-84.146,40.6513,2011,171,"Auglaize, Ohio"
-79.0087,38.1939,2011,324,"Augusta, Virginia"
-85.9264,37.0048,2011,423,"Barren, Kentucky"
-83.6156,38.1193,2011,89,"Bath, Kentucky"
-78.5075,40.2592,2011,158,"Bedford, Pennsylvania"
-80.8865,37.7243,2010,59,"Summers, West Virginia"
-75.8762,41.8332,2010,37,"Susquehanna, Pennsylvania"
-87.709,36.9551,2010,34,"Trigg, Kentucky"
-79.6455,39.0813,2010,1,"Tucker, West Virginia"
-80.9351,39.6035,2010,57,"Tyler, West Virginia"
-85.0701,37.7355,2010,42,"Washington, Kentucky"
-75.2731,41.3957,2010,152,"Wayne, Pennsylvania"
-82.4415,38.2254,2010,23,"Wayne, West Virginia"
-87.7342,37.4662,2010,57,"Webster, Kentucky"
-76.8229,38.0941,2010,107,"Westmoreland, Virginia"
-80.7316,39.5689,2010,24,"Wetzel, West Virginia"
-78.1745,39.1734,2010,369,"Winchester (city), Virginia"
-82.7774,36.8615,2010,514,"Wise, Virginia"
-83.5166,37.8301,2010,37,"Wolfe, Kentucky"
-81.4179,37.7154,2010,15,"Wyoming, West Virginia"
-86.2961,36.7956,2011,115,"Allen, Kentucky"
-84.0848,40.8305,2011,595,"Allen, Ohio"
-79.1058,37.4487,2011,168,"Amherst, Virginia"
-84.935,38.089,2011,136,"Anderson, Kentucky"
-79.4603,40.9185,2011,406,"Armstrong, Pennsylvania"
-79.9505,38.9783,2011,16,"Barbour, West Virginia"
-79.5709,38.1948,2011,61,"Bath, Virginia"
-80.4738,40.5989,2011,575,"Beaver, Pennsylvania"
-83.8774,36.5942,2011,204,"Bell, Kentucky"
-81.1313,40.1621,2011,425,"Belmont, Ohio"
-77.9779,39.458,2011,856,"Berkeley, West Virginia"
-76.1391,40.3495,2011,2369,"Berks, Pennsylvania"
-78.2272,40.6864,2011,607,"Blair, Pennsylvania"
-84.6731,38.9472,2011,257,"Boone, Kentucky"
-79.8779,37.4167,2011,199,"Botetourt, Virginia"
-84.1101,38.1425,2011,57,"Bourbon, Kentucky"
-76.1763,41.7606,2011,170,"Bradford, Pennsylvania"
-83.4585,37.4215,2011,52,"Breathitt, Kentucky"
-83.7878,38.8673,2011,213,"Brown, Ohio"
-87.2425,37.01,2010,47,"Todd, Kentucky"
-85.3174,38.5955,2010,22,"Trimble, Kentucky"
-78.9012,38.0673,2010,93,"Waynesboro (city), Virginia"
-81.513,39.1806,2010,287,"Wood, West Virginia"
-84.7563,37.972,2010,91,"Woodford, Kentucky"
-76.0457,41.6119,2010,120,"Wyoming, Pennsylvania"
-85.3197,37.1803,2011,108,"Adair, Kentucky"
-78.682,37.2642,2011,44,"Appomattox, Virginia"
-79.7253,37.3866,2011,297,"Bedford, Virginia"
-77.069,41.6795,2010,25,"Tioga, Pennsylvania"
-81.7138,37.9713,2011,134,"Boone, West Virginia"
-82.7816,38.3354,2011,623,"Boyd, Kentucky"
-84.0666,38.6818,2011,35,"Bracken, Kentucky"
-80.8979,38.5632,2011,83,"Braxton, West Virginia"
-86.6304,37.8312,2011,61,"Breckinridge, Kentucky"
-80.6102,40.2811,2011,8,"Brooke, West Virginia"
-77.8937,36.8553,2011,66,"Brunswick, Virginia"
-81.8015,37.2473,2011,161,"Buchanan, Virginia"
-78.6333,37.494,2011,144,"Buckingham, Virginia"
-74.8852,40.1015,2011,6735,"Bucks, Pennsylvania"
-76.433,37.1982,2010,215,"York, Virginia"
