year,loc_x,loc_y,estm_count,real_count
1,-78.5222,38.041,45.23796308,239
2,-78.5222,38.041,205.0800204,172
3,-78.5222,38.041,685.6873758,176
4,-78.5222,38.041,175.9700824,269
5,-78.5222,38.041,65.69205793,222
6,-78.5222,38.041,353.2535838,286
0,-81.6257,36.6015,92.48755628,103
1,-81.6257,36.6015,74.98107284,76
2,-81.6257,36.6015,92.50391247,82
3,-81.6257,36.6015,94.09475786,113
4,-81.6257,36.6015,85.14069783,87
5,-81.6257,36.6015,99.29009768,75
6,-81.6257,36.6015,107.838671,131
0,-78.8828,37.913,109.800269,94
1,-78.8828,37.913,77.36210166,73
2,-78.8828,37.913,70.46049748,61
3,-78.8828,37.913,99.8960377,104
4,-78.8828,37.913,78.57066358,91
5,-78.8828,37.913,72.93373583,38
6,-78.8828,37.913,106.9946912,161
0,-79.444,37.7825,15.1148185,17
1,-79.444,37.7825,0.330062651,0
2,-79.444,37.7825,-1.571016479,0
3,-79.444,37.7825,37.04789575,40
4,-79.444,37.7825,3.104410686,0
5,-79.444,37.7825,-2.012217234,0
6,-79.444,37.7825,-0.218741373,0
0,-82.2961,36.9791,1750.720307,270
1,-82.2961,36.9791,60.19405942,297
2,-82.2961,36.9791,592.4525384,378
3,-82.2961,36.9791,706.918543,317
4,-82.2961,36.9791,64.29736148,346
5,-82.2961,36.9791,410.1904725,205
6,-82.2961,36.9791,65.64010459,189
0,-76.8978,36.9052,969.239,775
1,-76.8978,36.9052,89.44039201,23
2,-76.8978,36.9052,11.24075664,36
3,-76.8978,36.9052,938.989391,785
4,-76.8978,36.9052,58.11166443,76
5,-76.8978,36.9052,33.82586137,40
6,-76.8978,36.9052,103.1088271,83
0,-76.8229,38.0941,243.7788196,107
1,-76.8229,38.0941,212.9472605,118
2,-76.8229,38.0941,134.180196,143
3,-76.8229,38.0941,50.82078512,96
4,-76.8229,38.0941,60.24158328,142
5,-76.8229,38.0941,96.61291945,132
6,-76.8229,38.0941,214.8168062,159
0,-80.3578,36.7168,62.77602108,98
1,-80.3578,36.7168,303.9418659,131
2,-80.3578,36.7168,217.808634,169
3,-80.3578,36.7168,-10.93402485,109
4,-80.3578,36.7168,42.10967897,119
5,-80.3578,36.7168,55.55130538,123
6,-80.3578,36.7168,517.538762,276
0,-79.9917,36.8293,668.1808098,255
1,-79.9917,36.8293,497.289461,212
2,-79.9917,36.8293,166.019348,319
3,-79.9917,36.8293,159.0165616,509
4,-79.9917,36.8293,1159.53372,455
5,-79.9917,36.8293,438.6175653,374
6,-79.9917,36.8293,160.0909795,385
0,-83.1152,36.6871,105.850852,108
1,-83.1152,36.6871,114.0362393,78
2,-83.1152,36.6871,143.2598849,186
3,-83.1152,36.6871,146.6415887,160
4,-83.1152,36.6871,152.7643079,213
5,-83.1152,36.6871,165.9444028,183
6,-83.1152,36.6871,191.0505174,233
0,-79.2895,37.2338,253.7965857,209
1,-79.2895,37.2338,187.9880682,190
2,-79.2895,37.2338,271.7119955,356
3,-79.2895,37.2338,165.7030989,205
4,-79.2895,37.2338,224.8128611,170
5,-79.2895,37.2338,171.4694683,87
6,-79.2895,37.2338,206.429107,232
0,-82.7962,36.7196,395.1034435,353
1,-82.7962,36.7196,431.9747137,391
2,-82.7962,36.7196,380.6474078,339
3,-82.7962,36.7196,360.4598482,206
4,-82.7962,36.7196,339.9962078,484
5,-82.7962,36.7196,309.7567146,354
6,-82.7962,36.7196,337.084981,328
0,-77.7219,36.9853,38.38954057,131
1,-77.7219,36.9853,44.22911487,110
2,-77.7219,36.9853,342.0432138,91
3,-77.7219,36.9853,43.08353657,117
4,-77.7219,36.9853,28.43646875,103
5,-77.7219,36.9853,74.81594532,72
6,-77.7219,36.9853,246.6617927,64
0,-80.6997,36.6771,149.5526121,166
1,-80.6997,36.6771,249.2734014,224
2,-80.6997,36.6771,251.3829732,282
3,-80.6997,36.6771,194.3239123,209
4,-80.6997,36.6771,235.3635491,248
5,-80.6997,36.6771,268.366369,274
6,-80.6997,36.6771,351.2129597,362
0,-75.7182,37.6917,104.8481609,84
1,-75.7182,37.6917,185.8491721,164
2,-75.7182,37.6917,204.033186,152
3,-75.7182,37.6917,138.6812834,122
4,-75.7182,37.6917,147.7529953,167
5,-75.7182,37.6917,83.30535285,98
6,-75.7182,37.6917,111.0270949,114
0,-75.8283,37.5295,38.23598525,0
1,-75.8283,37.5295,54.1515743,67
2,-75.8283,37.5295,62.20375376,88
3,-75.8283,37.5295,58.67810065,62
4,-75.8283,37.5295,80.6631554,81
5,-75.8283,37.5295,50.1230332,63
6,-75.8283,37.5295,74.24996735,81
0,-78.1283,36.9608,36.57123068,110
1,-78.1283,36.9608,164.2229997,85
2,-78.1283,36.9608,289.3244405,89
3,-78.1283,36.9608,35.87393452,74
4,-78.1283,36.9608,31.40262011,101
5,-78.1283,36.9608,55.53292638,57
6,-78.1283,36.9608,194.3948463,44
0,-76.538,37.7301,27.70804714,24
1,-76.538,37.7301,34.490031,34
2,-76.538,37.7301,26.92597747,44
3,-76.538,37.7301,29.98064662,41
4,-76.538,37.7301,31.29202775,32
5,-76.538,37.7301,32.1826922,35
6,-76.538,37.7301,45.04686561,62
0,-78.6333,37.494,135.9967804,136
1,-78.6333,37.494,142.3348317,144
2,-78.6333,37.494,117.4379327,113
3,-78.6333,37.494,191.7542407,176
4,-78.6333,37.494,154.8249018,139
5,-78.6333,37.494,115.0466633,103
6,-78.6333,37.494,111.4367691,109
0,-79.7872,36.6871,53.68556327,164
1,-79.7872,36.6871,98.21613915,160
2,-79.7872,36.6871,846.1171507,260
3,-79.7872,36.6871,313.5232259,182
4,-79.7872,36.6871,120.3143764,278
5,-79.7872,36.6871,72.40105871,257
6,-79.7872,36.6871,486.4247638,214
0,-77.8267,38.416,502.985372,492
1,-77.8267,38.416,574.5421776,528
2,-77.8267,38.416,594.0486629,586
3,-77.8267,38.416,513.2540274,470
4,-77.8267,38.416,404.6979748,448
5,-77.8267,38.416,325.169793,288
6,-77.8267,38.416,433.4547034,419
0,-78.1745,39.1734,199.1970751,369
1,-78.1745,39.1734,391.3339645,12
2,-78.1745,39.1734,125.5724033,30
3,-78.1745,39.1734,99.89097704,454
4,-78.1745,39.1734,102.9498266,83
5,-78.1745,39.1734,192.1803699,15
6,-78.1745,39.1734,43.68450268,43
0,-78.1125,38.2484,142.687909,156
1,-78.1125,38.2484,152.6708057,129
2,-78.1125,38.2484,189.0679479,198
3,-78.1125,38.2484,126.3221141,149
4,-78.1125,38.2484,179.1513719,173
5,-78.1125,38.2484,200.7169302,236
6,-78.1125,38.2484,149.3348143,176
0,-77.6492,37.506,1316.526972,1331
1,-77.6492,37.506,1514.52107,1586
2,-77.6492,37.506,1904.71023,2017
3,-77.6492,37.506,1827.909226,1964
4,-77.6492,37.506,1985.812281,2309
5,-77.6492,37.506,2147.628764,1805
6,-77.6492,37.506,1815.622409,1994
0,-77.6661,38.6355,120.0436243,418
1,-77.6661,38.6355,686.5698927,506
2,-77.6661,38.6355,1244.457864,642
3,-77.6661,38.6355,264.6726931,608
4,-77.6661,38.6355,240.5047873,404
5,-77.6661,38.6355,86.60623166,369
6,-77.6661,38.6355,381.2405563,296
0,-78.9061,38.6601,374.477016,413
1,-78.9061,38.6601,419.1818017,460
2,-78.9061,38.6601,545.0967609,537
3,-78.9061,38.6601,595.0907128,646
4,-78.9061,38.6601,513.1482843,664
5,-78.9061,38.6601,498.09861,476
6,-78.9061,38.6601,526.7688369,570
0,-77.9882,37.3366,147.6793067,94
1,-77.9882,37.3366,70.7028487,69
2,-77.9882,37.3366,126.4406605,78
3,-77.9882,37.3366,159.2205379,169
4,-77.9882,37.3366,76.82693919,91
5,-77.9882,37.3366,9.807817386,3
6,-77.9882,37.3366,43.18002488,12
0,-78.3908,36.666,356.7311078,171
1,-78.3908,36.666,512.53518,163
2,-78.3908,36.666,227.8227352,371
3,-78.3908,36.666,108.7787716,206
4,-78.3908,36.666,85.33275157,166
5,-78.3908,36.666,77.86711537,135
6,-78.3908,36.666,639.7608575,199
0,-81.6382,36.666,358.6518098,321
1,-81.6382,36.666,375.3098499,474
2,-81.6382,36.666,456.3041676,455
3,-81.6382,36.666,416.0987885,406
4,-81.6382,36.666,458.1309267,419
5,-81.6382,36.666,452.0399794,361
6,-81.6382,36.666,416.0407038,469
0,-81.192,36.8862,347.3603127,406
1,-81.192,36.8862,466.5530198,495
2,-81.192,36.8862,487.3387086,554
3,-81.192,36.8862,571.0734583,596
4,-81.192,36.8862,564.0611565,615
5,-81.192,36.8862,629.2229321,611
6,-81.192,36.8862,477.4547151,492
0,-77.9061,38.0068,352.1053782,184
1,-77.9061,38.0068,223.565991,145
2,-77.9061,38.0068,217.2141557,194
3,-77.9061,38.0068,109.5174918,112
4,-77.9061,38.0068,91.28976848,191
5,-77.9061,38.0068,83.75566735,149
6,-77.9061,38.0068,74.2670922,109
0,-78.3681,39.0551,467.2817792,369
1,-78.3681,39.0551,482.7735895,430
2,-78.3681,39.0551,375.1659507,347
3,-78.3681,39.0551,395.3531797,406
4,-78.3681,39.0551,400.5821401,405
5,-78.3681,39.0551,442.7473968,436
6,-78.3681,39.0551,308.1214922,427
0,-81.5927,36.7929,598.9049079,310
1,-81.5927,36.7929,434.3473983,193
2,-81.5927,36.7929,240.991899,344
3,-81.5927,36.7929,167.7141838,272
4,-81.5927,36.7929,125.5125692,273
5,-81.5927,36.7929,135.0709581,237
6,-81.5927,36.7929,749.6434999,680
0,-76.6625,37.9501,1069.621751,2884
1,-76.6625,37.9501,2346.876725,13
2,-76.6625,37.9501,557.1776064,37
3,-76.6625,37.9501,751.2408001,3248
4,-76.6625,37.9501,745.1034224,396
5,-76.6625,37.9501,273.9665551,52
6,-76.6625,37.9501,124.5358441,418
0,-77.4689,36.816,185.402067,112
1,-77.4689,36.816,24.82252495,107
2,-77.4689,36.816,55.0318791,105
3,-77.4689,36.816,288.4935786,47
4,-77.4689,36.816,36.02098413,50
5,-77.4689,36.816,26.68333474,71
6,-77.4689,36.816,128.3373212,51
0,-77.0687,37.344,6.531076714,0
1,-77.0687,37.344,1.610707009,0
2,-77.0687,37.344,0.895249106,12
3,-77.0687,37.344,18.37602535,28
4,-77.0687,37.344,7.999750216,5
5,-77.0687,37.344,0.971124303,4
6,-77.0687,37.344,4.132389252,0
0,-80.5583,37.1229,45.58973982,144
1,-80.5583,37.1229,101.6811208,0
2,-80.5583,37.1229,79.45780274,0
3,-80.5583,37.1229,136.6950156,212
4,-80.5583,37.1229,98.16090641,7
5,-80.5583,37.1229,42.01239662,0
6,-80.5583,37.1229,35.84430969,9
0,-78.0883,37.6674,80.54475917,64
1,-78.0883,37.6674,44.44337418,38
2,-78.0883,37.6674,47.29066277,55
3,-78.0883,37.6674,90.89728721,97
4,-78.0883,37.6674,52.80224024,64
5,-78.0883,37.6674,19.34576347,26
6,-78.0883,37.6674,30.09587993,33
0,-78.1033,38.9231,432.4117052,427
1,-78.1033,38.9231,104.8490199,505
2,-78.1033,38.9231,464.5605484,507
3,-78.1033,38.9231,2124.024962,503
4,-78.1033,38.9231,263.937542,547
5,-78.1033,38.9231,145.3715757,431
6,-78.1033,38.9231,598.6229566,442
0,-77.8937,36.8553,135.7448963,131
1,-77.8937,36.8553,81.83723288,66
2,-77.8937,36.8553,97.58269086,157
3,-77.8937,36.8553,83.06526041,88
4,-77.8937,36.8553,105.4150539,88
5,-77.8937,36.8553,63.97850984,69
6,-77.8937,36.8553,88.34349152,135
0,-78.4545,38.6653,182.0875166,154
1,-78.4545,38.6653,283.4604576,277
2,-78.4545,38.6653,228.5693398,240
3,-78.4545,38.6653,205.8817386,255
4,-78.4545,38.6653,152.594761,177
5,-78.4545,38.6653,179.9972179,135
6,-78.4545,38.6653,131.8640594,230
0,-78.601,36.9933,78.4709722,75
1,-78.601,36.9933,64.59358204,33
2,-78.601,36.9933,61.59113542,83
3,-78.601,36.9933,70.43611497,127
4,-78.601,36.9933,57.62345829,78
5,-78.601,36.9933,57.07884026,71
6,-78.601,36.9933,36.50977292,50
0,-79.6403,38.3237,10.21640185,3
1,-79.6403,38.3237,0.000175594,0
2,-79.6403,38.3237,-0.115157875,2
3,-79.6403,38.3237,0.284012791,0
4,-79.6403,38.3237,4.61839574,6
5,-79.6403,38.3237,1.397662642,0
6,-79.6403,38.3237,0.87338115,0
0,-80.8576,37.373,230.4630494,241
1,-80.8576,37.373,201.3923511,190
2,-80.8576,37.373,246.0110189,215
3,-80.8576,37.373,220.6150624,189
4,-80.8576,37.373,170.8706425,148
5,-80.8576,37.373,153.8586122,88
6,-80.8576,37.373,172.4027353,171
0,-77.0436,37.4418,43.24675681,105
1,-77.0436,37.4418,137.9920189,94
2,-77.0436,37.4418,272.867455,120
3,-77.0436,37.4418,231.6889108,97
4,-77.0436,37.4418,63.12075762,97
5,-77.0436,37.4418,25.69623657,71
6,-77.0436,37.4418,32.04340131,57
0,-80.7255,36.9342,582.6957486,503
1,-80.7255,36.9342,583.1970136,592
2,-80.7255,36.9342,559.8446796,490
3,-80.7255,36.9342,576.6855858,556
4,-80.7255,36.9342,438.3937683,473
5,-80.7255,36.9342,460.9837323,326
6,-80.7255,36.9342,455.2687068,431
0,-77.3473,38.0533,154.7475633,138
1,-77.3473,38.0533,254.9613852,260
2,-77.3473,38.0533,230.3786302,210
3,-77.3473,38.0533,201.9367755,205
4,-77.3473,38.0533,219.0893227,195
5,-77.3473,38.0533,168.6432231,163
6,-77.3473,38.0533,161.8672881,170
0,-76.0435,36.7335,1587.56665,1537
1,-76.0435,36.7335,89.03509809,45
2,-76.0435,36.7335,35.36162881,58
3,-76.0435,36.7335,1429.506139,1721
4,-76.0435,36.7335,77.00028182,135
5,-76.0435,36.7335,55.70113028,16
6,-76.0435,36.7335,121.4157579,167
0,-79.7253,37.3866,257.3904737,177
1,-79.7253,37.3866,244.649291,297
2,-79.7253,37.3866,271.6873822,370
3,-79.7253,37.3866,356.1400156,400
4,-79.7253,37.3866,386.9078313,377
5,-79.7253,37.3866,358.6989417,290
6,-79.7253,37.3866,263.0830561,282
0,-79.4196,36.6716,215.2328285,182
1,-79.4196,36.6716,464.9264994,192
2,-79.4196,36.6716,76.58185854,155
3,-79.4196,36.6716,130.0122794,224
4,-79.4196,36.6716,62.74052729,219
5,-79.4196,36.6716,250.0612793,280
6,-79.4196,36.6716,473.2787409,253
0,-77.2604,38.6823,1390.125537,1551
1,-77.2604,38.6823,169.6889234,236
2,-77.2604,38.6823,82.05442425,207
3,-77.2604,38.6823,1733.042994,2194
4,-77.2604,38.6823,129.5447867,206
5,-77.2604,38.6823,221.4360158,98
6,-77.2604,38.6823,77.23826718,158
0,-79.8779,37.4167,202.0060457,175
1,-79.8779,37.4167,226.877922,199
2,-79.8779,37.4167,193.5355069,172
3,-79.8779,37.4167,191.3941886,197
4,-79.8779,37.4167,180.3311943,205
5,-79.8779,37.4167,173.8232221,162
6,-79.8779,37.4167,163.8617159,209
0,-76.8308,36.866,489.4900686,169
1,-76.8308,36.866,180.4535057,137
2,-76.8308,36.866,77.7067754,216
3,-76.8308,36.866,97.79855171,248
4,-76.8308,36.866,584.7517173,197
5,-76.8308,36.866,201.8961122,170
6,-76.8308,36.866,62.11676392,170
0,-77.7022,37.6015,71.01709268,49
1,-77.7022,37.6015,53.87581423,52
2,-77.7022,37.6015,38.35597962,30
3,-77.7022,37.6015,40.91294593,42
4,-77.7022,37.6015,35.36028303,36
5,-77.7022,37.6015,43.30594961,38
6,-77.7022,37.6015,48.50304595,61
0,-78.3319,39.264,433.1975434,401
1,-78.3319,39.264,536.4663722,583
2,-78.3319,39.264,515.9957624,489
3,-78.3319,39.264,620.5139424,626
4,-78.3319,39.264,495.9346337,566
5,-78.3319,39.264,574.4900658,511
6,-78.3319,39.264,449.5819344,443
0,-81.1501,37.1521,28.6137017,25
1,-81.1501,37.1521,37.5212266,25
2,-81.1501,37.1521,25.25176303,38
3,-81.1501,37.1521,25.4008629,25
4,-81.1501,37.1521,21.2212355,17
5,-81.1501,37.1521,15.94763666,27
6,-81.1501,37.1521,35.42545022,32
0,-77.3706,37.7668,370.3359481,510
1,-77.3706,37.7668,485.0723173,609
2,-77.3706,37.7668,346.9302503,532
3,-77.3706,37.7668,555.4005689,653
4,-77.3706,37.7668,545.2828457,607
5,-77.3706,37.7668,491.2338064,403
6,-77.3706,37.7668,418.6203591,463
0,-76.3024,36.6778,918.1939384,881
1,-76.3024,36.6778,79.51055328,12
2,-76.3024,36.6778,70.76464193,0
3,-76.3024,36.6778,905.7579816,1065
4,-76.3024,36.6778,50.45620357,88
5,-76.3024,36.6778,68.92452434,0
6,-76.3024,36.6778,74.32897758,140
0,-76.8665,37.9185,105.6865285,94
1,-76.8665,37.9185,161.9440217,117
2,-76.8665,37.9185,165.1649498,150
3,-76.8665,37.9185,176.1856569,123
4,-76.8665,37.9185,71.42008327,51
5,-76.8665,37.9185,59.74310551,47
6,-76.8665,37.9185,120.0899534,114
0,-77.2875,36.8457,110.8714323,59
1,-77.2875,36.8457,172.0542631,68
2,-77.2875,36.8457,49.79524188,90
3,-77.2875,36.8457,16.01422583,58
4,-77.2875,36.8457,163.3251437,66
5,-77.2875,36.8457,115.8021691,71
6,-77.2875,36.8457,37.18380733,45
0,-78.3261,38.4879,32.70257398,68
1,-78.3261,38.4879,91.90509177,41
2,-78.3261,38.4879,39.31035391,43
3,-78.3261,38.4879,21.15382755,36
4,-78.3261,38.4879,17.23001868,56
5,-78.3261,38.4879,19.4990168,42
6,-78.3261,38.4879,117.3561516,45
0,-76.5747,37.6395,51.28108061,30
1,-76.5747,37.6395,81.20227376,75
2,-76.5747,37.6395,70.45252375,52
3,-76.5747,37.6395,30.8837094,40
4,-76.5747,37.6395,36.31567601,29
5,-76.5747,37.6395,26.9926656,26
6,-76.5747,37.6395,58.36710309,39
0,-79.5709,38.1948,45.52788568,40
1,-79.5709,38.1948,65.79546497,61
2,-79.5709,38.1948,32.03723049,28
3,-79.5709,38.1948,29.05075115,30
4,-79.5709,38.1948,19.01008533,21
5,-79.5709,38.1948,22.25995856,26
6,-79.5709,38.1948,29.79670964,14
0,-77.1011,38.8786,602.9360578,610
1,-77.1011,38.8786,679.6614547,673
2,-77.1011,38.8786,700.3212791,788
3,-77.1011,38.8786,769.4934852,849
4,-77.1011,38.8786,737.7113978,859
5,-77.1011,38.8786,890.610645,907
6,-77.1011,38.8786,1003.687953,1173
0,-78.0029,37.0821,83.90769578,89
1,-78.0029,37.0821,107.0907818,112
2,-78.0029,37.0821,72.77398852,90
3,-78.0029,37.0821,94.7924953,104
4,-78.0029,37.0821,100.5166255,99
5,-78.0029,37.0821,106.7641393,112
6,-78.0029,37.0821,54.03918555,68
0,-78.4417,38.2504,51.76245562,102
1,-78.4417,38.2504,35.33491665,124
2,-78.4417,38.2504,178.1972185,122
3,-78.4417,38.2504,296.2900695,80
4,-78.4417,38.2504,36.89192672,47
5,-78.4417,38.2504,30.46517122,110
6,-78.4417,38.2504,76.76250185,101
0,-79.9868,37.7786,0.468540593,0
1,-79.9868,37.7786,0.620945423,0
2,-79.9868,37.7786,0.529421101,0
3,-79.9868,37.7786,0.511673597,0
4,-79.9868,37.7786,0.386180433,0
5,-79.9868,37.7786,0.507143975,0
6,-79.9868,37.7786,0.497492623,0
0,-81.6387,37.1909,371.1009767,509
1,-81.6387,37.1909,464.0612113,464
2,-81.6387,37.1909,389.5016038,533
3,-81.6387,37.1909,505.7888695,678
4,-81.6387,37.1909,658.9985017,886
5,-81.6387,37.1909,724.0137636,877
6,-81.6387,37.1909,822.7681953,912
0,-78.4856,38.0374,115.0158571,264
1,-78.4856,38.0374,280.9527825,0
2,-78.4856,38.0374,94.21882884,8
3,-78.4856,38.0374,64.23853375,280
4,-78.4856,38.0374,80.76372445,65
5,-78.4856,38.0374,158.3982284,0
6,-78.4856,38.0374,77.44488777,16
0,-80.1395,37.4293,33.60277593,69
1,-80.1395,37.4293,17.31629677,35
2,-80.1395,37.4293,30.61843175,27
3,-80.1395,37.4293,37.11354852,25
4,-80.1395,37.4293,71.27422731,33
5,-80.1395,37.4293,32.4088205,17
6,-80.1395,37.4293,11.30929756,4
0,-79.9795,37.8865,206.1891635,154
1,-79.9795,37.8865,182.1525486,106
2,-79.9795,37.8865,185.474087,123
3,-79.9795,37.8865,159.657048,87
4,-79.9795,37.8865,160.0983895,220
5,-79.9795,37.8865,145.8931998,235
6,-79.9795,37.8865,203.061775,177
0,-76.4402,37.2801,125.3534172,133
1,-76.4402,37.2801,154.2366695,138
2,-76.4402,37.2801,169.2268343,194
3,-76.4402,37.2801,160.6597311,154
4,-76.4402,37.2801,145.4083032,114
5,-76.4402,37.2801,114.8155815,129
6,-76.4402,37.2801,142.3507104,135
0,-76.259,36.8945,1072.487743,1077
1,-76.259,36.8945,146.0559274,35
2,-76.259,36.8945,149.1606469,46
3,-76.259,36.8945,1060.423397,1025
4,-76.259,36.8945,244.6976529,227
5,-76.259,36.8945,152.8858547,55
6,-76.259,36.8945,187.6321926,164
0,-76.6847,36.5882,597.7661556,245
1,-76.6847,36.5882,13.07103388,6
2,-76.6847,36.5882,-9.896621258,4
3,-76.6847,36.5882,186.9197453,438
4,-76.6847,36.5882,16.1831464,31
5,-76.6847,36.5882,6.847743659,4
6,-76.6847,36.5882,95.26263502,45
0,-77.9823,39.1508,26.76743969,35
1,-77.9823,39.1508,44.79367295,47
2,-77.9823,39.1508,40.11445321,28
3,-77.9823,39.1508,52.08070753,47
4,-77.9823,39.1508,58.93893564,84
5,-77.9823,39.1508,66.99692001,57
6,-77.9823,39.1508,44.51295426,46
0,-77.3914,37.2042,452.6768203,474
1,-77.3914,37.2042,53.34254412,0
2,-77.3914,37.2042,17.09304526,0
3,-77.3914,37.2042,645.4148497,641
4,-77.3914,37.2042,55.52717881,90
5,-77.3914,37.2042,42.80149127,0
6,-77.3914,37.2042,78.54917003,14
0,-76.9665,37.2273,20.90352887,13
1,-76.9665,37.2273,21.29994369,14
2,-76.9665,37.2273,8.493550664,16
3,-76.9665,37.2273,16.56403963,12
4,-76.9665,37.2273,12.61913512,20
5,-76.9665,37.2273,5.583427128,0
6,-76.9665,37.2273,10.26901717,0
0,-77.1878,38.8648,77.90359454,65
1,-77.1878,38.8648,8.59959693,0
2,-77.1878,38.8648,-0.479844547,0
3,-77.1878,38.8648,11.40456728,46
4,-77.1878,38.8648,-1.610347364,0
5,-77.1878,38.8648,3.622463613,0
6,-77.1878,38.8648,2.593604373,0
0,-78.2322,38.6562,35.2364674,51
1,-78.2322,38.6562,61.78918857,70
2,-78.2322,38.6562,85.00449904,66
3,-78.2322,38.6562,79.92862204,46
4,-78.2322,38.6562,53.83834465,30
