Year,ID,Name,InnerIndex,HC01_VC04,HC01_VC03,HC01_VC37,HC01_VC85,HC01_VC86,HC01_VC85,HC01_VC80
2010,46,"Wythe, Virginia",457.8950469586232,7953,11665,6704,2079,2679,2079,1083
2010,47,"Louisa, Virginia",262.38218884643265,9715,13253,7882,1594,2836,1594,1226
2010,48,"Shenandoah, Virginia",168.17252540370785,11636,17316,9631,1729,3336,1729,1465
2010,49,"Smyth, Virginia",523.4954685290962,8778,12992,6894,2555,3008,2555,1578
2010,50,"Richmond, Virginia",1204.249005410404,1912,3007,1981,703,1031,703,279
2010,51,"Greensville, Virginia",59.78747704078616,2369,3385,2261,911,1730,911,364
2010,52,"Charles City, Virginia",5.1285213955711395,1815,2713,1399,421,901,421,252
2010,53,"Radford (city), Virginia",33.79186728926406,2485,5667,1872,195,529,195,7407
2010,54,"Cumberland, Virginia",119.08780436765487,2655,3969,2013,914,933,914,375
2010,55,"Warren, Virginia",185.10695418897177,9765,14160,8311,1519,2629,1519,1884
2010,56,"Brunswick, Virginia",54.08535805310785,4013,6086,3249,1552,2510,1552,1306
2010,57,"Page, Virginia",313.37276097143723,6533,9629,5271,1696,2964,1696,682
2010,58,"Charlotte, Virginia",27.364577884890135,3150,4415,2543,1080,1375,1080,772
2010,59,"Highland, Virginia",2.9169965761720427,813,1130,741,130,387,130,36
2010,60,"Giles, Virginia",68.83069263932646,4936,7100,3968,1058,1342,1058,872
2010,61,"New Kent, Virginia",139.915817266471,5171,6513,4481,505,1211,505,721
2010,62,"Pulaski, Virginia",189.07478018227377,9996,14898,8056,1861,3485,1861,1554
2010,63,"Caroline, Virginia",341.2391814557854,7315,10270,5955,1297,2128,1297,1069
2010,64,"Virginia Beach (city), Virginia",734.1592482872926,112593,163944,90257,6134,15022,6134,34083
2010,65,"Bedford, Virginia",126.09081138847291,20104,27150,17571,2141,5014,2141,2967
2010,66,"Pittsylvania, Virginia",195.5652963093232,18671,26563,14739,4441,6323,4441,2893
2010,67,"Prince William, Virginia",1610.0129738707067,96441,124879,82408,13337,13998,13337,25936
2010,68,"Botetourt, Virginia",75.52842933008479,9807,12918,8774,834,1699,834,1377
2010,69,"Isle of Wight, Virginia",98.21371753923603,10266,13553,8540,1134,2220,1134,2010
2010,70,"Goochland, Virginia",84.86428534737773,5468,6831,5059,1086,2286,1086,277
2010,71,"Frederick, Virginia",1402.0048427086913,21161,28558,17497,3002,5599,3002,3392
2010,72,"Bland, Virginia",30.42244778768574,1992,2580,1875,485,393,485,80
2010,73,"Hanover, Virginia",414.69826497366273,28144,36114,24375,1751,4069,1751,5874
2010,74,"Chesapeake (city), Virginia",396.9495066537457,59611,78778,48196,3812,11332,3812,14738
2010,75,"Essex, Virginia",43.035615203751085,3068,4466,2313,592,922,592,299
2010,76,"Sussex, Virginia",54.75713260491436,2344,3796,1828,1289,1410,1289,798
2010,77,"Madison, Virginia",123.45999745820525,4001,5213,3412,636,1210,636,674
2010,78,"Middlesex, Virginia",57.00576718743588,3162,4303,2653,376,666,376,224
2010,79,"Bath, Virginia",26.08780063007719,1494,2025,1278,391,371,391,169
2010,80,"Arlington, Virginia",512.2649286500971,40779,91892,37079,5854,5178,5854,18116
2010,81,"Nottoway, Virginia",244.8562803244748,3958,5607,3221,883,2156,883,735
2010,82,"Greene, Virginia",35.683222934225874,4750,6709,3842,1035,1471,1035,362
2010,83,"Covington (city), Virginia",0.5,1528,2641,1166,289,502,289,268
2010,84,"Tazewell, Virginia",551.6102509698947,12934,18015,10908,3833,4017,3833,2114
2010,85,"Charlottesville (city), Virginia",156.76575742335118,7048,17290,5240,1494,2007,1494,12510
2010,86,"Craig, Virginia",24.677700056205538,1458,1989,1202,208,400,208,196
2010,87,"Alleghany, Virginia",444.962569608038,4765,6964,3835,934,1199,934,739
2010,88,"Gloucester, Virginia",54.73580107707492,10656,14014,8922,1267,2475,1267,1784
2010,89,"Norfolk (city), Virginia",160.30868607397937,50208,85061,37635,5751,17151,5751,25943
2010,90,"Suffolk (city), Virginia",167.39903696652397,22888,30126,17616,2937,5362,2937,4816
2010,91,"Clarke, Virginia",17.915575381686494,3838,5535,3411,507,734,507,419
2010,92,"Petersburg (city), Virginia",348.3696685243094,7067,12305,4138,2018,4028,2018,1317
2010,93,"Surry, Virginia",7.598363319305073,1677,2481,1486,481,535,481,345
2010,94,"Falls Church (city), Virginia",33.872819877382376,2930,4706,2410,221,114,221,993
2010,95,"Rappahannock, Virginia",55.88758884403408,2151,3163,1864,537,546,537,397
2010,96,"Galax (city), Virginia",12.538871483004742,1738,3326,1149,855,542,855,272
2010,97,"Martinsville (city), Virginia",91.83344622294754,3566,5922,2248,916,1229,916,822
2010,98,"James City, Virginia",599.0990009675809,19040,25851,16776,752,2321,752,3351
2010,99,"Danville (city), Virginia",252.7150666723836,11759,19448,7758,2708,4555,2708,2910
2010,100,"Amherst, Virginia",96.39365965336101,8821,12706,7062,2008,2748,2008,2432
2010,101,"Harrisonburg (city), Virginia",16.53988337863315,7426,14965,6112,2293,2292,2293,17938
2010,102,"Fredericksburg (city), Virginia",63.47482428398564,4490,9206,3282,564,1221,564,4090
2010,103,"Roanoke, Virginia",289.15586614329817,25652,37833,22005,2170,4487,2170,4817
2010,104,"Appomattox, Virginia",72.01357378032262,4352,5976,3342,824,1236,824,595
2010,105,"Portsmouth (city), Virginia",231.87297658164124,23779,37325,16034,3717,7740,3717,6566
2010,106,"Newport News (city), Virginia",1041.5407682275545,45282,70653,32169,3541,8879,3541,17542
2010,107,"Spotsylvania, Virginia",2206.0164042737138,32156,41009,26605,2552,6184,2552,7109
2010,108,"Salem (city), Virginia",57.64333476142448,6236,9890,4840,732,1310,732,3072
2010,109,"Staunton (city), Virginia",43.570504282086695,5807,10408,4473,1090,1826,1090,1633
2010,110,"Bristol (city), Virginia",90.12127464126499,4899,7948,3394,952,1570,952,1155
2010,111,"Williamsburg (city), Virginia",8.453064827723399,2086,4069,1722,118,284,118,5664
2010,112,"Floyd, Virginia",44.794841442601395,4332,6334,3709,868,1344,868,469
2010,113,"Alexandria (city), Virginia",184.16043275784247,29010,63738,24748,4676,4496,4676,11162
2010,114,"Norton (city), Virginia",0.375,955,1764,588,304,268,304,236
2010,115,"Lynchburg (city), Virginia",275.9488038823783,16268,27875,12186,2684,4543,2684,14147
2010,116,"York, Virginia",84.20474207081213,18857,24002,16264,778,1538,778,4813
2010,117,"Emporia (city), Virginia",27.172298709661643,1356,2406,870,501,618,501,193
2010,118,"Poquoson (city), Virginia",4.661817339730806,3701,4524,3117,207,295,207,633
2010,119,"Hopewell (city), Virginia",25.935500602586693,5343,8914,3362,1017,2506,1017,807
2010,120,"Buena Vista (city), Virginia",7.461172636017438,1807,2693,1232,587,575,587,562
2010,121,"Colonial Heights (city), Virginia",167.33916377789842,4555,7075,3546,385,1053,385,792
2010,122,"Logan, West Virginia",625.4046693171116,10514,14740,8476,2724,3862,2724,1217
2010,123,"Hardy, West Virginia",54.42604891185235,3016,4877,2606,818,887,818,388
2010,124,"Tucker, West Virginia",0.5479824117458705,2072,3132,1737,318,653,318,161
2010,125,"Fayette, West Virginia",71.76950124189834,12344,18140,9809,3229,4424,3229,2283
2010,126,"Hancock, West Virginia",256.48739878136564,8882,13296,7070,1073,1758,1073,1281
2010,127,"Jefferson, West Virginia",56.64373904425033,13590,19164,11705,1148,3955,1148,4590
2010,128,"Harrison, West Virginia",920.2918141163661,18968,27740,15436,2465,5189,2465,2757
2010,129,"Wayne, West Virginia",18.361273152075167,11756,16751,9992,2648,3888,2648,2035
2010,130,"Grant, West Virginia",100.73468296203215,3451,4899,3043,854,900,854,338
2010,131,"Raleigh, West Virginia",347.9401852089639,21014,31196,17494,4413,7670,4413,4106
2010,132,"Mercer, West Virginia",211.8353412988809,16011,25344,13160,4003,5121,4003,3612
2010,133,"Boone, West Virginia",48.107893680688115,7180,10023,5956,1842,3115,1842,568
2010,134,"Preston, West Virginia",35.67904914003383,9003,12850,7847,1669,2488,1669,924
2010,135,"Monroe, West Virginia",40.55055500941161,3922,5594,3417,1012,1352,1012,243
2010,136,"McDowell, West Virginia",170.0470934667473,5490,8338,4466,3099,3429,3099,735
2010,137,"Randolph, West Virginia",212.71691018754112,7691,11319,6683,1539,2428,1539,1583
2010,138,"Monongalia, West Virginia",63.626940604614,18785,35073,16143,2261,4508,2261,23629
2010,139,"Wood, West Virginia",980.4485550878723,23934,36222,19113,2744,5458,2744,4694
2010,140,"Putnam, West Virginia",201.46496103340823,15929,20975,13548,1355,2917,1355,2092
2010,141,"Kanawha, West Virginia",1924.0238545636023,51064,82501,40105,6650,12860,6650,9974
2010,142,"Cabell, West Virginia",538.7719804934073,24695,40564,19442,3083,6165,3083,10215
2010,143,"Brooke, West Virginia",3.4874083359431673,6578,9824,5057,719,1381,719,1286
2010,144,"Marshall, West Virginia",39.41757426171605,9385,13997,7559,1156,2378,1156,1609
2010,145,"Morgan, West Virginia",22.695150762547154,4082,7068,3344,534,1459,534,448
2010,146,"Pendleton, West Virginia",2.4039905862655337,2211,3516,1998,544,616,544,203
2010,147,"Barbour, West Virginia",15.778576447919745,4245,6219,3469,1061,1137,1061,961
2010,148,"Calhoun, West Virginia",5.0123573859610815,2063,3030,1727,723,833,723,261
2010,149,"Jackson, West Virginia",35.3188220729157,8414,11634,6856,1294,2333,1294,1277
2010,150,"Taylor, West Virginia",4.311592249527092,4588,6579,3770,754,1227,754,554
2010,151,"Mingo, West Virginia",166.92542394946412,7487,10936,5853,2659,3077,2659,815
2010,152,"Mineral, West Virginia",139.90101850028063,7710,11308,6376,802,1823,802,1533
2010,153,"Marion, West Virginia",382.957593169999,15027,22744,12047,1707,3606,1707,4674
2010,154,"Pocahontas, West Virginia",57.80539168877066,2703,3812,2357,528,856,528,188
2010,155,"Webster, West Virginia",44.577826353967964,2927,4116,2461,769,1281,769,49
2010,156,"Mason, West Virginia",22.16566483889203,7594,10932,6053,1831,2201,1831,1139
2010,157,"Braxton, West Virginia",171.4697949565435,3904,6028,3399,1291,1420,1291,335
2010,158,"Upshur, West Virginia",343.16952554573714,6196,9291,5260,1558,1759,1558,2376
2010,159,"Clay, West Virginia",33.33074204749965,2428,3530,2093,847,930,847,206
2010,160,"Wyoming, West Virginia",8.778535886509106,6565,9126,5687,2336,2294,2336,831
2010,161,"Roane, West Virginia",17.249864189497345,4008,6015,3474,1165,1354,1165,436
2010,162,"Wetzel, West Virginia",15.986545450994685,4725,6897,4075,598,1484,598,643
2010,163,"Gilmer, West Virginia",55.14941517277156,1549,2460,1381,662,812,662,1275
2010,164,"Nicholas, West Virginia",120.1317045154239,7671,10304,6609,1769,1980,1769,897
2010,165,"Hampshire, West Virginia",61.87959170586924,5804,9755,4594,1052,2521,1052,843
2010,166,"Ohio, West Virginia",514.7688565962706,11486,18850,9032,1017,2385,1017,3432
2010,167,"Berkeley, West Virginia",262.5668959269676,26475,38730,21345,2972,7220,2972,5017
2010,168,"Greenbrier, West Virginia",300.30194326277143,9977,15302,7821,2158,3530,2158,1631
2010,169,"Pleasants, West Virginia",26.031393328908027,1674,2591,1740,184,521,184,418
2010,170,"Summers, West Virginia",11.88781626801478,3196,5075,2812,966,1569,966,628
2010,171,"Ritchie, West Virginia",12.621381822975751,2924,4213,2370,516,1032,516,321
2010,172,"Wirt, West Virginia",2.528005231500828,1697,2364,1567,219,446,219,106
2010,173,"Tyler, West Virginia",54.58574176065981,2585,3792,2230,401,743,401,209
2010,174,"Lewis, West Virginia",64.81782263873588,4243,6527,3503,975,1465,975,520
2010,175,"Lincoln, West Virginia",0.9776584649552108,6552,8711,5111,2275,2851,2275,493
2010,176,"Doddridge, West Virginia",15.531582820596235,1999,2860,1702,421,1040,421,206
2010,177,"Westmoreland, Pennsylvania",666.8799118550484,102132,152640,84725,6995,15795,6995,18550
2010,178,"Delaware, Pennsylvania",10808.134672312159,137911,206542,107644,11176,23622,11176,47718
2010,179,"Carbon, Pennsylvania",754.6487580785193,18063,26111,14975,1493,4667,1493,2781
2010,180,"Venango, Pennsylvania",251.64777979460413,15120,22457,12152,1200,3752,1200,1812
2010,181,"Washington, Pennsylvania",365.211284465282,55627,83604,45645,5196,10832,5196,11983
2010,182,"Lebanon, Pennsylvania",2226.0190398423592,35797,51543,30032,4921,9069,4921,6417
2010,183,"Montgomery, Pennsylvania",123.00030495967178,208556,306661,179383,12221,28316,12221,54432
2010,184,"Perry, Pennsylvania",509.8803900160718,13039,17943,11033,1556,3011,1556,1371
2010,185,"Cambria, Pennsylvania",517.5271603923308,38530,58802,31610,4183,8543,4183,9262
2010,186,"Allegheny, Pennsylvania",3250.4842190783265,306769,522703,238364,19206,52439,19206,102861
2010,187,"Lackawanna, Pennsylvania",714.6290394491059,55937,86318,43238,5963,12636,5963,15838
2010,188,"Berks, Pennsylvania",1681.9453542547976,106995,153307,85861,16205,29319,16205,27660
2010,189,"Beaver, Pennsylvania",742.5831768396912,47819,70350,38411,3666,9026,3666,8576
2010,190,"Wayne, Pennsylvania",221.50910458922138,13551,19678,12516,1219,3884,1219,2169
2010,191,"Susquehanna, Pennsylvania",139.4792888224742,11998,17225,10026,1008,3047,1008,1402
2010,192,"Bucks, Pennsylvania",2793.057662632836,165261,229552,142932,10318,24641,10318,33018
2010,193,"Schuylkill, Pennsylvania",2833.7486046429644,39864,60347,32184,4675,12949,4675,5605
2010,194,"Luzerne, Pennsylvania",1617.8763634005315,83462,130855,64861,8510,20825,8510,19937
2010,195,"Armstrong, Pennsylvania",202.90738336160933,19818,28814,16324,2223,3905,2223,2399
2010,196,"Snyder, Pennsylvania",129.24073625128645,10168,14258,8677,2074,2604,2074,3236
2010,197,"Northampton, Pennsylvania",888.3224580299327,77774,111929,64411,8068,18034,8068,23098
2010,198,"Huntingdon, Pennsylvania",101.6754340047298,11373,16876,11114,1347,3290,1347,2675
2010,199,"York, Pennsylvania",2824.3196635258328,118102,166600,98625,12170,26389,12170,21142
2010,200,"Clearfield, Pennsylvania",472.95634802197753,22065,32823,18888,2320,5866,2320,2746
2010,201,"Chester, Pennsylvania",614.08642378184,128975,181136,114191,9536,14802,9536,33695
2010,202,"Butler, Pennsylvania",788.8353103692621,49979,71911,43210,2793,7288,2793,12113
2010,203,"McKean, Pennsylvania",531.432492820495,11520,17324,9331,803,2760,803,1971
2010,204,"Clinton, Pennsylvania",107.51845028432129,9757,15238,7951,942,2690,942,4865
2010,205,"Lancaster, Pennsylvania",1185.4425223994954,135716,191474,116230,25161,33717,25161,29327
2010,206,"Warren, Pennsylvania",184.38484797159052,11679,17630,9993,962,2373,962,1274
2010,207,"Forest, Pennsylvania",16.098759539775465,1286,1996,1823,263,823,263,173
2010,208,"Adams, Pennsylvania",233.42227228534293,27605,38331,23526,3568,6818,3568,7056
2010,209,"Monroe, Pennsylvania",858.097453184741,44495,59997,37151,3169,9292,3169,11772
2010,210,"Clarion, Pennsylvania",261.86007409211254,10361,15742,8582,1071,2252,1071,4626
2010,211,"Lehigh, Pennsylvania",1230.492238035086,90171,132879,72621,11470,21332,11470,21376
2010,212,"Indiana, Pennsylvania",192.7623907574398,22533,34375,18908,2547,4876,2547,11309
2010,213,"Cumberland, Pennsylvania",334.8659090038556,60630,93739,52421,4509,10598,4509,21017
2010,214,"Bradford, Pennsylvania",109.39231226778593,16832,24861,13803,1648,4659,1648,2135
2010,215,"Bedford, Pennsylvania",147.13541686258995,14119,19913,12494,1906,3798,1906,1499
2010,216,"Centre, Pennsylvania",541.0938815744364,31564,54971,28505,1865,4251,1865,41714
2010,217,"Mifflin, Pennsylvania",63.836595700822954,12678,19051,10181,2290,3878,2290,1208
2010,218,"Mercer, Pennsylvania",186.13163476146872,31300,46681,26452,3382,6980,3382,7837
2010,219,"Lycoming, Pennsylvania",545.3257051058392,31313,46612,25284,2794,8354,2794,8116
2010,220,"Jefferson, Pennsylvania",144.77061753877777,12408,18236,10388,1303,2862,1303,1572
2010,221,"Blair, Pennsylvania",1240.3102155834497,34060,51651,26793,2581,6551,2581,6558
2010,222,"Greene, Pennsylvania",106.83260774596465,9729,14010,8694,1526,2868,1526,1854
2010,223,"Lawrence, Pennsylvania",540.732521229677,25107,36587,20055,2478,6179,2478,4847
2010,224,"Tioga, Pennsylvania",129.57339265469744,11960,17182,9853,937,2725,937,3004
2010,225,"Franklin, Pennsylvania",258.1330238340122,39902,58290,34085,5324,10844,5324,6358
2010,226,"Fayette, Pennsylvania",380.6455957784539,37057,55363,29200,5139,11865,5139,4980
2010,227,"Columbia, Pennsylvania",898.6145744920516,16648,25884,13820,1686,4075,1686,9259
2010,228,"Somerset, Pennsylvania",519.9301429035011,20470,30319,18107,3302,6413,3302,2662
2010,229,"Erie, Pennsylvania",1093.6129803338283,69875,108252,55157,5104,15018,5104,23334
2010,230,"Dauphin, Pennsylvania",4985.579391190499,66883,107808,51304,5721,14969,5721,14702
2010,231,"Elk, Pennsylvania",144.9404320941887,9059,13743,7219,651,1744,651,1149
2010,232,"Sullivan, Pennsylvania",7.738864025904398,1621,2436,1516,175,483,175,137
2010,233,"Northumberland, Pennsylvania",456.25315774011875,25915,39234,21250,2957,7676,2957,3121
2010,234,"Wyoming, Pennsylvania",201.07767444209867,7731,11023,6330,464,1661,464,1468
2010,235,"Cameron, Pennsylvania",5.487637851804821,1358,2181,1162,149,416,149,148
2010,236,"Crawford, Pennsylvania",1159.5951226024724,23607,35456,19244,2947,5629,2947,4862
2010,237,"Union, Pennsylvania",185.3238036082527,10591,14963,10366,1880,3214,1880,5260
2010,238,"Montour, Pennsylvania",33.2650214935089,5027,7310,4386,382,1228,382,749
2010,239,"Juniata, Pennsylvania",104.55126948907125,6732,9037,5931,1207,2100,1207,706
2010,240,"Fulton, Pennsylvania",153.6536878467056,4123,5848,3597,511,1190,511,441
2010,241,"Potter, Pennsylvania",98.46038580481466,5108,7291,4090,501,1280,501,485
2010,242,"Pike, Pennsylvania",316.0627173003284,16430,22190,13380,714,2632,714,2283
2010,243,"Philadelphia, Pennsylvania",10771.841303914433,311376,574488,190408,61871,137498,61871,144975
2010,244,"Erie, Ohio",756.9351611901277,21379,31855,17351,1565,4403,1565,3251
2010,245,"Putnam, Ohio",62.5257180104386,9723,12891,8387,672,1382,672,1615
2010,246,"Henry, Ohio",24.919565459234068,7734,11111,6483,572,1792,572,1494
2010,247,"Lorain, Ohio",856.9558378307827,80230,114479,63323,5623,17530,5623,18782
2010,248,"Wood, Ohio",900.6111239629892,31024,48636,26117,1483,4517,1483,20486
2010,249,"Lucas, Ohio",1257.4872679587072,110758,179000,79074,9368,27693,9368,36853
2010,250,"Scioto, Ohio",347.8909772309105,20287,30162,16423,3111,6918,3111,4449
2010,251,"Muskingum, Ohio",497.49160293147173,23069,34121,17936,1773,5941,1773,5332
2010,252,"Cuyahoga, Ohio",5310.074614546655,319049,538944,223028,31507,88766,31507,88284
2010,253,"Hamilton, Ohio",29592.349981829557,196262,327864,143877,16357,48406,16357,65148
2010,254,"Logan, Ohio",459.0391526840561,12774,18398,10159,1187,3134,1187,1647
2010,255,"Williams, Ohio",9.144871988531266,10477,14953,8980,575,2358,575,1396
2010,256,"Clermont, Ohio",378.3294578495444,53547,72927,43779,4482,11959,4482,9565
2010,257,"Van Wert, Ohio",424.50581714967433,7984,11472,6898,410,1573,410,1056
2010,258,"Knox, Ohio",366.2533761034695,15586,22582,13252,1619,3159,1619,4932
2010,259,"Seneca, Ohio",120.12473804565319,15187,22138,12283,1136,3553,1136,4364
2010,260,"Hancock, Ohio",1537.1045979197002,20410,30632,16169,956,3623,956,5452
2010,261,"Perry, Ohio",85.72583055500697,9711,13554,8064,1078,2622,1078,1551
2010,262,"Belmont, Ohio",194.23091392320572,19685,29004,15930,1867,4816,1867,3051
2010,263,"Jackson, Ohio",749.0743585759299,9000,13105,6811,1473,3111,1473,1224
2010,264,"Meigs, Ohio",58.71653904135065,6354,9675,5116,744,2174,744,881
2010,265,"Fayette, Ohio",221.56958071458666,7688,11597,5837,763,2681,763,961
2010,266,"Union, Ohio",155.49002802492208,13215,17826,11677,637,2574,637,2230
2010,267,"Huron, Ohio",1112.9321387013777,16596,22972,13701,1792,3548,1792,2387
2010,268,"Richland, Ohio",603.5494935491369,32844,48557,26956,3628,9957,3628,5981
2010,269,"Montgomery, Ohio",11317.957861252662,138332,223660,102173,12013,32440,12013,46237
2010,270,"Butler, Ohio",952.5968040342187,93516,134287,76111,8964,21594,8964,31570
2010,271,"Stark, Ohio",2812.5178670147475,100974,150921,78971,7755,23547,7755,24218
2010,272,"Wayne, Ohio",374.9211574409478,30246,42395,25934,5040,6230,5040,6244
2010,273,"Ashland, Ohio",2546.6347889073586,14293,20040,12265,1515,3487,1515,3956
2010,274,"Tuscarawas, Ohio",831.5478044697188,24774,36128,21514,3225,6558,3225,3778
2010,275,"Defiance, Ohio",1707.8386891506686,10999,15232,9121,628,2534,628,2399
2010,276,"Ashtabula, Ohio",475.9029178537006,26473,38911,21274,3329,7617,3329,4816
2010,277,"Brown, Ohio",587.3822296915056,11758,15997,10012,1753,4221,1753,2070
2010,278,"Franklin, Ohio",20356.13719140015,270541,457799,202507,23250,58175,23250,111977
2010,279,"Morrow, Ohio",213.8614826466919,9771,13037,8419,710,2452,710,1249
2010,280,"Pickaway, Ohio",342.6720182855044,14034,19045,12154,1226,5160,1226,2096
2010,281,"Summit, Ohio",4711.098042309646,142556,223122,111389,9020,29580,9020,36281
2010,282,"Coshocton, Ohio",50.72596469121847,9848,14582,8077,1093,2631,1093,1310
2010,283,"Madison, Ohio",1021.0963857746435,10319,14745,9336,1079,3497,1079,1732
2010,284,"Sandusky, Ohio",152.01598280136798,16746,24109,13862,1523,3690,1523,2840
2010,285,"Mahoning, Ohio",4410.224823339943,63773,99024,48423,5155,16166,5155,14638
2010,286,"Warren, Ohio",1447.280211145352,56780,74144,49677,3440,9060,3440,9862
2010,287,"Noble, Ohio",11.018163642134603,3480,4904,3614,497,1656,497,583
2010,288,"Paulding, Ohio",52.16303007868064,5596,7661,4837,407,1421,407,800
2010,289,"Athens, Ohio",1668.9391281782998,12241,22283,9724,1226,3146,1226,20589
2010,290,"Harrison, Ohio",81.3392353046373,4219,6377,3574,431,1412,431,661
2010,291,"Licking, Ohio",1259.6311310708068,44683,62569,36817,2925,9818,2925,10935
2010,292,"Lawrence, Ohio",168.92552239790606,16879,24631,13127,2080,5648,2080,2791
2010,293,"Fairfield, Ohio",554.2726632296017,39807,53911,32998,1815,6097,1815,7402
2010,294,"Lake, Ohio",7243.8524454872595,62168,94211,49928,3831,11105,3831,13307
2010,295,"Washington, Ohio",202.92495336863857,17023,25373,14296,1560,3611,1560,4159
2010,296,"Gallia, Ohio",711.1446930507025,8411,12246,7004,1526,2448,1526,1920
2010,297,"Medina, Ohio",357.1273077738539,48222,64202,41829,1864,6736,1864,9063
2010,298,"Clinton, Ohio",1277.7452922984112,11763,16323,9127,1109,2686,1109,2455
2010,299,"Columbiana, Ohio",290.3435753254593,29413,42162,24727,2556,8619,2556,4547
2010,300,"Allen, Ohio",1332.0158457839432,27769,40719,22041,1696,7191,1696,8082
2010,301,"Fulton, Ohio",54.36457734940871,12114,16345,10464,775,2523,775,2101
2010,302,"Trumbull, Ohio",728.7836648628163,56165,86463,43073,5527,14499,5527,9691
2010,303,"Champaign, Ohio",411.8431381555287,10887,15161,9071,715,2353,715,1883
