经度,纬度,年份,数目,地名,药物
-79.74,40.9505,2010,2,"Butler, Pennsylvania",Oxymorphone
-82.3188,38.4154,2010,116,"Cabell, West Virginia",Oxycodone
-81.0962,38.8015,2010,1,"Calhoun, West Virginia",Oxycodone
-78.8446,40.4111,2010,44,"Cambria, Pennsylvania",Oxycodone
-78.1989,41.4148,2010,1,"Cameron, Pennsylvania",Heroin
-78.1989,41.4148,2010,2,"Cameron, Pennsylvania",Oxycodone
-75.7009,40.8289,2010,20,"Carbon, Pennsylvania",Heroin
-75.7009,40.8289,2010,1,"Carbon, Pennsylvania",Propoxyphene
-77.3473,38.0533,2010,5,"Caroline, Virginia",Hydrocodone
-77.3473,38.0533,2010,8,"Caroline, Virginia",Oxycodone
-85.0681,38.6098,2010,8,"Carroll, Kentucky",Heroin
-81.0031,40.5209,2010,2,"Carroll, Ohio",Oxycodone
-82.9371,38.3318,2010,1,"Carter, Kentucky",Methadone
-84.9875,37.4551,2010,1,"Casey, Kentucky",Morphine
-78.4856,38.0374,2010,1,"Charlottesville (city), Virginia",Buprenorphine
-76.3024,36.6778,2010,3,"Chesapeake (city), Virginia",Methadone
-75.885,39.9639,2010,95,"Chester, Pennsylvania",Heroin
-77.6492,37.506,2010,5,"Chesterfield, Virginia",Hydromorphone
-77.6492,37.506,2010,9,"Chesterfield, Virginia",Morphine
-87.4875,37.12,2010,7,"Christian, Kentucky",Hydromorphone
-87.4875,37.12,2010,3,"Christian, Kentucky",Morphine
-79.3803,41.2106,2010,35,"Clarion, Pennsylvania",Heroin
-78.7749,41.1062,2010,11,"Clearfield, Pennsylvania",Buprenorphine
-84.1532,39.2325,2010,17,"Clermont, Ohio",Methadone
-83.8109,39.3224,2010,5,"Clinton, Ohio",Methadone
-77.3969,37.265,2010,2,"Colonial Heights (city), Virginia",Morphine
-76.4969,41.0177,2010,1,"Columbia, Pennsylvania",Fentanyl
-76.4969,41.0177,2010,29,"Columbia, Pennsylvania",Heroin
-80.675,40.8871,2010,34,"Columbiana, Ohio",Heroin
-80.675,40.8871,2010,1,"Columbiana, Ohio",Methadone
-82.7773,40.7392,2010,3,"Crawford, Ohio",Morphine
-79.8364,41.8176,2010,1,"Crawford, Pennsylvania",Dihydromorphone
-79.8364,41.8176,2010,2,"Crawford, Pennsylvania",Fentanyl
-79.8364,41.8176,2010,2,"Crawford, Pennsylvania",Propoxyphene
-88.1411,37.2198,2010,8,"Crittenden, Kentucky",Hydrocodone
-81.5348,41.4948,2010,2,"Cuyahoga, Ohio",Methorphan
-81.5348,41.4948,2010,251,"Cuyahoga, Ohio",Oxycodone
-81.5348,41.4948,2010,4,"Cuyahoga, Ohio",Oxymorphone
-79.4088,36.5831,2010,6,"Danville (city), Virginia",Oxycodone
-76.8843,40.2752,2010,3,"Dauphin, Pennsylvania",Codeine
-86.9805,37.7892,2010,1,"Daviess, Kentucky",Codeine
-84.2855,41.3259,2010,2,"Defiance, Ohio",Buprenorphine
-84.2855,41.3259,2010,9,"Defiance, Ohio",Hydrocodone
-83.08,40.1679,2010,1,"Delaware, Ohio",Hydromorphone
-75.4338,39.894,2010,97,"Delaware, Pennsylvania",Buprenorphine
-75.4338,39.894,2010,61,"Delaware, Pennsylvania",Hydrocodone
-82.3763,37.1026,2010,14,"Dickenson, Virginia",Buprenorphine
-80.7407,39.1254,2010,2,"Doddridge, West Virginia",Oxycodone
-82.808,41.4011,2010,5,"Erie, Ohio",Buprenorphine
-82.808,41.4011,2010,1,"Erie, Ohio",Propoxyphene
-79.8333,42.2134,2010,2,"Erie, Pennsylvania",Methadone
-76.8665,37.9185,2010,2,"Essex, Virginia",Hydromorphone
-77.1579,38.8514,2010,2,"Fairfax, Virginia",Fentanyl
-77.1579,38.8514,2010,167,"Fairfax, Virginia",Oxycodone
-75.7182,37.6917,2010,1,"Accomack, Virginia",Oxycodone
-85.3197,37.1803,2010,1,"Adair, Kentucky",Methadone
-77.1569,39.8826,2010,1,"Adams, Pennsylvania",Oxymorphone
-78.5222,38.041,2010,7,"Albemarle, Virginia",Hydrocodone
-78.5222,38.041,2010,3,"Albemarle, Virginia",Oxycodone
-79.9795,37.8865,2010,13,"Alleghany, Virginia",Hydrocodone
-79.9795,37.8865,2010,1,"Alleghany, Virginia",Tramadol
-80.1873,40.4001,2010,3,"Allegheny, Pennsylvania",Fentanyl
-80.1873,40.4001,2010,20,"Allegheny, Pennsylvania",Morphine
-84.0848,40.8305,2010,51,"Allen, Ohio",Oxycodone
-77.9882,37.3366,2010,2,"Amelia, Virginia",Hydrocodone
-79.1058,37.4487,2010,5,"Amherst, Virginia",Hydromorphone
-77.1011,38.8786,2010,6,"Arlington, Virginia",Morphine
-82.2818,40.9214,2010,1,"Ashland, Ohio",Codeine
-84.146,40.6513,2010,4,"Auglaize, Ohio",Hydrocodone
-79.0087,38.1939,2010,1,"Augusta, Virginia",Propoxyphene
-85.9264,37.0048,2010,3,"Barren, Kentucky",Hydromorphone
-85.9264,37.0048,2010,2,"Barren, Kentucky",Methadone
-79.5709,38.1948,2010,2,"Bath, Virginia",Oxycodone
-80.4738,40.5989,2010,2,"Beaver, Pennsylvania",Codeine
-80.4738,40.5989,2010,2,"Beaver, Pennsylvania",Oxymorphone
-78.5075,40.2592,2010,6,"Bedford, Pennsylvania",Buprenorphine
-79.7253,37.3866,2010,2,"Bedford, Virginia",Hydromorphone
-83.8774,36.5942,2010,11,"Bell, Kentucky",Buprenorphine
-81.1313,40.1621,2010,1,"Belmont, Ohio",Codeine
-77.9779,39.458,2010,146,"Berkeley, West Virginia",Heroin
-81.1501,37.1521,2010,4,"Bland, Virginia",Hydrocodone
-81.1501,37.1521,2010,4,"Bland, Virginia",Oxycodone
-84.6731,38.9472,2010,47,"Boone, Kentucky",Heroin
-84.6731,38.9472,2010,1,"Boone, Kentucky",Propoxyphene
-84.1101,38.1425,2010,3,"Bourbon, Kentucky",Morphine
-82.7816,38.3354,2010,5,"Boyd, Kentucky",Heroin
-82.7816,38.3354,2010,21,"Boyd, Kentucky",Hydrocodone
-84.7903,37.5855,2010,21,"Boyle, Kentucky",Hydrocodone
-84.7903,37.5855,2010,31,"Boyle, Kentucky",Oxycodone
-83.4585,37.4215,2010,4,"Breathitt, Kentucky",Heroin
-82.1607,36.618,2010,13,"Bristol (city), Virginia",Morphine
-83.7878,38.8673,2010,5,"Brown, Ohio",Morphine
-81.8015,37.2473,2010,23,"Buchanan, Virginia",Hydrocodone
-74.8852,40.1015,2010,13,"Bucks, Pennsylvania",Codeine
-79.3565,37.7316,2010,2,"Buena Vista (city), Virginia",Oxycodone
-85.7146,38.0645,2010,1,"Bullitt, Kentucky",Morphine
-88.4381,36.5892,2010,1,"Calloway, Kentucky",Oxycodone
-78.1989,41.4148,2010,1,"Cameron, Pennsylvania",Buprenorphine
-84.4815,39.0401,2010,5,"Campbell, Kentucky",Buprenorphine
-79.2895,37.2338,2010,6,"Campbell, Virginia",Oxycodone
-79.2895,37.2338,2010,1,"Campbell, Virginia",Oxymorphone
-80.6997,36.6771,2010,12,"Carroll, Virginia",Hydrocodone
-82.9371,38.3318,2010,1,"Carter, Kentucky",Hydromorphone
-82.9371,38.3318,2010,3,"Carter, Kentucky",Morphine
-82.9371,38.3318,2010,2,"Carter, Kentucky",Tramadol
-77.7057,40.98,2010,11,"Centre, Pennsylvania",Buprenorphine
-83.9635,40.2174,2010,17,"Champaign, Ohio",Hydrocodone
-78.4856,38.0374,2010,4,"Charlottesville (city), Virginia",Oxycodone
-76.3024,36.6778,2010,12,"Chesapeake (city), Virginia",Oxycodone
-75.885,39.9639,2010,23,"Chester, Pennsylvania",Hydrocodone
-75.885,39.9639,2010,82,"Chester, Pennsylvania",Oxycodone
-84.1908,38.0014,2010,1,"Clark, Kentucky",Morphine
-77.9823,39.1508,2010,1,"Clarke, Virginia",Tramadol
-83.7635,37.1464,2010,39,"Clay, Kentucky",Oxycodone
-78.7749,41.1062,2010,13,"Clearfield, Pennsylvania",Oxycodone
-78.7749,41.1062,2010,1,"Clearfield, Pennsylvania",Oxymorphone
-84.1532,39.2325,2010,2,"Clermont, Ohio",Codeine
-85.0683,36.8051,2010,1,"Clinton, Kentucky",Morphine
-83.8109,39.3224,2010,2,"Clinton, Ohio",Fentanyl
-83.8109,39.3224,2010,5,"Clinton, Ohio",Morphine
-77.5306,41.0094,2010,1,"Clinton, Pennsylvania",Oxycodone
-77.3969,37.265,2010,1,"Colonial Heights (city), Virginia",Fentanyl
-77.3969,37.265,2010,2,"Colonial Heights (city), Virginia",Hydromorphone
-77.3969,37.265,2010,1,"Colonial Heights (city), Virginia",Methadone
-81.7517,40.2761,2010,2,"Coshocton, Ohio",Oxycodone
-80.1395,37.4293,2010,7,"Craig, Virginia",Hydrocodone
-79.8364,41.8176,2010,12,"Crawford, Pennsylvania",Morphine
-79.8364,41.8176,2010,1,"Crawford, Pennsylvania",Tramadol
-77.8267,38.416,2010,34,"Culpeper, Virginia",Oxycodone
-77.8267,38.416,2010,1,"Culpeper, Virginia",Oxymorphone
-85.5053,36.8319,2010,3,"Cumberland, Kentucky",Hydrocodone
-78.0883,37.6674,2010,3,"Cumberland, Virginia",Hydrocodone
-81.5348,41.4948,2010,36,"Cuyahoga, Ohio",Buprenorphine
-84.6384,40.2802,2010,2,"Darke, Ohio",Morphine
-76.8843,40.2752,2010,1,"Dauphin, Pennsylvania",Fentanyl
-76.8843,40.2752,2010,2,"Dauphin, Pennsylvania",Hydromorphone
-76.8843,40.2752,2010,12,"Dauphin, Pennsylvania",Morphine
-86.9805,37.7892,2010,3,"Daviess, Kentucky",Oxycodone
-83.08,40.1679,2010,4,"Delaware, Ohio",Morphine
-75.4338,39.894,2010,1,"Delaware, Pennsylvania",Tramadol
-82.3763,37.1026,2010,18,"Dickenson, Virginia",Oxycodone
-82.3763,37.1026,2010,1,"Dickenson, Virginia",Oxymorphone
-77.7219,36.9853,2010,1,"Dinwiddie, Virginia",Hydrocodone
-83.0188,38.1879,2010,1,"Elliott, Kentucky",Heroin
-82.808,41.4011,2010,19,"Erie, Ohio",Hydrocodone
-82.808,41.4011,2010,40,"Erie, Ohio",Oxycodone
-82.808,41.4011,2010,4,"Erie, Ohio",Oxymorphone
-79.8333,42.2134,2010,5,"Erie, Pennsylvania",Codeine
-76.8665,37.9185,2010,1,"Essex, Virginia",Morphine
-77.1579,38.8514,2010,5,"Fairfax, Virginia",Codeine
-77.1579,38.8514,2010,1,"Fairfax, Virginia",Methorphan
-77.1579,38.8514,2010,2,"Fairfax, Virginia",Hydrocodone
-77.1579,38.8514,2010,2,"Fairfax, Virginia",Methorphan
-82.5446,39.8426,2010,186,"Fairfield, Ohio",Heroin
-78.5222,38.041,2010,4,"Albemarle, Virginia",Heroin
-77.0861,38.8184,2010,2,"Alexandria (city), Virginia",Methadone
-79.9795,37.8865,2010,3,"Alleghany, Virginia",Fentanyl
-79.9795,37.8865,2010,4,"Alleghany, Virginia",Methadone
-80.1873,40.4001,2010,280,"Allegheny, Pennsylvania",Oxycodone
-80.1873,40.4001,2010,10,"Allegheny, Pennsylvania",Propoxyphene
-84.0848,40.8305,2010,1,"Allen, Ohio",Fentanyl
-84.0848,40.8305,2010,2,"Allen, Ohio",Propoxyphene
-79.1058,37.4487,2010,3,"Amherst, Virginia",Codeine
-79.1058,37.4487,2010,1,"Amherst, Virginia",Morphine
-84.935,38.089,2010,1,"Anderson, Kentucky",Buprenorphine
-84.935,38.089,2010,7,"Anderson, Kentucky",Hydrocodone
-84.935,38.089,2010,3,"Anderson, Kentucky",Morphine
-79.4603,40.9185,2010,4,"Armstrong, Pennsylvania",Oxycodone
-79.4603,40.9185,2010,2,"Armstrong, Pennsylvania",Oxymorphone
-82.1261,39.4005,2010,4,"Athens, Ohio",Morphine
-79.0087,38.1939,2010,9,"Augusta, Virginia",Oxycodone
-85.9264,37.0048,2010,11,"Barren, Kentucky",Oxycodone
-83.6156,38.1193,2010,1,"Bath, Kentucky",Methadone
-80.4738,40.5989,2010,9,"Beaver, Pennsylvania",Hydrocodone
-79.7253,37.3866,2010,1,"Bedford, Virginia",Oxycodone
-83.8774,36.5942,2010,1,"Bell, Kentucky",Hydromorphone
-81.1313,40.1621,2010,19,"Belmont, Ohio",Oxycodone
-77.9779,39.458,2010,9,"Berkeley, West Virginia",Oxycodone
-76.1391,40.3495,2010,1,"Berks, Pennsylvania",Fentanyl
-76.1391,40.3495,2010,172,"Berks, Pennsylvania",Heroin
-78.2272,40.6864,2010,1,"Blair, Pennsylvania",Tramadol
-79.8779,37.4167,2010,2,"Botetourt, Virginia",Buprenorphine
-79.8779,37.4167,2010,9,"Botetourt, Virginia",Hydrocodone
-84.1101,38.1425,2010,2,"Bourbon, Kentucky",Hydrocodone
-82.7816,38.3354,2010,5,"Boyd, Kentucky",Methadone
-76.1763,41.7606,2010,1,"Bradford, Pennsylvania",Buprenorphine
-76.1763,41.7606,2010,2,"Bradford, Pennsylvania",Codeine
-76.1763,41.7606,2010,13,"Bradford, Pennsylvania",Hydrocodone
-76.1763,41.7606,2010,4,"Bradford, Pennsylvania",Morphine
-83.4585,37.4215,2010,3,"Breathitt, Kentucky",Buprenorphine
-83.4585,37.4215,2010,17,"Breathitt, Kentucky",Hydrocodone
-83.4585,37.4215,2010,4,"Breathitt, Kentucky",Morphine
-81.8015,37.2473,2010,98,"Buchanan, Virginia",Oxycodone
-74.8852,40.1015,2010,2,"Bucks, Pennsylvania",Fentanyl
-74.8852,40.1015,2010,618,"Bucks, Pennsylvania",Heroin
-74.8852,40.1015,2010,3,"Bucks, Pennsylvania",Propoxyphene
-74.8852,40.1015,2010,27,"Bucks, Pennsylvania",Tramadol
-85.7146,38.0645,2010,71,"Bullitt, Kentucky",Oxycodone
-85.7146,38.0645,2010,2,"Bullitt, Kentucky",Oxymorphone
-84.5652,39.3938,2010,17,"Butler, Ohio",Methadone
-81.0962,38.8015,2010,1,"Calhoun, West Virginia",Hydrocodone
-81.0962,38.8015,2010,1,"Calhoun, West Virginia",Morphine
-78.8446,40.4111,2010,13,"Cambria, Pennsylvania",Hydrocodone
-79.2895,37.2338,2010,1,"Campbell, Virginia",Fentanyl
-77.3473,38.0533,2010,1,"Caroline, Virginia",Hydromorphone
-81.0031,40.5209,2010,1,"Carroll, Ohio",Buprenorphine
-80.6997,36.6771,2010,2,"Carroll, Virginia",Heroin
-82.9371,38.3318,2010,4,"Carter, Kentucky",Buprenorphine
-82.9371,38.3318,2010,17,"Carter, Kentucky",Hydrocodone
-83.9635,40.2174,2010,1,"Champaign, Ohio",Fentanyl
-83.9635,40.2174,2010,37,"Champaign, Ohio",Heroin
-78.601,36.9933,2010,1,"Charlotte, Virginia",Codeine
-78.601,36.9933,2010,2,"Charlotte, Virginia",Hydrocodone
-78.4856,38.0374,2010,3,"Charlottesville (city), Virginia",Heroin
-76.3024,36.6778,2010,7,"Chesapeake (city), Virginia",Buprenorphine
-76.3024,36.6778,2010,2,"Chesapeake (city), Virginia",Codeine
-76.3024,36.6778,2010,14,"Chesapeake (city), Virginia",Hydrocodone
-75.885,39.9639,2010,5,"Chester, Pennsylvania",Codeine
-77.6492,37.506,2010,69,"Chesterfield, Virginia",Heroin
-77.6492,37.506,2010,6,"Chesterfield, Virginia",Methadone
-87.4875,37.12,2010,19,"Christian, Kentucky",Oxycodone
-79.3803,41.2106,2010,7,"Clarion, Pennsylvania",Buprenorphine
-79.3803,41.2106,2010,5,"Clarion, Pennsylvania",Morphine
-84.1908,38.0014,2010,8,"Clark, Kentucky",Methadone
-77.9823,39.1508,2010,4,"Clarke, Virginia",Heroin
-78.7749,41.1062,2010,1,"Clearfield, Pennsylvania",Methadone
-84.1532,39.2325,2010,1,"Clermont, Ohio",Fentanyl
-84.1532,39.2325,2010,167,"Clermont, Ohio",Heroin
-83.8109,39.3224,2010,7,"Clinton, Ohio",Buprenorphine
-83.8109,39.3224,2010,17,"Clinton, Ohio",Hydrocodone
-77.5306,41.0094,2010,1,"Clinton, Pennsylvania",Propoxyphene
-80.675,40.8871,2010,2,"Columbiana, Ohio",Buprenorphine
-80.675,40.8871,2010,2,"Columbiana, Ohio",Morphine
-80.1395,37.4293,2010,12,"Craig, Virginia",Heroin
-80.1395,37.4293,2010,2,"Craig, Virginia",Methadone
-82.7773,40.7392,2010,48,"Crawford, Ohio",Heroin
-82.7773,40.7392,2010,2,"Crawford, Ohio",Propoxyphene
-79.8364,41.8176,2010,1,"Crawford, Pennsylvania",Methadone
-76.9274,40.2422,2010,5,"Cumberland, Pennsylvania",Oxycodone
-78.0883,37.6674,2010,2,"Cumberland, Virginia",Heroin
-81.5348,41.4948,2010,12,"Cuyahoga, Ohio",Codeine
-81.5348,41.4948,2010,21,"Cuyahoga, Ohio",Morphine
-84.2855,41.3259,2010,2,"Defiance, Ohio",Methadone
-83.08,40.1679,2010,82,"Delaware, Ohio",Oxycodone
-75.4338,39.894,2010,6,"Delaware, Pennsylvania",Methorphan
-82.3763,37.1026,2010,2,"Dickenson, Virginia",Methadone
-77.7219,36.9853,2010,8,"Dinwiddie, Virginia",Oxycodone
-78.6869,41.5726,2010,6,"Elk, Pennsylvania",Oxycodone
-77.5356,36.6953,2010,25,"Emporia (city), Virginia",Oxycodone
-79.8333,42.2134,2010,54,"Erie, Pennsylvania",Oxycodone
-79.8333,42.2134,2010,3,"Erie, Pennsylvania",Oxymorphone
-76.8665,37.9185,2010,1,"Essex, Virginia",Hydrocodone
-83.9685,37.6969,2010,1,"Estill, Kentucky",Buprenorphine
-83.9685,37.6969,2010,6,"Estill, Kentucky",Hydrocodone
-75.7182,37.6917,2010,6,"Accomack, Virginia",Hydrocodone
-83.4713,38.8559,2010,6,"Adams, Ohio",Buprenorphine
-83.4713,38.8559,2010,50,"Adams, Ohio",Heroin
-83.4713,38.8559,2010,1,"Adams, Ohio",Tramadol
-77.1569,39.8826,2010,29,"Adams, Pennsylvania",Oxycodone
-77.0861,38.8184,2010,5,"Alexandria (city), Virginia",Oxycodone
-77.9882,37.3366,2010,1,"Amelia, Virginia",Fentanyl
-77.9882,37.3366,2010,1,"Amelia, Virginia",Oxycodone
-79.1058,37.4487,2010,7,"Amherst, Virginia",Heroin
-79.1058,37.4487,2010,2,"Amherst, Virginia",Propoxyphene
-84.935,38.089,2010,2,"Anderson, Kentucky",Methadone
-77.1011,38.8786,2010,38,"Arlington, Virginia",Oxycodone
-77.1011,38.8786,2010,4,"Arlington, Virginia",Tramadol
-82.2818,40.9214,2010,82,"Ashland, Ohio",Heroin
-82.2818,40.9214,2010,2,"Ashland, Ohio",Methadone
-80.6173,41.8567,2010,3,"Ashtabula, Ohio",Codeine
-80.6173,41.8567,2010,3,"Ashtabula, Ohio",Morphine
-82.1261,39.4005,2010,122,"Athens, Ohio",Oxycodone
-82.1261,39.4005,2010,3,"Athens, Ohio",Oxymorphone
-84.146,40.6513,2010,6,"Auglaize, Ohio",Oxycodone
-79.0087,38.1939,2010,2,"Augusta, Virginia",Hydromorphone
-79.0087,38.1939,2010,3,"Augusta, Virginia",Methadone
-85.9264,37.0048,2010,2,"Barren, Kentucky",Buprenorphine
-85.9264,37.0048,2010,37,"Barren, Kentucky",Hydrocodone
-85.9264,37.0048,2010,1,"Barren, Kentucky",Meperidine
-83.8774,36.5942,2010,1,"Bell, Kentucky",Fentanyl
-83.8774,36.5942,2010,2,"Bell, Kentucky",Heroin
-83.8774,36.5942,2010,1,"Bell, Kentucky",Propoxyphene
-77.9779,39.458,2010,7,"Berkeley, West Virginia",Buprenorphine
-77.9779,39.458,2010,1,"Berkeley, West Virginia",Dextropropoxyphene
-76.1391,40.3495,2010,6,"Berks, Pennsylvania",Buprenorphine
-78.2272,40.6864,2010,1,"Blair, Pennsylvania",Codeine
-81.1501,37.1521,2010,1,"Bland, Virginia",Oxymorphone
-84.6731,38.9472,2010,6,"Boone, Kentucky",Methadone
-81.7138,37.9713,2010,2,"Boone, West Virginia",Oxymorphone
-79.8779,37.4167,2010,1,"Botetourt, Virginia",Methadone
-84.1101,38.1425,2010,39,"Bourbon, Kentucky",Oxycodone
-82.7816,38.3354,2010,254,"Boyd, Kentucky",Oxycodone
-82.7816,38.3354,2010,1,"Boyd, Kentucky",Oxymorphone
-84.0666,38.6818,2010,1,"Bracken, Kentucky",Heroin
-80.8979,38.5632,2010,1,"Braxton, West Virginia",Buprenorphine
-82.1607,36.618,2010,45,"Bristol (city), Virginia",Oxycodone
-82.1607,36.618,2010,1,"Bristol (city), Virginia",Oxymorphone
-80.6102,40.2811,2010,3,"Brooke, West Virginia",Hydrocodone
-83.7878,38.8673,2010,35,"Brown, Ohio",Oxycodone
-83.7878,38.8673,2010,2,"Brown, Ohio",Oxymorphone
-81.8015,37.2473,2010,1,"Buchanan, Virginia",Hydromorphone
-78.6333,37.494,2010,9,"Buckingham, Virginia",Oxycodone
-79.3565,37.7316,2010,2,"Buena Vista (city), Virginia",Hydrocodone
-79.3565,37.7316,2010,1,"Buena Vista (city), Virginia",Morphine
-86.8921,37.2093,2010,1,"Butler, Kentucky",Oxycodone
-84.5652,39.3938,2010,3,"Butler, Ohio",Codeine
-84.5652,39.3938,2010,15,"Butler, Ohio",Morphine
-79.74,40.9505,2010,49,"Butler, Pennsylvania",Heroin
-79.74,40.9505,2010,1,"Butler, Pennsylvania",Methadone
-82.3188,38.4154,2010,16,"Cabell, West Virginia",Hydrocodone
-78.8446,40.4111,2010,57,"Cambria, Pennsylvania",Heroin
-78.8446,40.4111,2010,10,"Cambria, Pennsylvania",Methadone
-84.4815,39.0401,2010,17,"Campbell, Kentucky",Methadone
-75.7009,40.8289,2010,3,"Carbon, Pennsylvania",Oxycodone
-88.8869,36.9081,2010,2,"Carlisle, Kentucky",Fentanyl
-85.0681,38.6098,2010,29,"Carroll, Kentucky",Oxycodone
-85.0681,38.6098,2010,1,"Carroll, Kentucky",Oxymorphone
-82.9371,38.3318,2010,210,"Carter, Kentucky",Oxycodone
-84.9875,37.4551,2010,7,"Casey, Kentucky",Buprenorphine
-83.9635,40.2174,2010,4,"Champaign, Ohio",Morphine
-78.4856,38.0374,2010,1,"Charlottesville (city), Virginia",Morphine
-77.6492,37.506,2010,3,"Chesterfield, Virginia",Codeine
-79.3803,41.2106,2010,1,"Clarion, Pennsylvania",Oxycodone
-79.3803,41.2106,2010,1,"Clarion, Pennsylvania",Oxymorphone
-84.1908,38.0014,2010,6,"Clark, Kentucky",Hydrocodone
-84.0243,39.8862,2010,3,"Clark, Ohio",Hydrocodone
-84.0243,39.8862,2010,3,"Clark, Ohio",Oxycodone
-77.9823,39.1508,2010,1,"Clarke, Virginia",Morphine
-81.0815,38.4662,2010,9,"Clay, West Virginia",Hydrocodone
-78.7749,41.1062,2010,14,"Clearfield, Pennsylvania",Hydrocodone
-85.0683,36.8051,2010,11,"Clinton, Kentucky",Hydrocodone
-77.3969,37.265,2010,1,"Colonial Heights (city), Virginia",Buprenorphine
-76.4969,41.0177,2010,3,"Columbia, Pennsylvania",Oxycodone
-81.7517,40.2761,2010,2,"Coshocton, Ohio",Hydrocodone
-81.7517,40.2761,2010,4,"Coshocton, Ohio",Morphine
-80.1395,37.4293,2010,2,"Craig, Virginia",Morphine
-82.7773,40.7392,2010,2,"Crawford, Ohio",Buprenorphine
-79.8364,41.8176,2010,15,"Crawford, Pennsylvania",Hydrocodone
-79.8364,41.8176,2010,14,"Crawford, Pennsylvania",Oxycodone
-85.5053,36.8319,2010,4,"Cumberland, Kentucky",Oxycodone
-78.0883,37.6674,2010,1,"Cumberland, Virginia",Methadone
-81.5348,41.4948,2010,1,"Cuyahoga, Ohio",Fentanyl
-81.5348,41.4948,2010,462,"Cuyahoga, Ohio",Heroin
-81.5348,41.4948,2010,7,"Cuyahoga, Ohio",Propoxyphene
-79.4088,36.5831,2010,8,"Danville (city), Virginia",Methadone
-84.6384,40.2802,2010,2,"Darke, Ohio",Buprenorphine
-84.6384,40.2802,2010,2,"Darke, Ohio",Hydrocodone
-84.6384,40.2802,2010,1,"Darke, Ohio",Propoxyphene
-76.8843,40.2752,2010,7,"Dauphin, Pennsylvania",Buprenorphine
-76.8843,40.2752,2010,27,"Dauphin, Pennsylvania",Hydrocodone
-86.9805,37.7892,2010,27,"Daviess, Kentucky",Hydrocodone
-84.2855,41.3259,2010,12,"Defiance, Ohio",Codeine
-75.4338,39.894,2010,12,"Delaware, Pennsylvania",Codeine
-75.4338,39.894,2010,15,"Delaware, Pennsylvania",Morphine
-75.4338,39.894,2010,1,"Delaware, Pennsylvania",Pethidine
