id,name
96,"Rappahannock, Virginia"
97,"Galax (city), Virginia"
98,"Martinsville (city), Virginia"
99,"James City, Virginia"
100,"Danville (city), Virginia"
101,"Amherst, Virginia"
102,"Harrisonburg (city), Virginia"
103,"Fredericksburg (city), Virginia"
104,"Roanoke, Virginia"
105,"Appomattox, Virginia"
106,"Portsmouth (city), Virginia"
107,"Newport News (city), Virginia"
108,"Spotsylvania, Virginia"
109,"Salem (city), Virginia"
110,"Staunton (city), Virginia"
111,"Bristol (city), Virginia"
112,"Williamsburg (city), Virginia"
113,"Floyd, Virginia"
114,"Alexandria (city), Virginia"
115,"Norton (city), Virginia"
116,"Lynchburg (city), Virginia"
117,"York, Virginia"
118,"Emporia (city), Virginia"
119,"Poquoson (city), Virginia"
120,"Hopewell (city), Virginia"
121,"Buena Vista (city), Virginia"
122,"Colonial Heights (city), Virginia"
123,"Logan, West Virginia"
124,"Hardy, West Virginia"
125,"Tucker, West Virginia"
126,"Fayette, West Virginia"
127,"Hancock, West Virginia"
128,"Jefferson, West Virginia"
129,"Harrison, West Virginia"
130,"Wayne, West Virginia"
131,"Grant, West Virginia"
132,"Raleigh, West Virginia"
133,"Mercer, West Virginia"
134,"Boone, West Virginia"
135,"Preston, West Virginia"
136,"Monroe, West Virginia"
137,"McDowell, West Virginia"
138,"Randolph, West Virginia"
139,"Monongalia, West Virginia"
140,"Wood, West Virginia"
141,"Putnam, West Virginia"
142,"Kanawha, West Virginia"
143,"Cabell, West Virginia"
144,"Brooke, West Virginia"
145,"Marshall, West Virginia"
146,"Morgan, West Virginia"
147,"Pendleton, West Virginia"
148,"Barbour, West Virginia"
149,"Calhoun, West Virginia"
150,"Jackson, West Virginia"
151,"Taylor, West Virginia"
152,"Mingo, West Virginia"
153,"Mineral, West Virginia"
154,"Marion, West Virginia"
155,"Pocahontas, West Virginia"
156,"Webster, West Virginia"
157,"Mason, West Virginia"
158,"Braxton, West Virginia"
159,"Upshur, West Virginia"
160,"Clay, West Virginia"
161,"Wyoming, West Virginia"
162,"Roane, West Virginia"
163,"Wetzel, West Virginia"
164,"Gilmer, West Virginia"
165,"Nicholas, West Virginia"
166,"Hampshire, West Virginia"
167,"Ohio, West Virginia"
168,"Berkeley, West Virginia"
169,"Greenbrier, West Virginia"
170,"Pleasants, West Virginia"
171,"Summers, West Virginia"
172,"Ritchie, West Virginia"
173,"Wirt, West Virginia"
174,"Tyler, West Virginia"
175,"Lewis, West Virginia"
176,"Lincoln, West Virginia"
177,"Doddridge, West Virginia"
178,"Westmoreland, Pennsylvania"
179,"Delaware, Pennsylvania"
180,"Carbon, Pennsylvania"
181,"Venango, Pennsylvania"
182,"Washington, Pennsylvania"
183,"Lebanon, Pennsylvania"
184,"Montgomery, Pennsylvania"
185,"Perry, Pennsylvania"
186,"Cambria, Pennsylvania"
187,"Allegheny, Pennsylvania"
188,"Lackawanna, Pennsylvania"
189,"Berks, Pennsylvania"
190,"Beaver, Pennsylvania"
191,"Wayne, Pennsylvania"
192,"Susquehanna, Pennsylvania"
193,"Bucks, Pennsylvania"
194,"Schuylkill, Pennsylvania"
195,"Luzerne, Pennsylvania"
196,"Armstrong, Pennsylvania"
197,"Snyder, Pennsylvania"
198,"Northampton, Pennsylvania"
199,"Huntingdon, Pennsylvania"
200,"York, Pennsylvania"
201,"Clearfield, Pennsylvania"
202,"Chester, Pennsylvania"
203,"Butler, Pennsylvania"
204,"McKean, Pennsylvania"
205,"Clinton, Pennsylvania"
206,"Lancaster, Pennsylvania"
207,"Warren, Pennsylvania"
208,"Forest, Pennsylvania"
209,"Adams, Pennsylvania"
210,"Monroe, Pennsylvania"
211,"Clarion, Pennsylvania"
212,"Lehigh, Pennsylvania"
213,"Indiana, Pennsylvania"
214,"Cumberland, Pennsylvania"
215,"Bradford, Pennsylvania"
216,"Bedford, Pennsylvania"
217,"Centre, Pennsylvania"
218,"Mifflin, Pennsylvania"
219,"Mercer, Pennsylvania"
220,"Lycoming, Pennsylvania"
221,"Jefferson, Pennsylvania"
222,"Blair, Pennsylvania"
223,"Greene, Pennsylvania"
224,"Lawrence, Pennsylvania"
225,"Tioga, Pennsylvania"
226,"Franklin, Pennsylvania"
227,"Fayette, Pennsylvania"
228,"Columbia, Pennsylvania"
229,"Somerset, Pennsylvania"
230,"Erie, Pennsylvania"
231,"Dauphin, Pennsylvania"
232,"Elk, Pennsylvania"
233,"Sullivan, Pennsylvania"
234,"Northumberland, Pennsylvania"
235,"Wyoming, Pennsylvania"
236,"Cameron, Pennsylvania"
237,"Crawford, Pennsylvania"
238,"Union, Pennsylvania"
239,"Montour, Pennsylvania"
240,"Juniata, Pennsylvania"
241,"Fulton, Pennsylvania"
242,"Potter, Pennsylvania"
243,"Pike, Pennsylvania"
244,"Philadelphia, Pennsylvania"
245,"Erie, Ohio"
246,"Putnam, Ohio"
247,"Henry, Ohio"
248,"Lorain, Ohio"
249,"Wood, Ohio"
250,"Lucas, Ohio"
251,"Scioto, Ohio"
252,"Muskingum, Ohio"
253,"Cuyahoga, Ohio"
254,"Hamilton, Ohio"
255,"Logan, Ohio"
256,"Williams, Ohio"
257,"Clermont, Ohio"
258,"Van Wert, Ohio"
259,"Knox, Ohio"
260,"Seneca, Ohio"
261,"Hancock, Ohio"
262,"Perry, Ohio"
263,"Belmont, Ohio"
264,"Jackson, Ohio"
265,"Meigs, Ohio"
266,"Fayette, Ohio"
267,"Union, Ohio"
268,"Huron, Ohio"
269,"Richland, Ohio"
270,"Montgomery, Ohio"
271,"Butler, Ohio"
272,"Stark, Ohio"
273,"Wayne, Ohio"
274,"Ashland, Ohio"
275,"Tuscarawas, Ohio"
276,"Defiance, Ohio"
277,"Ashtabula, Ohio"
278,"Brown, Ohio"
279,"Franklin, Ohio"
280,"Morrow, Ohio"
281,"Pickaway, Ohio"
282,"Summit, Ohio"
283,"Coshocton, Ohio"
284,"Madison, Ohio"
285,"Sandusky, Ohio"
286,"Mahoning, Ohio"
287,"Warren, Ohio"
288,"Noble, Ohio"
289,"Paulding, Ohio"
290,"Athens, Ohio"
291,"Harrison, Ohio"
292,"Licking, Ohio"
293,"Lawrence, Ohio"
294,"Fairfield, Ohio"
295,"Lake, Ohio"
296,"Washington, Ohio"
297,"Gallia, Ohio"
298,"Medina, Ohio"
299,"Clinton, Ohio"
300,"Columbiana, Ohio"
301,"Allen, Ohio"
302,"Fulton, Ohio"
303,"Trumbull, Ohio"
304,"Champaign, Ohio"
305,"Ross, Ohio"
306,"Greene, Ohio"
307,"Holmes, Ohio"
308,"Shelby, Ohio"
309,"Guernsey, Ohio"
310,"Mercer, Ohio"
311,"Portage, Ohio"
312,"Ottawa, Ohio"
313,"Preble, Ohio"
314,"Adams, Ohio"
315,"Pike, Ohio"
316,"Darke, Ohio"
317,"Crawford, Ohio"
318,"Monroe, Ohio"
319,"Wyandot, Ohio"
320,"Jefferson, Ohio"
321,"Delaware, Ohio"
322,"Geauga, Ohio"
323,"Carroll, Ohio"
324,"Clark, Ohio"
325,"Vinton, Ohio"
326,"Miami, Ohio"
327,"Hardin, Ohio"
328,"Highland, Ohio"
329,"Marion, Ohio"
330,"Hocking, Ohio"
331,"Auglaize, Ohio"
332,"Morgan, Ohio"
333,"Rowan, Kentucky"
334,"Jefferson, Kentucky"
335,"Perry, Kentucky"
336,"Breckinridge, Kentucky"
337,"Calloway, Kentucky"
338,"Ohio, Kentucky"
339,"Floyd, Kentucky"
340,"Bath, Kentucky"
341,"Oldham, Kentucky"
342,"Union, Kentucky"
343,"Scott, Kentucky"
344,"Whitley, Kentucky"
345,"Hopkins, Kentucky"
346,"Kenton, Kentucky"
347,"Pulaski, Kentucky"
348,"Pendleton, Kentucky"
349,"Muhlenberg, Kentucky"
350,"Monroe, Kentucky"
351,"Boone, Kentucky"
352,"Pike, Kentucky"
353,"Meade, Kentucky"
354,"Breathitt, Kentucky"
355,"Clinton, Kentucky"
356,"Morgan, Kentucky"
357,"Hardin, Kentucky"
358,"Harlan, Kentucky"
359,"Graves, Kentucky"
360,"Powell, Kentucky"
361,"Nelson, Kentucky"
362,"Lawrence, Kentucky"
363,"Webster, Kentucky"
364,"Leslie, Kentucky"
365,"Metcalfe, Kentucky"
366,"Fleming, Kentucky"
367,"Todd, Kentucky"
368,"Letcher, Kentucky"
369,"Ballard, Kentucky"
370,"Harrison, Kentucky"
371,"Taylor, Kentucky"
372,"Clark, Kentucky"
373,"Wolfe, Kentucky"
374,"Larue, Kentucky"
375,"Warren, Kentucky"
376,"Garrard, Kentucky"
377,"Bell, Kentucky"
378,"Knox, Kentucky"
379,"Christian, Kentucky"
380,"Carroll, Kentucky"
381,"Bracken, Kentucky"
382,"Grant, Kentucky"
383,"Jackson, Kentucky"
384,"Casey, Kentucky"
385,"Henderson, Kentucky"
386,"Campbell, Kentucky"
387,"Boyd, Kentucky"
388,"Carlisle, Kentucky"
389,"Adair, Kentucky"
390,"Hart, Kentucky"
391,"Marion, Kentucky"
392,"Trigg, Kentucky"
393,"Marshall, Kentucky"
394,"Lyon, Kentucky"
395,"Washington, Kentucky"
396,"Owen, Kentucky"
397,"Carter, Kentucky"
398,"Fayette, Kentucky"
399,"Menifee, Kentucky"
400,"Bourbon, Kentucky"
401,"Henry, Kentucky"
402,"Madison, Kentucky"
403,"Hickman, Kentucky"
404,"Daviess, Kentucky"
405,"Johnson, Kentucky"
406,"Magoffin, Kentucky"
407,"Estill, Kentucky"
408,"Boyle, Kentucky"
409,"Logan, Kentucky"
410,"Gallatin, Kentucky"
411,"Lewis, Kentucky"
412,"Jessamine, Kentucky"
413,"Caldwell, Kentucky"
414,"Nicholas, Kentucky"
415,"Rockcastle, Kentucky"
416,"Mercer, Kentucky"
417,"Woodford, Kentucky"
418,"McLean, Kentucky"
419,"Barren, Kentucky"
420,"Hancock, Kentucky"
421,"Crittenden, Kentucky"
422,"Franklin, Kentucky"
423,"McCreary, Kentucky"
424,"Greenup, Kentucky"
425,"Fulton, Kentucky"
426,"Laurel, Kentucky"
427,"Lincoln, Kentucky"
428,"Clay, Kentucky"
429,"Spencer, Kentucky"
430,"Livingston, Kentucky"
431,"Wayne, Kentucky"
432,"Bullitt, Kentucky"
433,"Montgomery, Kentucky"
434,"McCracken, Kentucky"
435,"Russell, Kentucky"
436,"Simpson, Kentucky"
437,"Shelby, Kentucky"
438,"Butler, Kentucky"
439,"Mason, Kentucky"
440,"Grayson, Kentucky"
441,"Elliott, Kentucky"
442,"Anderson, Kentucky"
443,"Edmonson, Kentucky"
444,"Allen, Kentucky"
445,"Trimble, Kentucky"
446,"Knott, Kentucky"
447,"Robertson, Kentucky"
448,"Martin, Kentucky"
449,"Lee, Kentucky"
450,"Owsley, Kentucky"
451,"Cumberland, Kentucky"
